w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
true 1 0.5 1.3 0.8 2 1 0.5 1.5 0.8 0.5 NA NA NA NA 2 2.5 3 3.5 NA NA 2 1.5 2.5 1.75 1.21 2.01 1.55 1.31 1.13 1.67
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 1 0.449 1.231 0.769 3.551 1.558 0.514 1.653 0.877 NA 1 1.834 1.342 1.439 0 -1.289 0.21 0.564 0.35 2.017 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 1 0.452 1.238 0.771 3.468 1.471 0.513 1.627 0.845 NA 1 1.727 1.314 1.393 0 -1.065 0.267 0.664 0.413 2.014 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 1 0.505 1.307 0.815 2.672 1 0.492 1.477 0.782 NA 1 0.95 1.13 1.052 2.018 2.411 2.913 3.465 1.026 NA 0.762 0.307 0.302 0.024 NA NA NA NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 1 0.505 1.307 0.815 2.671 1 0.492 1.478 0.783 NA 1 0.953 1.139 1.05 2.016 2.41 2.909 3.461 1.054 NA 0.789 0.324 0.309 0.036 NA NA NA NA NA NA
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 1 0.503 1.307 0.812 2.053 0.995 0.496 1.455 0.79 0.501 NA NA NA NA 2 2.377 2.87 3.424 NA NA 1.934 1.344 1.695 1.246 0.979 1.386 1.129 1.137 1.114 1.286
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 1 0.463 1.372 0.835 2.841 1.172 0.54 1.726 1.583 NA 1 1.053 0.954 0.712 0 0.375 1.124 2.066 1.314 2.017 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 1 0.466 1.364 0.828 2.782 1.138 0.539 1.701 1.442 NA 1 1.029 0.975 0.734 0 0.423 1.082 2.022 1.44 2.016 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 1 0.498 1.282 0.8 2.52 1.022 0.501 1.466 0.796 NA 1 0.814 1.076 0.716 2.015 2.496 3.048 3.502 1.791 NA 0.006 0.297 0.575 0.911 NA NA NA NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 1 0.498 1.282 0.8 2.521 1.023 0.502 1.467 0.796 NA 1 0.825 1.09 0.733 2.007 2.491 3.037 3.496 1.822 NA 0.034 0.303 0.583 0.927 NA NA NA NA NA NA
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 1 0.497 1.277 0.799 1.969 1.015 0.502 1.481 0.795 0.487 NA NA NA NA 2.056 2.53 3.089 3.526 NA NA 1.942 1.631 2.865 1.993 1.592 2.077 1.625 1.368 1.183 1.682
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 1 0.509 1.449 0.745 2.802 1.191 0.539 1.948 1.046 NA 1 0.856 0.765 0.969 0 0.779 1.576 1.517 2.143 2.111 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 1 0.508 1.437 0.754 2.787 1.147 0.525 1.925 0.986 NA 1 0.85 0.772 0.967 0 0.79 1.562 1.522 2.257 2.113 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 1 0.505 1.332 0.813 2.518 1.036 0.504 1.475 0.786 NA 1 0.818 0.922 0.905 2.108 2.585 3.191 3.566 2.4 NA 0.168 0.087 1.09 0.207 NA NA NA NA NA NA
cuts_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r3 1 0.505 1.332 0.814 2.518 1.037 0.504 1.477 0.786 NA 1 0.819 0.924 0.906 2.106 2.584 3.188 3.563 2.487 NA 0.179 0.093 1.144 0.222 NA NA NA NA NA NA
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
