w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
true 1 0.5 1.3 0.8 2 1 0.5 1.5 0.8 NA 1 0.8 1.2 0.9 0 0.2 0.4 0.6 2 4 NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 1 0.51 1.348 0.811 1.981 1.025 0.514 1.449 0.812 NA 1 0.82 1.2 0.898 0 0.118 0.387 0.599 2.194 3.911 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 1 0.511 1.348 0.811 1.98 1.024 0.514 1.449 0.812 NA 1 0.819 1.2 0.898 0 0.12 0.386 0.597 2.284 3.911 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 1 0.511 1.348 0.81 1.981 1.023 0.514 1.446 0.813 NA 1 0.819 1.199 0.898 3.917 3.33 5.086 4.116 2.288 NA 0.003 0.002 0.006 0.001 NA NA NA NA NA NA
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 1 0.511 1.348 0.811 1.98 1.022 0.513 1.445 0.812 -0.002 NA NA NA NA 3.88 3.301 5.043 4.084 NA NA 2.435 1.631 3.504 1.96 1.988 2.912 2.386 2.181 1.786 2.616
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 1 0.506 1.334 0.809 2.027 0.938 0.509 1.42 0.801 NA 1 0.793 1.171 0.89 0 0.233 0.538 0.631 1.939 4.094 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 1 0.507 1.334 0.81 2.024 0.938 0.509 1.421 0.8 NA 1 0.793 1.171 0.89 0 0.234 0.538 0.63 2.015 4.097 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 1 0.506 1.334 0.81 2.026 0.938 0.509 1.418 0.799 NA 1 0.793 1.171 0.89 4.094 3.48 5.332 4.273 1.939 NA 0.001 0 0.002 0.002 NA NA NA NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 1 0.507 1.334 0.81 2.026 0.939 0.509 1.418 0.8 NA 1 0.793 1.171 0.89 4.08 3.467 5.314 4.26 2.001 NA 0.002 0.001 0.005 0.003 NA NA NA NA NA NA
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 1 0.507 1.335 0.81 2.026 0.938 0.509 1.417 0.798 0.003 NA NA NA NA 4.112 3.494 5.354 4.289 NA NA 2.148 1.348 2.951 1.7 1.699 2.512 1.99 1.907 1.511 2.233
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 1 0.513 1.307 0.809 1.976 1.02 0.499 1.568 0.771 NA 1 0.768 1.166 0.886 0 0.332 0.536 0.654 2.151 4.215 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 1 0.513 1.307 0.809 1.975 1.021 0.499 1.568 0.771 NA 1 0.768 1.167 0.886 0 0.335 0.536 0.657 2.225 4.212 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
