msst_wide_ml msst_long_ml msst_wide_bayes msst_long_bayes cuts_wide_ml cuts_long_ml cuts_wide_bayes cuts_long_bayes tso_wide_ml tso_wide_bayes tso_long_bayes
18.8 0.69 NA NA 23.08 0.54 NA NA 25.77 NA NA
18.39 0.6 NA NA 23.1 0.53 NA NA 18.26 NA NA
20.62 0.65 NA NA 23.62 0.68 NA NA 16.56 NA NA
19.79 0.59 NA NA 22.44 0.68 NA NA 17.82 NA NA
19.66 0.57 NA NA 26.22 0.64 NA NA 24.11 NA NA
20.1 0.7 NA NA 23.88 0.71 NA NA 21.42 NA NA
19.1 0.68 NA NA 24.03 0.68 NA NA 20.23 NA NA
19.83 0.66 NA NA 25.66 0.55 NA NA 30.68 NA NA
18.06 0.55 NA NA 25.4 0.57 NA NA 17.29 NA NA
18.71 0.72 NA NA 24.48 0.71 NA NA 25.16 NA NA
18.25 0.6 NA NA 25.92 0.58 NA NA 18.47 NA NA
19.09 0.59 NA NA 26.37 0.59 NA NA 21.06 NA NA
19.75 0.73 NA NA 24.72 0.75 NA NA 19.42 NA NA
18.62 0.58 NA NA 21.98 0.51 NA NA 18.17 NA NA
18.01 0.7 NA NA 23.6 0.63 NA NA 17.71 NA NA
18.37 0.95 NA NA 24.88 0.71 NA NA 17 NA NA
21.01 0.61 NA NA 24.16 0.68 NA NA 17.81 NA NA
20.63 0.53 NA NA 25.14 0.57 NA NA 19.03 NA NA
18.53 1.87 NA NA 24.66 0.61 NA NA 18.03 NA NA
23.16 0.72 NA NA 26.99 0.65 NA NA 17.89 NA NA
19.85 0.67 NA NA 24.92 0.6 NA NA 24.91 NA NA
18.68 0.52 NA NA 24.29 0.59 NA NA 17.14 NA NA
3600.38 0.77 NA NA 25.18 0.63 NA NA 19.15 NA NA
20 0.62 NA NA 23.7 0.51 NA NA 18.58 NA NA
18.4 1.11 NA NA 24.19 0.45 NA NA 37.54 NA NA
19.12 0.69 NA NA 24.08 0.62 NA NA 18.48 NA NA
19.38 0.71 NA NA 24.19 0.54 NA NA 24.78 NA NA
20.08 1.11 NA NA 23.05 1.07 NA NA 19.4 NA NA
3600.57 0.94 NA NA 26.05 0.83 NA NA 23.89 NA NA
19.1 0.8 NA NA 22.43 0.69 NA NA 20.09 NA NA
17.52 0.61 NA NA 24.36 0.61 NA NA 17.36 NA NA
18.08 0.67 NA NA 23.23 0.6 NA NA 20.62 NA NA
20.52 0.67 NA NA 24.63 0.62 NA NA 21.57 NA NA
19.68 0.62 NA NA 23.91 0.64 NA NA 18.43 NA NA
18.32 0.81 NA NA 23.96 0.6 NA NA 18.12 NA NA
19.59 0.77 NA NA 24.62 0.73 NA NA 22.21 NA NA
18.49 0.71 NA NA 25.44 0.65 NA NA 19.67 NA NA
19.17 0.74 NA NA 23.71 0.75 NA NA 21.69 NA NA
19.21 0.69 NA NA 24.74 0.62 NA NA 36.56 NA NA
19.62 0.61 NA NA 25.63 1.02 NA NA 16.44 NA NA
19 0.64 NA NA 24.56 0.62 NA NA 18.52 NA NA
17.69 0.58 NA NA 24.06 0.7 NA NA 23.3 NA NA
19.11 0.64 NA NA 24.71 0.64 NA NA 32.4 NA NA
19.75 0.65 NA NA 24.57 0.67 NA NA 17.49 NA NA
19.75 0.62 NA NA 25.38 0.66 NA NA 17.92 NA NA
19.75 0.81 NA NA 24.64 0.54 NA NA 31.77 NA NA
19.76 0.66 NA NA 23.5 0.65 NA NA 17.6 NA NA
19.19 0.74 NA NA 23.99 0.63 NA NA 18.21 NA NA
19.47 0.61 NA NA 24.42 0.58 NA NA 23.53 NA NA
19.37 1.91 NA NA 24.52 0.62 NA NA 19.65 NA NA
19.03 1.07 NA NA 24.61 0.63 NA NA 18.5 NA NA
19.52 2.02 NA NA 24.59 0.5 NA NA 17.61 NA NA
20.83 0.67 NA NA 25.14 0.81 NA NA 33.46 NA NA
3600.42 0.86 NA NA 30.33 0.63 NA NA 19.08 NA NA
19.65 0.63 NA NA 24.1 0.61 NA NA 18.89 NA NA
19.76 0.69 NA NA 23.55 0.61 NA NA 19.16 NA NA
18.42 0.77 NA NA 23.32 0.64 NA NA 19.27 NA NA
18.76 0.78 NA NA 26.47 0.55 NA NA 17.38 NA NA
20.02 0.9 NA NA 23.52 0.67 NA NA 18.71 NA NA
19.83 0.61 NA NA 25.39 0.62 NA NA 25.09 NA NA
18.37 0.79 NA NA 24.27 0.58 NA NA 21.46 NA NA
0.56 0.76 NA NA 0.56 0.69 NA NA 0.56 NA NA
19.54 0.68 NA NA 24.74 0.56 NA NA 16.99 NA NA
19.59 0.66 NA NA 24.09 0.64 NA NA 19.62 NA NA
18.39 0.75 NA NA 25.97 0.66 NA NA 19.87 NA NA
19.73 0.87 NA NA 24.7 0.58 NA NA 25.38 NA NA
18.8 0.67 NA NA 25.23 0.78 NA NA 18.39 NA NA
0.56 0.55 NA NA 0.59 0.57 NA NA 0.52 NA NA
18.82 0.78 NA NA 23.7 0.67 NA NA 19.42 NA NA
18.61 0.91 NA NA 24.58 0.62 NA NA 19.31 NA NA
20.48 0.58 NA NA 24.4 0.51 NA NA 18.4 NA NA
19.65 0.55 NA NA 24.41 0.6 NA NA 18.06 NA NA
19.52 0.75 NA NA 24.65 0.52 NA NA 18.44 NA NA
20.25 0.58 NA NA 23.74 0.81 NA NA 17.8 NA NA
19.25 0.64 NA NA 24.64 0.78 NA NA 16.9 NA NA
19.03 0.69 NA NA 23.72 0.63 NA NA 18.05 NA NA
19.28 0.73 NA NA 24.15 0.54 NA NA 18.17 NA NA
18.85 0.9 NA NA 26.46 0.85 NA NA 19.84 NA NA
24.12 0.91 NA NA 26.13 0.75 NA NA 25.75 NA NA
18.57 0.63 NA NA 25.47 0.65 NA NA 20.76 NA NA
19.59 0.7 NA NA 24.42 0.46 NA NA 23.16 NA NA
22.25 0.76 NA NA 24.31 0.48 NA NA 16.56 NA NA
19.01 0.61 NA NA 24.44 0.66 NA NA 31.29 NA NA
17.96 0.62 NA NA 23.89 0.61 NA NA 19.24 NA NA
19.44 0.6 NA NA 24.54 0.54 NA NA 18.97 NA NA
19.11 0.9 NA NA 24.15 0.73 NA NA 23.2 NA NA
19.95 0.59 NA NA 23.88 0.65 NA NA 18.32 NA NA
21.15 0.59 NA NA 24.35 0.71 NA NA 23.42 NA NA
18.78 0.7 NA NA 23.41 0.63 NA NA 34.41 NA NA
20.24 0.75 NA NA 24.84 0.56 NA NA 17.61 NA NA
20.21 0.59 NA NA 25.06 0.59 NA NA 17.57 NA NA
18.91 0.78 NA NA 24.62 0.62 NA NA 16.5 NA NA
18.8 0.57 NA NA 24.83 0.66 NA NA 19.9 NA NA
18.85 0.66 NA NA 26.26 0.71 NA NA 22.17 NA NA
18.81 0.69 NA NA 27.45 0.56 NA NA 20.35 NA NA
18.62 0.82 NA NA 27.12 0.69 NA NA 17.83 NA NA
19 1.12 NA NA 27.78 0.82 NA NA 19.69 NA NA
18.82 0.57 NA NA 25.41 0.6 NA NA 21.15 NA NA
21.37 0.79 NA NA 25.96 0.69 NA NA 17.47 NA NA
22.63 0.87 NA NA 24.74 0.69 NA NA 18.97 NA NA
