msst_wide_ml msst_long_ml msst_wide_bayes msst_long_bayes cuts_wide_ml cuts_long_ml cuts_wide_bayes cuts_long_bayes tso_wide_ml tso_wide_bayes tso_long_bayes
NA NA 70.68 181.96 NA NA 78.88 78.24 NA 72.38 86.26
NA NA 72.62 172 NA NA 80.28 55.98 NA 71.94 80.18
NA NA 71.86 127.5 NA NA 81.25 79.71 NA 72.55 83.61
NA NA 70.85 125.08 NA NA 78.16 80.1 NA 70.94 75.09
NA NA 71.37 137.23 NA NA 79.58 75.95 NA 73.03 75.99
NA NA 73.87 159.27 NA NA 78.48 64.96 NA 70.39 88.4
NA NA 71.05 168.43 NA NA 80.32 55 NA 72.58 87.49
NA NA 71.9 173.31 NA NA 79.68 54.5 NA 71.89 80.94
NA NA 72.01 166.87 NA NA 79.88 58.11 NA 71.74 88.32
NA NA 70.79 121.72 NA NA 76.92 74.49 NA 71.75 78.83
NA NA 72.07 178.64 NA NA 79.77 72.68 NA 70.99 80.36
NA NA 71.5 171.15 NA NA 80.23 74.99 NA 71.52 88.35
NA NA 71.29 122.69 NA NA 78.3 52.14 NA 72.37 87.28
NA NA 70.31 122.29 NA NA 79.12 69.79 NA 71.46 80.59
NA NA 72.62 156.31 NA NA 78.91 62.13 NA 69.77 89.99
NA NA 70.57 123.16 NA NA 79.08 54.38 NA 71.06 88.78
NA NA 70.98 172.08 NA NA 80.14 78.88 NA 71.1 78.77
NA NA 70.99 169.69 NA NA 77.33 76.6 NA 70.77 82.14
NA NA 70.66 172.33 NA NA 78.46 77.87 NA 72.29 85.17
NA NA 69.61 177.09 NA NA 78.89 54.53 NA 71.77 91.27
NA NA 70.41 172.66 NA NA 79.61 78.69 NA 74.77 77.62
NA NA 70.15 142.48 NA NA 79.31 80.11 NA 72.35 86.58
NA NA 71.69 170.37 NA NA 80.71 72.79 NA 72.89 89.02
NA NA 72.66 130.92 NA NA 80.54 65.72 NA 70.86 83.93
NA NA 72.12 116.09 NA NA 78.41 77.89 NA 70.56 90.11
NA NA 71.49 167 NA NA 79.35 63.72 NA 71.41 84.34
NA NA 68.54 121.9 NA NA 79.82 78.23 NA 72.13 79.24
NA NA 69.08 123.62 NA NA 77.36 56.92 NA 72.09 89.68
