AIC BIC aBIC DIC
msst_wide_ml_r1 NA NA NA NA
msst_long_ml_r1 117004.907 117118.585 117067.74 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 115340.059
cuts_wide_ml_r1 NA NA NA NA
cuts_long_ml_r1 107216.38 107358.478 107294.921 NA
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 105941.561
tso_wide_ml_r1 NA NA NA NA
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 95754.053
msst_wide_ml_r2 NA NA NA NA
msst_long_ml_r2 118173.514 118287.194 118236.349 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 116483.846
cuts_wide_ml_r2 NA NA NA NA
cuts_long_ml_r2 107218.866 107360.966 107297.409 NA
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 105881.869
tso_wide_ml_r2 NA NA NA NA
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 95818.75
msst_wide_ml_r3 NA NA NA NA
msst_long_ml_r3 117617.306 117730.982 117680.137 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 116031.64
cuts_wide_ml_r3 NA NA NA NA
cuts_long_ml_r3 106763.442 106905.537 106841.98 NA
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 105459.015
tso_wide_ml_r3 NA NA NA NA
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 95650.468
msst_wide_ml_r4 NA NA NA NA
msst_long_ml_r4 117083.912 117197.592 117146.747 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 115357.57
cuts_wide_ml_r4 NA NA NA NA
cuts_long_ml_r4 106970.732 107112.832 107049.275 NA
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 105647.829
tso_wide_ml_r4 NA NA NA NA
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 95568.666
msst_wide_ml_r5 NA NA NA NA
msst_long_ml_r5 117762.081 117875.759 117824.913 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 116196.38
cuts_wide_ml_r5 NA NA NA NA
cuts_long_ml_r5 107018.875 107160.972 107097.416 NA
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 105713.855
tso_wide_ml_r5 NA NA NA NA
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 95572.216
msst_wide_ml_r6 NA NA NA NA
msst_long_ml_r6 116982.796 117096.476 117045.631 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 115311.932
cuts_wide_ml_r6 NA NA NA NA
cuts_long_ml_r6 107355.083 107497.183 107433.626 NA
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 106047.153
tso_wide_ml_r6 NA NA NA NA
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 96054.027
