AIC BIC aBIC DIC
msst_wide_ml_r1 NA NA NA NA
msst_long_ml_r1 77612.365 77719.557 77668.714 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 77275.93
cuts_wide_ml_r1 NA NA NA NA
cuts_long_ml_r1 77620.567 77754.557 77691.003 NA
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 77277.095
tso_wide_ml_r1 NA NA NA NA
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 70068.524
msst_wide_ml_r2 NA NA NA NA
msst_long_ml_r2 78081.653 78188.846 78138.002 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 77745.093
cuts_wide_ml_r2 NA NA NA NA
cuts_long_ml_r2 78090.128 78224.118 78160.564 NA
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 77751.245
tso_wide_ml_r2 NA NA NA NA
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 70550.759
msst_wide_ml_r3 NA NA NA NA
msst_long_ml_r3 78111.312 78218.504 78167.661 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 77780.705
cuts_wide_ml_r3 NA NA NA NA
cuts_long_ml_r3 -999 -999 -999 -999
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 77788.821
tso_wide_ml_r3 NA NA NA NA
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 70522.156
msst_wide_ml_r4 NA NA NA NA
msst_long_ml_r4 77932.276 78039.468 77988.625 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 77582.874
cuts_wide_ml_r4 NA NA NA NA
cuts_long_ml_r4 77940.543 78074.533 78010.979 NA
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 77587.1
tso_wide_ml_r4 NA NA NA NA
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 70220.45
msst_wide_ml_r5 NA NA NA NA
msst_long_ml_r5 77788.275 77895.467 77844.623 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 77454.278
cuts_wide_ml_r5 NA NA NA NA
cuts_long_ml_r5 -999 -999 -999 -999
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 77459.748
tso_wide_ml_r5 NA NA NA NA
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 70199.097
msst_wide_ml_r6 NA NA NA NA
msst_long_ml_r6 78075.912 78183.104 78132.26 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 77730.549
cuts_wide_ml_r6 NA NA NA NA
cuts_long_ml_r6 78081.72 78215.71 78152.156 NA
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 77738.47
tso_wide_ml_r6 NA NA NA NA
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 70351.412
msst_wide_ml_r7 NA NA NA NA
msst_long_ml_r7 77956.143 78063.335 78012.492 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 77621.533
cuts_wide_ml_r7 NA NA NA NA
cuts_long_ml_r7 77964.435 78098.425 78034.871 NA
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 77627.228
tso_wide_ml_r7 NA NA NA NA
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 70446.588
msst_wide_ml_r8 NA NA NA NA
msst_long_ml_r8 77890.611 77997.803 77946.959 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 77572.036
cuts_wide_ml_r8 NA NA NA NA
cuts_long_ml_r8 77898.812 78032.802 77969.248 NA
cuts_wide_bayes_r8 NA NA NA NA
cuts_long_bayes_r8 NA NA NA 77578.751
tso_wide_ml_r8 NA NA NA NA
tso_wide_bayes_r8 NA NA NA NA
tso_long_bayes_r8 NA NA NA 70193.612
msst_wide_ml_r9 NA NA NA NA
msst_long_ml_r9 77950.273 78057.465 78006.621 NA
msst_wide_bayes_r9 NA NA NA NA
msst_long_bayes_r9 NA NA NA 77603.969
cuts_wide_ml_r9 NA NA NA NA
cuts_long_ml_r9 77957.459 78091.449 78027.895 NA
cuts_wide_bayes_r9 NA NA NA NA
