AIC BIC aBIC DIC
msst_wide_ml_r1 NA NA NA NA
msst_long_ml_r1 85889.333 85996.525 85945.681 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 84858.63
cuts_wide_ml_r1 NA NA NA NA
cuts_long_ml_r1 78956.846 79090.836 79027.282 NA
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 77802.729
tso_wide_ml_r1 NA NA NA NA
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 70399.244
msst_wide_ml_r2 NA NA NA NA
msst_long_ml_r2 85631.991 85739.184 85688.34 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 84544.72
cuts_wide_ml_r2 NA NA NA NA
cuts_long_ml_r2 78629.911 78763.901 78700.346 NA
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 77455.891
tso_wide_ml_r2 NA NA NA NA
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 70502.967
msst_wide_ml_r3 NA NA NA NA
msst_long_ml_r3 86454.146 86561.338 86510.495 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 85363.5
cuts_wide_ml_r3 NA NA NA NA
cuts_long_ml_r3 78777.252 78911.242 78847.688 NA
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 77618.51
tso_wide_ml_r3 NA NA NA NA
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 70286.781
msst_wide_ml_r4 NA NA NA NA
msst_long_ml_r4 85669.982 85777.175 85726.331 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 84587.665
cuts_wide_ml_r4 NA NA NA NA
cuts_long_ml_r4 79069.667 79203.657 79140.102 NA
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 77908.107
tso_wide_ml_r4 NA NA NA NA
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 70647.62
msst_wide_ml_r5 NA NA NA NA
msst_long_ml_r5 85809.07 85916.262 85865.418 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 84671.472
cuts_wide_ml_r5 NA NA NA NA
cuts_long_ml_r5 78705.738 78839.729 78776.174 NA
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 77521.437
tso_wide_ml_r5 NA NA NA NA
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 70166.227
msst_wide_ml_r6 NA NA NA NA
msst_long_ml_r6 85491.657 85598.85 85548.006 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 84416.325
cuts_wide_ml_r6 NA NA NA NA
cuts_long_ml_r6 79033.214 79167.204 79103.65 NA
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 77881.033
tso_wide_ml_r6 NA NA NA NA
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 70513.77
msst_wide_ml_r7 NA NA NA NA
msst_long_ml_r7 86324.671 86431.863 86381.019 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 85287.914
cuts_wide_ml_r7 NA NA NA NA
cuts_long_ml_r7 79142.759 79276.75 79213.195 NA
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 77984.176
tso_wide_ml_r7 NA NA NA NA
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 71091.92
msst_wide_ml_r8 NA NA NA NA
msst_long_ml_r8 86579.396 86686.588 86635.745 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 85449.334
cuts_wide_ml_r8 NA NA NA NA
