AIC BIC aBIC DIC
msst_wide_ml_r1 NA NA NA NA
msst_long_ml_r1 77566.348 77673.534 77622.691 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 76684.605
cuts_wide_ml_r1 NA NA NA NA
cuts_long_ml_r1 73045.278 73179.262 73115.707 NA
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 72079.008
tso_wide_ml_r1 NA NA NA NA
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 64105.595
msst_wide_ml_r2 NA NA NA NA
msst_long_ml_r2 76682.985 76790.174 76739.331 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 75882.779
cuts_wide_ml_r2 NA NA NA NA
cuts_long_ml_r2 73301.082 73435.069 73371.515 NA
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 72391.608
tso_wide_ml_r2 NA NA NA NA
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 64258.946
msst_wide_ml_r3 NA NA NA NA
msst_long_ml_r3 77527.979 77635.172 77584.328 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 76663.95
cuts_wide_ml_r3 NA NA NA NA
cuts_long_ml_r3 73529.476 73663.467 73599.912 NA
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 72580.388
tso_wide_ml_r3 NA NA NA NA
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 64345.545
msst_wide_ml_r4 NA NA NA NA
msst_long_ml_r4 77161.432 77268.624 77217.781 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 76323.465
cuts_wide_ml_r4 NA NA NA NA
cuts_long_ml_r4 -999 -999 -999 -999
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 72098.923
tso_wide_ml_r4 NA NA NA NA
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 63858.219
msst_wide_ml_r5 NA NA NA NA
msst_long_ml_r5 76234.337 76341.527 76290.683 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 75443.625
cuts_wide_ml_r5 NA NA NA NA
cuts_long_ml_r5 -999 -999 -999 -999
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 72090.057
tso_wide_ml_r5 NA NA NA NA
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 64161.533
msst_wide_ml_r6 NA NA NA NA
msst_long_ml_r6 75610.268 75717.46 75666.617 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 74800.901
cuts_wide_ml_r6 NA NA NA NA
cuts_long_ml_r6 72827.946 72961.936 72898.382 NA
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 71917.641
tso_wide_ml_r6 NA NA NA NA
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 64078.619
msst_wide_ml_r7 NA NA NA NA
msst_long_ml_r7 76533.052 76640.244 76589.401 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 75672.96
cuts_wide_ml_r7 NA NA NA NA
cuts_long_ml_r7 -999 -999 -999 -999
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 71689.256
tso_wide_ml_r7 NA NA NA NA
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 63526.17
msst_wide_ml_r8 NA NA NA NA
msst_long_ml_r8 75651.108 75758.301 75707.457 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 74856.907
cuts_wide_ml_r8 NA NA NA NA
cuts_long_ml_r8 -999 -999 -999 -999
cuts_wide_bayes_r8 NA NA NA NA
cuts_long_bayes_r8 NA NA NA 71559.479
tso_wide_ml_r8 NA NA NA NA
tso_wide_bayes_r8 NA NA NA NA
tso_long_bayes_r8 NA NA NA 63288.059
msst_wide_ml_r9 NA NA NA NA
msst_long_ml_r9 77653.79 77760.98 77710.136 NA
msst_wide_bayes_r9 NA NA NA NA
msst_long_bayes_r9 NA NA NA 76838.365
cuts_wide_ml_r9 NA NA NA NA
cuts_long_ml_r9 72981.694 73115.681 73052.126 NA
cuts_wide_bayes_r9 NA NA NA NA
cuts_long_bayes_r9 NA NA NA 71972.739
tso_wide_ml_r9 NA NA NA NA
tso_wide_bayes_r9 NA NA NA NA
tso_long_bayes_r9 NA NA NA 64305.046
msst_wide_ml_r10 NA NA NA NA
msst_long_ml_r10 78194.731 78301.923 78251.08 NA
msst_wide_bayes_r10 NA NA NA NA
msst_long_bayes_r10 NA NA NA 77263.765
cuts_wide_ml_r10 NA NA NA NA
cuts_long_ml_r10 73360.787 73494.777 73431.223 NA
cuts_wide_bayes_r10 NA NA NA NA
cuts_long_bayes_r10 NA NA NA 72346.738
tso_wide_ml_r10 NA NA NA NA
tso_wide_bayes_r10 NA NA NA NA
tso_long_bayes_r10 NA NA NA 64191.661
msst_wide_ml_r11 NA NA NA NA
msst_long_ml_r11 77028.036 77135.228 77084.384 NA
msst_wide_bayes_r11 NA NA NA NA
msst_long_bayes_r11 NA NA NA 76173.591
cuts_wide_ml_r11 NA NA NA NA
cuts_long_ml_r11 72952.811 73086.801 73023.246 NA
cuts_wide_bayes_r11 NA NA NA NA
cuts_long_bayes_r11 NA NA NA 72026.928
tso_wide_ml_r11 NA NA NA NA
tso_wide_bayes_r11 NA NA NA NA
tso_long_bayes_r11 NA NA NA 63788.985
msst_wide_ml_r12 NA NA NA NA
msst_long_ml_r12 76959.857 77067.049 77016.206 NA
msst_wide_bayes_r12 NA NA NA NA
msst_long_bayes_r12 NA NA NA 75943.753
cuts_wide_ml_r12 NA NA NA NA
cuts_long_ml_r12 72837.059 72971.049 72907.495 NA
cuts_wide_bayes_r12 NA NA NA NA
cuts_long_bayes_r12 NA NA NA 71868.074
tso_wide_ml_r12 NA NA NA NA
tso_wide_bayes_r12 NA NA NA NA
tso_long_bayes_r12 NA NA NA 63544.206
msst_wide_ml_r13 NA NA NA NA
msst_long_ml_r13 77451.682 77558.874 77508.03 NA
msst_wide_bayes_r13 NA NA NA NA
msst_long_bayes_r13 NA NA NA 76498.329
cuts_wide_ml_r13 NA NA NA NA
cuts_long_ml_r13 72802.494 72936.484 72872.929 NA
cuts_wide_bayes_r13 NA NA NA NA
cuts_long_bayes_r13 NA NA NA 71813.111
tso_wide_ml_r13 NA NA NA NA
tso_wide_bayes_r13 NA NA NA NA
tso_long_bayes_r13 NA NA NA 63526.714
msst_wide_ml_r14 NA NA NA NA
msst_long_ml_r14 76458.721 76565.91 76515.067 NA
msst_wide_bayes_r14 NA NA NA NA
msst_long_bayes_r14 NA NA NA 75688.801
cuts_wide_ml_r14 NA NA NA NA
cuts_long_ml_r14 72819.579 72953.566 72890.012 NA
cuts_wide_bayes_r14 NA NA NA NA
cuts_long_bayes_r14 NA NA NA 71865.976
tso_wide_ml_r14 NA NA NA NA
tso_wide_bayes_r14 NA NA NA NA
tso_long_bayes_r14 NA NA NA 63964.162
msst_wide_ml_r15 NA NA NA NA
msst_long_ml_r15 76641.191 76748.383 76697.54 NA
msst_wide_bayes_r15 NA NA NA NA
msst_long_bayes_r15 NA NA NA 75886.086
cuts_wide_ml_r15 NA NA NA NA
cuts_long_ml_r15 -999 -999 -999 -999
