AIC BIC aBIC DIC
msst_wide_ml_r1 38829.43 38871.112 38820.58 NA
msst_long_ml_r1 38825.617 38921.714 38870.876 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 38416.381
cuts_wide_ml_r1 36966.827 37018.931 36955.766 NA
cuts_long_ml_r1 36966.827 37086.948 37023.4 NA
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 36254.769
tso_wide_ml_r1 36417.106 36477.025 36404.385 NA
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 32443.954
msst_wide_ml_r2 -999 -999 -999 -999
msst_long_ml_r2 37970.29 38066.392 38015.554 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 37581.215
cuts_wide_ml_r2 -999 -999 -999 -999
cuts_long_ml_r2 36811.591 36931.719 36868.171 NA
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 36194.217
tso_wide_ml_r2 -999 -999 -999 -999
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 32152.307
msst_wide_ml_r3 -999 -999 -999 -999
msst_long_ml_r3 38590.645 38686.747 38635.909 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 38172.099
cuts_wide_ml_r3 -999 -999 -999 -999
cuts_long_ml_r3 37053.646 37173.774 37110.226 NA
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 36310.929
tso_wide_ml_r3 -999 -999 -999 -999
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 32274.71
msst_wide_ml_r4 -999 -999 -999 -999
msst_long_ml_r4 38375.497 38471.588 38420.75 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 37970.089
cuts_wide_ml_r4 -999 -999 -999 -999
cuts_long_ml_r4 36921.583 37041.697 36978.15 NA
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 36239.043
tso_wide_ml_r4 -999 -999 -999 -999
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 32215.168
msst_wide_ml_r5 -999 -999 -999 -999
msst_long_ml_r5 38838.66 38934.761 38883.923 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 38429.745
cuts_wide_ml_r5 -999 -999 -999 -999
cuts_long_ml_r5 -999 -999 -999 -999
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 35823.89
tso_wide_ml_r5 -999 -999 -999 -999
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 32034.487
msst_wide_ml_r6 -999 -999 -999 -999
msst_long_ml_r6 38683.355 38779.456 38728.618 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 38296.288
cuts_wide_ml_r6 -999 -999 -999 -999
cuts_long_ml_r6 37386.635 37506.762 37443.214 NA
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 36710.635
tso_wide_ml_r6 -999 -999 -999 -999
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 32585.337
msst_wide_ml_r7 -999 -999 -999 -999
msst_long_ml_r7 38083.918 38180.02 38129.182 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 37691.799
cuts_wide_ml_r7 -999 -999 -999 -999
cuts_long_ml_r7 36792.398 36912.526 36848.978 NA
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 36077.83
tso_wide_ml_r7 -999 -999 -999 -999
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 32127.737
msst_wide_ml_r8 -999 -999 -999 -999
msst_long_ml_r8 38736.178 38832.275 38781.437 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 38379.601
cuts_wide_ml_r8 -999 -999 -999 -999
cuts_long_ml_r8 -999 -999 -999 -999
cuts_wide_bayes_r8 NA NA NA NA
cuts_long_bayes_r8 NA NA NA 36398.826
tso_wide_ml_r8 -999 -999 -999 -999
tso_wide_bayes_r8 NA NA NA NA
tso_long_bayes_r8 NA NA NA 32327.808
msst_wide_ml_r9 -999 -999 -999 -999
msst_long_ml_r9 39104.915 39201.017 39150.179 NA
msst_wide_bayes_r9 NA NA NA NA
msst_long_bayes_r9 NA NA NA 38674.925
cuts_wide_ml_r9 -999 -999 -999 -999
cuts_long_ml_r9 36768.238 36888.366 36824.818 NA
cuts_wide_bayes_r9 NA NA NA NA
cuts_long_bayes_r9 NA NA NA 35977.836
tso_wide_ml_r9 -999 -999 -999 -999
tso_wide_bayes_r9 NA NA NA NA
tso_long_bayes_r9 NA NA NA 31918.54
msst_wide_ml_r10 37778.333 37820.016 37769.484 NA
msst_long_ml_r10 37775.888 37871.99 37821.152 NA
msst_wide_bayes_r10 NA NA NA NA
msst_long_bayes_r10 NA NA NA 37393.054
cuts_wide_ml_r10 36788.182 36840.285 36777.12 NA
cuts_long_ml_r10 36788.182 36908.309 36844.762 NA
cuts_wide_bayes_r10 NA NA NA NA
cuts_long_bayes_r10 NA NA NA 36182.509
tso_wide_ml_r10 36228.727 36288.646 36216.006 NA
tso_wide_bayes_r10 NA NA NA NA
tso_long_bayes_r10 NA NA NA 32236.358
msst_wide_ml_r11 -999 -999 -999 -999
msst_long_ml_r11 37930.996 38027.098 37976.26 NA
msst_wide_bayes_r11 NA NA NA NA
msst_long_bayes_r11 NA NA NA 37517.001
cuts_wide_ml_r11 -999 -999 -999 -999
cuts_long_ml_r11 36655.236 36775.363 36711.815 NA
cuts_wide_bayes_r11 NA NA NA NA
cuts_long_bayes_r11 NA NA NA 35952.91
tso_wide_ml_r11 -999 -999 -999 -999
tso_wide_bayes_r11 NA NA NA NA
tso_long_bayes_r11 NA NA NA 31963.162
msst_wide_ml_r12 -999 -999 -999 -999
msst_long_ml_r12 37949.96 38046.062 37995.223 NA
msst_wide_bayes_r12 NA NA NA NA
msst_long_bayes_r12 NA NA NA 37566.166
cuts_wide_ml_r12 -999 -999 -999 -999
cuts_long_ml_r12 36638.992 36759.119 36695.572 NA
cuts_wide_bayes_r12 NA NA NA NA
cuts_long_bayes_r12 NA NA NA 35973.828
tso_wide_ml_r12 -999 -999 -999 -999
tso_wide_bayes_r12 NA NA NA NA
tso_long_bayes_r12 NA NA NA 32050.248
msst_wide_ml_r13 -999 -999 -999 -999
msst_long_ml_r13 38989.001 39085.098 39034.26 NA
msst_wide_bayes_r13 NA NA NA NA
msst_long_bayes_r13 NA NA NA 38626.888
