AIC BIC aBIC DIC
msst_wide_ml_r1 42498.256 42539.939 42489.407 NA
msst_long_ml_r1 42494.376 42590.478 42539.639 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 42067.635
cuts_wide_ml_r1 -999 -999 -999 -999
cuts_long_ml_r1 -999 -999 -999 -999
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 39868.311
tso_wide_ml_r1 39875.088 39935.007 39862.367 NA
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 35448.593
msst_wide_ml_r2 42406.7 42448.383 42397.851 NA
msst_long_ml_r2 42402.603 42498.704 42447.866 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 41972.255
cuts_wide_ml_r2 -999 -999 -999 -999
cuts_long_ml_r2 -999 -999 -999 -999
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 39506.641
tso_wide_ml_r2 39670.443 39730.362 39657.722 NA
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 35309.855
msst_wide_ml_r3 42468.911 42510.593 42460.061 NA
msst_long_ml_r3 42464.805 42560.907 42510.069 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 42047.605
cuts_wide_ml_r3 -999 -999 -999 -999
cuts_long_ml_r3 -999 -999 -999 -999
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 39721.936
tso_wide_ml_r3 39893.038 39952.957 39880.317 NA
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 35369.383
msst_wide_ml_r4 42433.07 42474.753 42424.221 NA
msst_long_ml_r4 42429.127 42525.228 42474.39 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 41995.1
cuts_wide_ml_r4 -999 -999 -999 -999
cuts_long_ml_r4 -999 -999 -999 -999
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 39759.291
tso_wide_ml_r4 39874.105 39934.024 39861.385 NA
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 35496.905
msst_wide_ml_r5 42113.595 42155.278 42104.746 NA
msst_long_ml_r5 42109.315 42205.416 42154.578 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 41666.174
cuts_wide_ml_r5 -999 -999 -999 -999
cuts_long_ml_r5 -999 -999 -999 -999
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 39273.179
tso_wide_ml_r5 39428.53 39488.449 39415.809 NA
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 34997.38
msst_wide_ml_r6 42159.768 42201.451 42150.919 NA
msst_long_ml_r6 42155.97 42252.071 42201.233 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 41698.955
cuts_wide_ml_r6 -999 -999 -999 -999
cuts_long_ml_r6 -999 -999 -999 -999
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 39478.643
tso_wide_ml_r6 39649.517 39709.436 39636.796 NA
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 35261.336
msst_wide_ml_r7 42025.004 42066.686 42016.154 NA
msst_long_ml_r7 42020.798 42116.9 42066.062 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 41579.042
cuts_wide_ml_r7 -999 -999 -999 -999
cuts_long_ml_r7 -999 -999 -999 -999
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 39683.665
tso_wide_ml_r7 39765.576 39825.495 39752.856 NA
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 35513.742
msst_wide_ml_r8 42504.814 42546.497 42495.965 NA
msst_long_ml_r8 42501.358 42597.46 42546.622 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 42061.052
cuts_wide_ml_r8 -999 -999 -999 -999
cuts_long_ml_r8 -999 -999 -999 -999
cuts_wide_bayes_r8 NA NA NA NA
cuts_long_bayes_r8 NA NA NA 39744.306
tso_wide_ml_r8 39751.158 39811.077 39738.437 NA
tso_wide_bayes_r8 NA NA NA NA
tso_long_bayes_r8 NA NA NA 35142.877
msst_wide_ml_r9 41782.134 41823.817 41773.285 NA
msst_long_ml_r9 41778.363 41874.465 41823.627 NA
msst_wide_bayes_r9 NA NA NA NA
msst_long_bayes_r9 NA NA NA 41373.766
cuts_wide_ml_r9 -999 -999 -999 -999
cuts_long_ml_r9 -999 -999 -999 -999
cuts_wide_bayes_r9 NA NA NA NA
cuts_long_bayes_r9 NA NA NA 39355
tso_wide_ml_r9 39475.506 39535.425 39462.786 NA
tso_wide_bayes_r9 NA NA NA NA
tso_long_bayes_r9 NA NA NA 35151.554
msst_wide_ml_r10 41970.063 42011.746 41961.214 NA
msst_long_ml_r10 41966.078 42062.18 42011.342 NA
msst_wide_bayes_r10 NA NA NA NA
msst_long_bayes_r10 NA NA NA 41523.145
cuts_wide_ml_r10 -999 -999 -999 -999
cuts_long_ml_r10 -999 -999 -999 -999
cuts_wide_bayes_r10 NA NA NA NA
cuts_long_bayes_r10 NA NA NA 39511.978
tso_wide_ml_r10 39677.977 39737.895 39665.256 NA
tso_wide_bayes_r10 NA NA NA NA
tso_long_bayes_r10 NA NA NA 35393.544
msst_wide_ml_r11 42606.8 42648.482 42597.95 NA
msst_long_ml_r11 42603.61 42699.712 42648.873 NA
msst_wide_bayes_r11 NA NA NA NA
msst_long_bayes_r11 NA NA NA 42204.01
cuts_wide_ml_r11 -999 -999 -999 -999
cuts_long_ml_r11 -999 -999 -999 -999
cuts_wide_bayes_r11 NA NA NA NA
cuts_long_bayes_r11 NA NA NA 39670.901
tso_wide_ml_r11 39792.675 39852.594 39779.954 NA
tso_wide_bayes_r11 NA NA NA NA
tso_long_bayes_r11 NA NA NA 35298.842
msst_wide_ml_r12 42423.206 42464.888 42414.356 NA
msst_long_ml_r12 42419.207 42515.309 42464.471 NA
msst_wide_bayes_r12 NA NA NA NA
msst_long_bayes_r12 NA NA NA 42002.413
cuts_wide_ml_r12 -999 -999 -999 -999
cuts_long_ml_r12 -999 -999 -999 -999
cuts_wide_bayes_r12 NA NA NA NA
cuts_long_bayes_r12 NA NA NA 39637.646
tso_wide_ml_r12 39698.07 39757.989 39685.349 NA
tso_wide_bayes_r12 NA NA NA NA
tso_long_bayes_r12 NA NA NA 35253.231
msst_wide_ml_r13 42612.32 42654.003 42603.471 NA
msst_long_ml_r13 42608.493 42704.594 42653.756 NA
msst_wide_bayes_r13 NA NA NA NA
msst_long_bayes_r13 NA NA NA 42161.178
cuts_wide_ml_r13 -999 -999 -999 -999
cuts_long_ml_r13 -999 -999 -999 -999
cuts_wide_bayes_r13 NA NA NA NA
cuts_long_bayes_r13 NA NA NA 39888.205
tso_wide_ml_r13 40078.18 40138.099 40065.459 NA
tso_wide_bayes_r13 NA NA NA NA
tso_long_bayes_r13 NA NA NA 35713.109
msst_wide_ml_r14 42450.533 42492.216 42441.684 NA
msst_long_ml_r14 42446.409 42542.511 42491.673 NA
msst_wide_bayes_r14 NA NA NA NA
msst_long_bayes_r14 NA NA NA 41988.959
cuts_wide_ml_r14 -999 -999 -999 -999
cuts_long_ml_r14 -999 -999 -999 -999
cuts_wide_bayes_r14 NA NA NA NA
cuts_long_bayes_r14 NA NA NA 39612.877
tso_wide_ml_r14 39718.693 39778.612 39705.972 NA
tso_wide_bayes_r14 NA NA NA NA
tso_long_bayes_r14 NA NA NA 35380.703
msst_wide_ml_r15 42139.182 42180.864 42130.332 NA
msst_long_ml_r15 42134.855 42230.957 42180.119 NA
msst_wide_bayes_r15 NA NA NA NA
msst_long_bayes_r15 NA NA NA 41701.87
cuts_wide_ml_r15 -999 -999 -999 -999
cuts_long_ml_r15 -999 -999 -999 -999
cuts_wide_bayes_r15 NA NA NA NA
cuts_long_bayes_r15 NA NA NA 39650.828
tso_wide_ml_r15 39707.238 39767.157 39694.517 NA
tso_wide_bayes_r15 NA NA NA NA
tso_long_bayes_r15 NA NA NA 35350.382
msst_wide_ml_r16 42374.382 42416.065 42365.533 NA
msst_long_ml_r16 42370.598 42466.7 42415.862 NA
msst_wide_bayes_r16 NA NA NA NA
msst_long_bayes_r16 NA NA NA 41947.798
cuts_wide_ml_r16 -999 -999 -999 -999
cuts_long_ml_r16 -999 -999 -999 -999
cuts_wide_bayes_r16 NA NA NA NA
cuts_long_bayes_r16 NA NA NA 39676.114
tso_wide_ml_r16 39783.477 39843.396 39770.756 NA
tso_wide_bayes_r16 NA NA NA NA
tso_long_bayes_r16 NA NA NA 35369.308
msst_wide_ml_r17 42369 42410.682 42360.15 NA
msst_long_ml_r17 42365.052 42461.154 42410.316 NA
msst_wide_bayes_r17 NA NA NA NA
msst_long_bayes_r17 NA NA NA 41948.913
cuts_wide_ml_r17 -999 -999 -999 -999
cuts_long_ml_r17 -999 -999 -999 -999
cuts_wide_bayes_r17 NA NA NA NA
cuts_long_bayes_r17 NA NA NA 39558.576
tso_wide_ml_r17 39625.349 39685.267 39612.628 NA
tso_wide_bayes_r17 NA NA NA NA
tso_long_bayes_r17 NA NA NA 35063.135
msst_wide_ml_r18 42376.288 42417.97 42367.438 NA
msst_long_ml_r18 42372.674 42468.776 42417.937 NA
msst_wide_bayes_r18 NA NA NA NA
msst_long_bayes_r18 NA NA NA 41952.983
cuts_wide_ml_r18 -999 -999 -999 -999
cuts_long_ml_r18 -999 -999 -999 -999
cuts_wide_bayes_r18 NA NA NA NA
cuts_long_bayes_r18 NA NA NA 39900.246
tso_wide_ml_r18 39979.624 40039.543 39966.903 NA
tso_wide_bayes_r18 NA NA NA NA
tso_long_bayes_r18 NA NA NA 35584.727
msst_wide_ml_r19 42708.801 42750.484 42699.952 NA
msst_long_ml_r19 42704.367 42800.469 42749.631 NA
msst_wide_bayes_r19 NA NA NA NA
msst_long_bayes_r19 NA NA NA 42249.975
cuts_wide_ml_r19 -999 -999 -999 -999
cuts_long_ml_r19 -999 -999 -999 -999
cuts_wide_bayes_r19 NA NA NA NA
cuts_long_bayes_r19 NA NA NA 39951.145
tso_wide_ml_r19 40043.338 40103.257 40030.617 NA
tso_wide_bayes_r19 NA NA NA NA
tso_long_bayes_r19 NA NA NA 35530.075
msst_wide_ml_r20 42003.591 42045.274 41994.742 NA
msst_long_ml_r20 41999.561 42095.663 42044.825 NA
msst_wide_bayes_r20 NA NA NA NA
msst_long_bayes_r20 NA NA NA 41544.515
cuts_wide_ml_r20 -999 -999 -999 -999
cuts_long_ml_r20 -999 -999 -999 -999
cuts_wide_bayes_r20 NA NA NA NA
cuts_long_bayes_r20 NA NA NA 39589.56
tso_wide_ml_r20 39705.877 39765.796 39693.156 NA
tso_wide_bayes_r20 NA NA NA NA
tso_long_bayes_r20 NA NA NA 35350.096
msst_wide_ml_r21 42213.268 42254.951 42204.419 NA
msst_long_ml_r21 42209.366 42305.468 42254.63 NA
msst_wide_bayes_r21 NA NA NA NA
msst_long_bayes_r21 NA NA NA 41773.14
cuts_wide_ml_r21 -999 -999 -999 -999
cuts_long_ml_r21 -999 -999 -999 -999
cuts_wide_bayes_r21 NA NA NA NA
cuts_long_bayes_r21 NA NA NA 39550.939
tso_wide_ml_r21 39742.567 39802.486 39729.846 NA
tso_wide_bayes_r21 NA NA NA NA
tso_long_bayes_r21 NA NA NA 35319.845
msst_wide_ml_r22 42588.156 42629.838 42579.306 NA
msst_long_ml_r22 42584.205 42680.307 42629.469 NA
msst_wide_bayes_r22 NA NA NA NA
msst_long_bayes_r22 NA NA NA 42172.29
cuts_wide_ml_r22 -999 -999 -999 -999
cuts_long_ml_r22 -999 -999 -999 -999
cuts_wide_bayes_r22 NA NA NA NA
cuts_long_bayes_r22 NA NA NA 39606.978
tso_wide_ml_r22 39782.466 39842.385 39769.746 NA
tso_wide_bayes_r22 NA NA NA NA
tso_long_bayes_r22 NA NA NA 35404.177
msst_wide_ml_r23 42260.166 42301.849 42251.317 NA
msst_long_ml_r23 42256.288 42352.39 42301.552 NA
msst_wide_bayes_r23 NA NA NA NA
msst_long_bayes_r23 NA NA NA 41833.482
cuts_wide_ml_r23 -999 -999 -999 -999
cuts_long_ml_r23 -999 -999 -999 -999
cuts_wide_bayes_r23 NA NA NA NA
cuts_long_bayes_r23 NA NA NA 39540.875
tso_wide_ml_r23 39627.571 39687.49 39614.85 NA
tso_wide_bayes_r23 NA NA NA NA
tso_long_bayes_r23 NA NA NA 35184.01
msst_wide_ml_r24 42338.689 42380.372 42329.84 NA
msst_long_ml_r24 42334.507 42430.609 42379.771 NA
msst_wide_bayes_r24 NA NA NA NA
msst_long_bayes_r24 NA NA NA 41879.933
cuts_wide_ml_r24 -999 -999 -999 -999
cuts_long_ml_r24 -999 -999 -999 -999
cuts_wide_bayes_r24 NA NA NA NA
cuts_long_bayes_r24 NA NA NA 39800.999
tso_wide_ml_r24 39948.577 40008.496 39935.856 NA
tso_wide_bayes_r24 NA NA NA NA
tso_long_bayes_r24 NA NA NA 35516.448
msst_wide_ml_r25 41742.972 41784.655 41734.123 NA
msst_long_ml_r25 41739.161 41835.263 41784.424 NA
msst_wide_bayes_r25 NA NA NA NA
msst_long_bayes_r25 NA NA NA 41303.036
cuts_wide_ml_r25 -999 -999 -999 -999
cuts_long_ml_r25 -999 -999 -999 -999
cuts_wide_bayes_r25 NA NA NA NA
cuts_long_bayes_r25 NA NA NA 39383.101
tso_wide_ml_r25 39516.471 39576.39 39503.75 NA
tso_wide_bayes_r25 NA NA NA NA
tso_long_bayes_r25 NA NA NA 35214.981
msst_wide_ml_r26 41871.088 41912.771 41862.239 NA
msst_long_ml_r26 41867.347 41963.449 41912.611 NA
msst_wide_bayes_r26 NA NA NA NA
msst_long_bayes_r26 NA NA NA 41431.282
cuts_wide_ml_r26 -999 -999 -999 -999
