AIC BIC aBIC DIC
msst_wide_ml_r1 77612.091 77653.774 77603.242 NA
msst_long_ml_r1 77612.365 77719.557 77668.714 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 77275.93
cuts_wide_ml_r1 -999 -999 -999 -999
cuts_long_ml_r1 77620.567 77754.557 77691.003 NA
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 77277.095
tso_wide_ml_r1 -999 -999 -999 -999
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 70068.524
msst_wide_ml_r2 78081.51 78123.193 78072.661 NA
msst_long_ml_r2 78081.653 78188.846 78138.002 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 77745.093
cuts_wide_ml_r2 -999 -999 -999 -999
cuts_long_ml_r2 78090.128 78224.118 78160.564 NA
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 77751.245
tso_wide_ml_r2 -999 -999 -999 -999
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 70550.759
msst_wide_ml_r3 78111.353 78153.036 78102.504 NA
msst_long_ml_r3 78111.312 78218.504 78167.661 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 77780.705
cuts_wide_ml_r3 -999 -999 -999 -999
cuts_long_ml_r3 -999 -999 -999 -999
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 77788.821
tso_wide_ml_r3 -999 -999 -999 -999
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 70522.156
msst_wide_ml_r4 77932.142 77973.824 77923.292 NA
msst_long_ml_r4 77932.276 78039.468 77988.625 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 77582.874
cuts_wide_ml_r4 -999 -999 -999 -999
cuts_long_ml_r4 77940.543 78074.533 78010.979 NA
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 77587.1
tso_wide_ml_r4 -999 -999 -999 -999
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 70220.45
msst_wide_ml_r5 77788.49 77830.173 77779.641 NA
msst_long_ml_r5 77788.275 77895.467 77844.623 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 77454.278
cuts_wide_ml_r5 -999 -999 -999 -999
cuts_long_ml_r5 -999 -999 -999 -999
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 77459.748
tso_wide_ml_r5 -999 -999 -999 -999
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 70199.097
msst_wide_ml_r6 78076.103 78117.786 78067.254 NA
msst_long_ml_r6 78075.912 78183.104 78132.26 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 77730.549
cuts_wide_ml_r6 -999 -999 -999 -999
cuts_long_ml_r6 78081.72 78215.71 78152.156 NA
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 77738.47
tso_wide_ml_r6 -999 -999 -999 -999
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 70351.412
msst_wide_ml_r7 77956.009 77997.691 77947.159 NA
msst_long_ml_r7 77956.143 78063.335 78012.492 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 77621.533
cuts_wide_ml_r7 -999 -999 -999 -999
cuts_long_ml_r7 77964.435 78098.425 78034.871 NA
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 77627.228
tso_wide_ml_r7 -999 -999 -999 -999
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 70446.588
msst_wide_ml_r8 77890.511 77932.193 77881.661 NA
msst_long_ml_r8 77890.611 77997.803 77946.959 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 77572.036
cuts_wide_ml_r8 -999 -999 -999 -999
cuts_long_ml_r8 77898.812 78032.802 77969.248 NA
cuts_wide_bayes_r8 NA NA NA NA
cuts_long_bayes_r8 NA NA NA 77578.751
tso_wide_ml_r8 -999 -999 -999 -999
tso_wide_bayes_r8 NA NA NA NA
tso_long_bayes_r8 NA NA NA 70193.612
msst_wide_ml_r9 77950.375 77992.058 77941.526 NA
msst_long_ml_r9 77950.273 78057.465 78006.621 NA
msst_wide_bayes_r9 NA NA NA NA
msst_long_bayes_r9 NA NA NA 77603.969
cuts_wide_ml_r9 -999 -999 -999 -999
cuts_long_ml_r9 77957.459 78091.449 78027.895 NA
cuts_wide_bayes_r9 NA NA NA NA
cuts_long_bayes_r9 NA NA NA 77612.428
tso_wide_ml_r9 -999 -999 -999 -999
tso_wide_bayes_r9 NA NA NA NA
tso_long_bayes_r9 NA NA NA 70393.739
msst_wide_ml_r10 77777.556 77819.239 77768.707 NA
msst_long_ml_r10 77777.69 77884.882 77834.039 NA
msst_wide_bayes_r10 NA NA NA NA
msst_long_bayes_r10 NA NA NA 77438.583
cuts_wide_ml_r10 -999 -999 -999 -999
cuts_long_ml_r10 77785.947 77919.937 77856.382 NA
cuts_wide_bayes_r10 NA NA NA NA
cuts_long_bayes_r10 NA NA NA 77442.173
tso_wide_ml_r10 -999 -999 -999 -999
tso_wide_bayes_r10 NA NA NA NA
tso_long_bayes_r10 NA NA NA 70244.09
msst_wide_ml_r11 77595.525 77637.207 77586.675 NA
msst_long_ml_r11 77595.553 77702.745 77651.901 NA
msst_wide_bayes_r11 NA NA NA NA
msst_long_bayes_r11 NA NA NA 77253.505
cuts_wide_ml_r11 -999 -999 -999 -999
cuts_long_ml_r11 77602.905 77736.895 77673.341 NA
cuts_wide_bayes_r11 NA NA NA NA
cuts_long_bayes_r11 NA NA NA 77259.436
tso_wide_ml_r11 -999 -999 -999 -999
tso_wide_bayes_r11 NA NA NA NA
tso_long_bayes_r11 NA NA NA 69729.631
msst_wide_ml_r12 77998.07 78039.753 77989.221 NA
msst_long_ml_r12 77998.34 78105.533 78054.689 NA
msst_wide_bayes_r12 NA NA NA NA
msst_long_bayes_r12 NA NA NA 77642.776
cuts_wide_ml_r12 -999 -999 -999 -999
cuts_long_ml_r12 78006.766 78140.757 78077.202 NA
cuts_wide_bayes_r12 NA NA NA NA
cuts_long_bayes_r12 NA NA NA 77646.216
tso_wide_ml_r12 -999 -999 -999 -999
tso_wide_bayes_r12 NA NA NA NA
tso_long_bayes_r12 NA NA NA 70535.146
msst_wide_ml_r13 77475.433 77517.116 77466.583 NA
msst_long_ml_r13 77475.194 77582.386 77531.543 NA
msst_wide_bayes_r13 NA NA NA NA
msst_long_bayes_r13 NA NA NA 77121.957
cuts_wide_ml_r13 -999 -999 -999 -999
cuts_long_ml_r13 77480.4 77614.39 77550.836 NA
cuts_wide_bayes_r13 NA NA NA NA
cuts_long_bayes_r13 NA NA NA 77126.735
tso_wide_ml_r13 -999 -999 -999 -999
tso_wide_bayes_r13 NA NA NA NA
tso_long_bayes_r13 NA NA NA 69890.571
msst_wide_ml_r14 78317.984 78359.667 78309.135 NA
msst_long_ml_r14 78318.072 78425.264 78374.421 NA
msst_wide_bayes_r14 NA NA NA NA
msst_long_bayes_r14 NA NA NA 77962.516
cuts_wide_ml_r14 -999 -999 -999 -999
cuts_long_ml_r14 78326.353 78460.343 78396.788 NA
cuts_wide_bayes_r14 NA NA NA NA
cuts_long_bayes_r14 NA NA NA 77967.283
tso_wide_ml_r14 -999 -999 -999 -999
tso_wide_bayes_r14 NA NA NA NA
tso_long_bayes_r14 NA NA NA 70848.966
msst_wide_ml_r15 77971.23 78012.913 77962.381 NA
msst_long_ml_r15 77971.413 78078.606 78027.762 NA
msst_wide_bayes_r15 NA NA NA NA
msst_long_bayes_r15 NA NA NA 77629.243
cuts_wide_ml_r15 -999 -999 -999 -999
cuts_long_ml_r15 77979.89 78113.881 78050.326 NA
cuts_wide_bayes_r15 NA NA NA NA
cuts_long_bayes_r15 NA NA NA 77634.03
tso_wide_ml_r15 -999 -999 -999 -999
tso_wide_bayes_r15 NA NA NA NA
tso_long_bayes_r15 NA NA NA 70668.44
msst_wide_ml_r16 77915.471 77957.154 77906.622 NA
msst_long_ml_r16 77915.122 78022.314 77971.471 NA
msst_wide_bayes_r16 NA NA NA NA
msst_long_bayes_r16 NA NA NA 77563.969
cuts_wide_ml_r16 -999 -999 -999 -999
cuts_long_ml_r16 -999 -999 -999 -999
cuts_wide_bayes_r16 NA NA NA NA
cuts_long_bayes_r16 NA NA NA 77567.728
tso_wide_ml_r16 -999 -999 -999 -999
tso_wide_bayes_r16 NA NA NA NA
tso_long_bayes_r16 NA NA NA 70241.614
msst_wide_ml_r17 77988.264 78029.947 77979.415 NA
msst_long_ml_r17 77988.087 78095.279 78044.435 NA
msst_wide_bayes_r17 NA NA NA NA
msst_long_bayes_r17 NA NA NA 77628.487
cuts_wide_ml_r17 -999 -999 -999 -999
cuts_long_ml_r17 77993.403 78127.393 78063.839 NA
cuts_wide_bayes_r17 NA NA NA NA
cuts_long_bayes_r17 NA NA NA 77636.092
tso_wide_ml_r17 -999 -999 -999 -999
tso_wide_bayes_r17 NA NA NA NA
tso_long_bayes_r17 NA NA NA 70195.679
msst_wide_ml_r18 78107.795 78149.478 78098.946 NA
msst_long_ml_r18 78107.831 78215.023 78164.179 NA
msst_wide_bayes_r18 NA NA NA NA
msst_long_bayes_r18 NA NA NA 77761.719
cuts_wide_ml_r18 -999 -999 -999 -999
cuts_long_ml_r18 -999 -999 -999 -999
cuts_wide_bayes_r18 NA NA NA NA
cuts_long_bayes_r18 NA NA NA 77767.344
tso_wide_ml_r18 -999 -999 -999 -999
tso_wide_bayes_r18 NA NA NA NA
tso_long_bayes_r18 NA NA NA 70672.262
msst_wide_ml_r19 77780.678 77822.361 77771.829 NA
msst_long_ml_r19 77780.602 77887.795 77836.951 NA
msst_wide_bayes_r19 NA NA NA NA
msst_long_bayes_r19 NA NA NA 77456.02
cuts_wide_ml_r19 -999 -999 -999 -999
cuts_long_ml_r19 -999 -999 -999 -999
cuts_wide_bayes_r19 NA NA NA NA
cuts_long_bayes_r19 NA NA NA 77461.239
tso_wide_ml_r19 -999 -999 -999 -999
tso_wide_bayes_r19 NA NA NA NA
tso_long_bayes_r19 NA NA NA 70142.732
msst_wide_ml_r20 77971.998 78013.68 77963.148 NA
msst_long_ml_r20 77972.037 78079.229 78028.385 NA
msst_wide_bayes_r20 NA NA NA NA
msst_long_bayes_r20 NA NA NA 77605.613
cuts_wide_ml_r20 -999 -999 -999 -999
cuts_long_ml_r20 77980.385 78114.375 78050.821 NA
cuts_wide_bayes_r20 NA NA NA NA
cuts_long_bayes_r20 NA NA NA 77609.587
tso_wide_ml_r20 -999 -999 -999 -999
tso_wide_bayes_r20 NA NA NA NA
tso_long_bayes_r20 NA NA NA 70455.765
msst_wide_ml_r21 77962.925 78004.608 77954.076 NA
msst_long_ml_r21 77962.981 78070.174 78019.33 NA
msst_wide_bayes_r21 NA NA NA NA
msst_long_bayes_r21 NA NA NA 77618.96
cuts_wide_ml_r21 -999 -999 -999 -999
cuts_long_ml_r21 -999 -999 -999 -999
cuts_wide_bayes_r21 NA NA NA NA
cuts_long_bayes_r21 NA NA NA 77625.536
tso_wide_ml_r21 -999 -999 -999 -999
tso_wide_bayes_r21 NA NA NA NA
tso_long_bayes_r21 NA NA NA 70293.024
msst_wide_ml_r22 77677.737 77719.419 77668.887 NA
msst_long_ml_r22 77678.088 77785.28 77734.437 NA
msst_wide_bayes_r22 NA NA NA NA
msst_long_bayes_r22 NA NA NA 77335.811
cuts_wide_ml_r22 -999 -999 -999 -999
cuts_long_ml_r22 77686.418 77820.409 77756.854 NA
cuts_wide_bayes_r22 NA NA NA NA
cuts_long_bayes_r22 NA NA NA 77334.601
tso_wide_ml_r22 -999 -999 -999 -999
tso_wide_bayes_r22 NA NA NA NA
tso_long_bayes_r22 NA NA NA 70241.847
msst_wide_ml_r23 78136.809 78178.492 78127.96 NA
msst_long_ml_r23 78136.907 78244.099 78193.256 NA
msst_wide_bayes_r23 NA NA NA NA
msst_long_bayes_r23 NA NA NA 77796.82
cuts_wide_ml_r23 -999 -999 -999 -999
