AIC BIC aBIC DIC
msst_wide_ml_r1 -999 -999 -999 -999
msst_long_ml_r1 105961.856 106075.536 106024.691 NA
msst_wide_bayes_r1 -999 -999 -999 -999
msst_long_bayes_r1 NA NA NA 105604.437
cuts_wide_ml_r1 -999 -999 -999 -999
cuts_long_ml_r1 105970.176 106112.275 106048.719 NA
cuts_wide_bayes_r1 -999 -999 -999 -999
cuts_long_bayes_r1 NA NA NA 105601.346
tso_wide_ml_r1 -999 -999 -999 -999
tso_wide_bayes_r1 -999 -999 -999 -999
tso_long_bayes_r1 NA NA NA 95408.513
msst_wide_ml_r2 -999 -999 -999 -999
msst_long_ml_r2 105721.571 105835.249 105784.404 NA
msst_wide_bayes_r2 -999 -999 -999 -999
msst_long_bayes_r2 NA NA NA 105374.107
cuts_wide_ml_r2 -999 -999 -999 -999
cuts_long_ml_r2 -999 -999 -999 -999
cuts_wide_bayes_r2 -999 -999 -999 -999
cuts_long_bayes_r2 NA NA NA 105374.148
tso_wide_ml_r2 -999 -999 -999 -999
tso_wide_bayes_r2 -999 -999 -999 -999
tso_long_bayes_r2 NA NA NA 95644.758
msst_wide_ml_r3 -999 -999 -999 -999
msst_long_ml_r3 105821.971 105935.647 105884.801 NA
msst_wide_bayes_r3 -999 -999 -999 -999
msst_long_bayes_r3 NA NA NA 105453.176
cuts_wide_ml_r3 -999 -999 -999 -999
cuts_long_ml_r3 105830.324 105972.419 105908.862 NA
cuts_wide_bayes_r3 -999 -999 -999 -999
cuts_long_bayes_r3 NA NA NA 105450.303
tso_wide_ml_r3 -999 -999 -999 -999
tso_wide_bayes_r3 -999 -999 -999 -999
tso_long_bayes_r3 NA NA NA 95580.245
msst_wide_ml_r4 -999 -999 -999 -999
msst_long_ml_r4 105629.33 105743.009 105692.164 NA
msst_wide_bayes_r4 -999 -999 -999 -999
msst_long_bayes_r4 NA NA NA 105261.793
cuts_wide_ml_r4 -999 -999 -999 -999
cuts_long_ml_r4 -999 -999 -999 -999
