AIC BIC aBIC DIC
msst_wide_ml_r1 38775.155 38816.837 38766.305 NA
msst_long_ml_r1 38771.591 38867.687 38816.849 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 38361.237
cuts_wide_ml_r1 -999 -999 -999 -999
cuts_long_ml_r1 -999 -999 -999 -999
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 36245.696
tso_wide_ml_r1 36363.899 36423.818 36351.178 NA
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 32429.394
msst_wide_ml_r2 -999 -999 -999 -999
msst_long_ml_r2 38035.119 38131.22 38080.382 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 37643.907
cuts_wide_ml_r2 -999 -999 -999 -999
cuts_long_ml_r2 -999 -999 -999 -999
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 36186.019
tso_wide_ml_r2 -999 -999 -999 -999
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 32128.877
msst_wide_ml_r3 -999 -999 -999 -999
msst_long_ml_r3 38838.772 38934.874 38884.036 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 38430.441
cuts_wide_ml_r3 -999 -999 -999 -999
cuts_long_ml_r3 -999 -999 -999 -999
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 36295.409
tso_wide_ml_r3 -999 -999 -999 -999
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 32265.886
msst_wide_ml_r4 38585.414 38627.096 38576.564 NA
msst_long_ml_r4 38582.14 38678.231 38627.393 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 38173.171
cuts_wide_ml_r4 -999 -999 -999 -999
cuts_long_ml_r4 -999 -999 -999 -999
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 36237.944
tso_wide_ml_r4 36293.282 36353.201 36280.561 NA
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 32205.703
msst_wide_ml_r5 -999 -999 -999 -999
msst_long_ml_r5 38526.109 38622.211 38571.373 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 38107.365
cuts_wide_ml_r5 -999 -999 -999 -999
cuts_long_ml_r5 -999 -999 -999 -999
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 35819.082
tso_wide_ml_r5 -999 -999 -999 -999
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 32021.332
msst_wide_ml_r6 -999 -999 -999 -999
msst_long_ml_r6 38916.512 39012.613 38961.775 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 38523.269
cuts_wide_ml_r6 -999 -999 -999 -999
cuts_long_ml_r6 -999 -999 -999 -999
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 36698.821
tso_wide_ml_r6 -999 -999 -999 -999
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 32588.868
msst_wide_ml_r7 -999 -999 -999 -999
msst_long_ml_r7 38489.151 38585.253 38534.415 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 38080.821
cuts_wide_ml_r7 -999 -999 -999 -999
cuts_long_ml_r7 -999 -999 -999 -999
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 36062.21
tso_wide_ml_r7 -999 -999 -999 -999
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 32119.482
msst_wide_ml_r8 -999 -999 -999 -999
msst_long_ml_r8 39228.182 39324.279 39273.44 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 38858.116
cuts_wide_ml_r8 -999 -999 -999 -999
cuts_long_ml_r8 -999 -999 -999 -999
cuts_wide_bayes_r8 NA NA NA NA
cuts_long_bayes_r8 NA NA NA 36403.381
tso_wide_ml_r8 -999 -999 -999 -999
tso_wide_bayes_r8 NA NA NA NA
tso_long_bayes_r8 NA NA NA 32310.42
msst_wide_ml_r9 38644.697 38686.38 38635.848 NA
msst_long_ml_r9 38641.639 38737.741 38686.903 NA
msst_wide_bayes_r9 NA NA NA NA
msst_long_bayes_r9 NA NA NA 38232.855
cuts_wide_ml_r9 -999 -999 -999 -999
cuts_long_ml_r9 -999 -999 -999 -999
cuts_wide_bayes_r9 NA NA NA NA
cuts_long_bayes_r9 NA NA NA 35966.677
tso_wide_ml_r9 36188.623 36248.542 36175.902 NA
tso_wide_bayes_r9 NA NA NA NA
tso_long_bayes_r9 NA NA NA 31903.747
msst_wide_ml_r10 38372.731 38414.414 38363.882 NA
msst_long_ml_r10 38369.117 38465.219 38414.381 NA
msst_wide_bayes_r10 NA NA NA NA
msst_long_bayes_r10 NA NA NA 37950.534
cuts_wide_ml_r10 -999 -999 -999 -999
cuts_long_ml_r10 -999 -999 -999 -999
cuts_wide_bayes_r10 NA NA NA NA
cuts_long_bayes_r10 NA NA NA 36183.459
tso_wide_ml_r10 36305.929 36365.848 36293.208 NA
tso_wide_bayes_r10 NA NA NA NA
tso_long_bayes_r10 NA NA NA 32245.451
msst_wide_ml_r11 -999 -999 -999 -999
msst_long_ml_r11 38374.261 38470.363 38419.525 NA
msst_wide_bayes_r11 NA NA NA NA
msst_long_bayes_r11 NA NA NA 37937.134
cuts_wide_ml_r11 -999 -999 -999 -999
cuts_long_ml_r11 -999 -999 -999 -999
cuts_wide_bayes_r11 NA NA NA NA
cuts_long_bayes_r11 NA NA NA 35940.693
tso_wide_ml_r11 -999 -999 -999 -999
tso_wide_bayes_r11 NA NA NA NA
tso_long_bayes_r11 NA NA NA 31948.832
msst_wide_ml_r12 -999 -999 -999 -999
msst_long_ml_r12 38267.867 38363.969 38313.131 NA
msst_wide_bayes_r12 NA NA NA NA
msst_long_bayes_r12 NA NA NA 37871.085
cuts_wide_ml_r12 -999 -999 -999 -999
cuts_long_ml_r12 -999 -999 -999 -999
cuts_wide_bayes_r12 NA NA NA NA
cuts_long_bayes_r12 NA NA NA 35972.737
tso_wide_ml_r12 -999 -999 -999 -999
tso_wide_bayes_r12 NA NA NA NA
tso_long_bayes_r12 NA NA NA 32059.066
msst_wide_ml_r13 38635.703 38677.385 38626.853 NA
msst_long_ml_r13 38632.457 38728.554 38677.715 NA
msst_wide_bayes_r13 NA NA NA NA
msst_long_bayes_r13 NA NA NA 38218.049
cuts_wide_ml_r13 -999 -999 -999 -999
cuts_long_ml_r13 -999 -999 -999 -999
cuts_wide_bayes_r13 NA NA NA NA
cuts_long_bayes_r13 NA NA NA 36300.869
tso_wide_ml_r13 36421.148 36481.067 36408.428 NA
tso_wide_bayes_r13 NA NA NA NA
tso_long_bayes_r13 NA NA NA 32278.791
msst_wide_ml_r14 -999 -999 -999 -999
msst_long_ml_r14 38181.791 38277.893 38227.055 NA
msst_wide_bayes_r14 NA NA NA NA
msst_long_bayes_r14 NA NA NA 37776.015
cuts_wide_ml_r14 -999 -999 -999 -999
cuts_long_ml_r14 -999 -999 -999 -999
cuts_wide_bayes_r14 NA NA NA NA
cuts_long_bayes_r14 NA NA NA 35990.11
tso_wide_ml_r14 -999 -999 -999 -999
tso_wide_bayes_r14 NA NA NA NA
tso_long_bayes_r14 NA NA NA 31888.458
msst_wide_ml_r15 -999 -999 -999 -999
msst_long_ml_r15 38963.847 39059.949 39009.111 NA
msst_wide_bayes_r15 NA NA NA NA
msst_long_bayes_r15 NA NA NA 38544.336
cuts_wide_ml_r15 -999 -999 -999 -999
cuts_long_ml_r15 -999 -999 -999 -999
cuts_wide_bayes_r15 NA NA NA NA
cuts_long_bayes_r15 NA NA NA 36341.32
tso_wide_ml_r15 -999 -999 -999 -999
tso_wide_bayes_r15 NA NA NA NA
tso_long_bayes_r15 NA NA NA 32302.852
msst_wide_ml_r16 -999 -999 -999 -999
msst_long_ml_r16 38424.183 38520.274 38469.436 NA
msst_wide_bayes_r16 NA NA NA NA
msst_long_bayes_r16 NA NA NA 37992.596
cuts_wide_ml_r16 -999 -999 -999 -999
cuts_long_ml_r16 -999 -999 -999 -999
cuts_wide_bayes_r16 NA NA NA NA
cuts_long_bayes_r16 NA NA NA 35952.515
tso_wide_ml_r16 -999 -999 -999 -999
tso_wide_bayes_r16 NA NA NA NA
tso_long_bayes_r16 NA NA NA 31995.34
msst_wide_ml_r17 38402.572 38444.255 38393.723 NA
msst_long_ml_r17 38399.333 38495.43 38444.591 NA
msst_wide_bayes_r17 NA NA NA NA
msst_long_bayes_r17 NA NA NA 38025.973
cuts_wide_ml_r17 -999 -999 -999 -999
cuts_long_ml_r17 -999 -999 -999 -999
cuts_wide_bayes_r17 NA NA NA NA
cuts_long_bayes_r17 NA NA NA 35965.748
tso_wide_ml_r17 36070.427 36130.346 36057.706 NA
tso_wide_bayes_r17 NA NA NA NA
tso_long_bayes_r17 NA NA NA 31887.592
msst_wide_ml_r18 -999 -999 -999 -999
msst_long_ml_r18 38541.71 38637.812 38586.974 NA
msst_wide_bayes_r18 NA NA NA NA
