AIC BIC aBIC DIC
msst_wide_ml_r1 -999 -999 -999 -999
msst_long_ml_r1 76207.346 76314.532 76263.689 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 75437.242
cuts_wide_ml_r1 -999 -999 -999 -999
cuts_long_ml_r1 -999 -999 -999 -999
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 72069.054
tso_wide_ml_r1 -999 -999 -999 -999
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 64082.514
msst_wide_ml_r2 -999 -999 -999 -999
msst_long_ml_r2 77145.054 77252.244 77201.4 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 76350.299
cuts_wide_ml_r2 -999 -999 -999 -999
cuts_long_ml_r2 -999 -999 -999 -999
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 72387.298
tso_wide_ml_r2 -999 -999 -999 -999
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 64250.47
msst_wide_ml_r3 -999 -999 -999 -999
msst_long_ml_r3 77708.51 77815.702 77764.859 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 76837.232
cuts_wide_ml_r3 -999 -999 -999 -999
cuts_long_ml_r3 -999 -999 -999 -999
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 72576.539
tso_wide_ml_r3 -999 -999 -999 -999
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 64335.021
msst_wide_ml_r4 -999 -999 -999 -999
msst_long_ml_r4 76997.633 77104.826 77053.982 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 76208.222
cuts_wide_ml_r4 -999 -999 -999 -999
cuts_long_ml_r4 -999 -999 -999 -999
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 72098.693
tso_wide_ml_r4 -999 -999 -999 -999
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 63855.304
msst_wide_ml_r5 -999 -999 -999 -999
msst_long_ml_r5 76986.944 77094.133 77043.29 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 76075.939
cuts_wide_ml_r5 -999 -999 -999 -999
cuts_long_ml_r5 -999 -999 -999 -999
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 72085.207
tso_wide_ml_r5 -999 -999 -999 -999
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 64145.427
msst_wide_ml_r6 -999 -999 -999 -999
msst_long_ml_r6 76004.855 76112.048 76061.204 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 75164.884
cuts_wide_ml_r6 -999 -999 -999 -999
cuts_long_ml_r6 -999 -999 -999 -999
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 71913.435
tso_wide_ml_r6 -999 -999 -999 -999
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 64073.689
msst_wide_ml_r7 -999 -999 -999 -999
msst_long_ml_r7 76841.11 76948.302 76897.459 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 75989.967
cuts_wide_ml_r7 -999 -999 -999 -999
cuts_long_ml_r7 -999 -999 -999 -999
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 71690.18
tso_wide_ml_r7 -999 -999 -999 -999
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 63524.324
msst_wide_ml_r8 -999 -999 -999 -999
msst_long_ml_r8 76104.767 76211.959 76161.116 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 75275.005
cuts_wide_ml_r8 -999 -999 -999 -999
cuts_long_ml_r8 -999 -999 -999 -999
cuts_wide_bayes_r8 NA NA NA NA
cuts_long_bayes_r8 NA NA NA 71565.271
tso_wide_ml_r8 -999 -999 -999 -999
tso_wide_bayes_r8 NA NA NA NA
tso_long_bayes_r8 NA NA NA 63320.11
msst_wide_ml_r9 -999 -999 -999 -999
msst_long_ml_r9 76703.415 76810.605 76759.761 NA
msst_wide_bayes_r9 NA NA NA NA
msst_long_bayes_r9 NA NA NA 75891.912
cuts_wide_ml_r9 -999 -999 -999 -999
cuts_long_ml_r9 -999 -999 -999 -999
cuts_wide_bayes_r9 NA NA NA NA
cuts_long_bayes_r9 NA NA NA 71967.066
tso_wide_ml_r9 -999 -999 -999 -999
tso_wide_bayes_r9 NA NA NA NA
tso_long_bayes_r9 NA NA NA 64297.929
msst_wide_ml_r10 -999 -999 -999 -999
msst_long_ml_r10 76409.735 76516.927 76466.084 NA
msst_wide_bayes_r10 NA NA NA NA
