AIC BIC aBIC DIC
msst_wide_ml_r1 -999 -999 -999 -999
msst_long_ml_r1 78059.294 78166.484 78115.64 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 77073.672
cuts_wide_ml_r1 -999 -999 -999 -999
cuts_long_ml_r1 71990.685 72124.672 72061.118 NA
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 70870.251
tso_wide_ml_r1 -999 -999 -999 -999
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 63999.885
msst_wide_ml_r2 -999 -999 -999 -999
msst_long_ml_r2 78379.605 78486.798 78435.954 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 77479.122
cuts_wide_ml_r2 -999 -999 -999 -999
cuts_long_ml_r2 71665.04 71799.03 71735.476 NA
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 70533.474
tso_wide_ml_r2 -999 -999 -999 -999
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 63874.885
msst_wide_ml_r3 -999 -999 -999 -999
msst_long_ml_r3 77708.4 77815.592 77764.749 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 76775.22
cuts_wide_ml_r3 -999 -999 -999 -999
cuts_long_ml_r3 71270.921 71404.911 71341.356 NA
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 70129.575
tso_wide_ml_r3 -999 -999 -999 -999
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 63527.316
msst_wide_ml_r4 -999 -999 -999 -999
msst_long_ml_r4 77101.753 77208.945 77158.102 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 76239.168
cuts_wide_ml_r4 -999 -999 -999 -999
cuts_long_ml_r4 71750.146 71884.136 71820.582 NA
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 70671.19
tso_wide_ml_r4 -999 -999 -999 -999
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 64064.841
msst_wide_ml_r5 -999 -999 -999 -999
msst_long_ml_r5 77892.848 78000.04 77949.196 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 76971.848
cuts_wide_ml_r5 -999 -999 -999 -999
cuts_long_ml_r5 71907.64 72041.63 71978.075 NA
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 70784.074
tso_wide_ml_r5 -999 -999 -999 -999
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 64273.259
msst_wide_ml_r6 -999 -999 -999 -999
msst_long_ml_r6 77509.741 77616.931 77566.087 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 76600.388
cuts_wide_ml_r6 -999 -999 -999 -999
cuts_long_ml_r6 71338.783 71472.77 71409.215 NA
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 70246.266
tso_wide_ml_r6 -999 -999 -999 -999
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 63501.367
msst_wide_ml_r7 -999 -999 -999 -999
msst_long_ml_r7 78132.605 78239.792 78188.948 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 77214.889
cuts_wide_ml_r7 -999 -999 -999 -999
cuts_long_ml_r7 71993.288 72127.271 72063.717 NA
cuts_wide_bayes_r7 NA NA NA NA
