AIC BIC aBIC DIC
msst_wide_ml_r1 85906.352 85948.035 85897.503 NA
msst_long_ml_r1 85889.332 85996.525 85945.681 NA
msst_wide_bayes_r1 NA NA NA NA
msst_long_bayes_r1 NA NA NA 84858.63
cuts_wide_ml_r1 78956.846 79008.949 78945.784 NA
cuts_long_ml_r1 78956.846 79090.836 79027.282 NA
cuts_wide_bayes_r1 NA NA NA NA
cuts_long_bayes_r1 NA NA NA 77802.729
tso_wide_ml_r1 78960.501 79020.42 78947.78 NA
tso_wide_bayes_r1 NA NA NA NA
tso_long_bayes_r1 NA NA NA 70399.244
msst_wide_ml_r2 85649.744 85691.427 85640.895 NA
msst_long_ml_r2 85631.991 85739.184 85688.34 NA
msst_wide_bayes_r2 NA NA NA NA
msst_long_bayes_r2 NA NA NA 84544.72
cuts_wide_ml_r2 78629.911 78682.014 78618.849 NA
cuts_long_ml_r2 78629.911 78763.901 78700.346 NA
cuts_wide_bayes_r2 NA NA NA NA
cuts_long_bayes_r2 NA NA NA 77455.891
tso_wide_ml_r2 78632.468 78692.386 78619.747 NA
tso_wide_bayes_r2 NA NA NA NA
tso_long_bayes_r2 NA NA NA 70502.967
msst_wide_ml_r3 86472.659 86514.342 86463.81 NA
msst_long_ml_r3 86454.146 86561.338 86510.495 NA
msst_wide_bayes_r3 NA NA NA NA
msst_long_bayes_r3 NA NA NA 85363.5
cuts_wide_ml_r3 78777.252 78829.355 78766.19 NA
cuts_long_ml_r3 78777.252 78911.242 78847.688 NA
cuts_wide_bayes_r3 NA NA NA NA
cuts_long_bayes_r3 NA NA NA 77618.51
tso_wide_ml_r3 78781.075 78840.994 78768.354 NA
tso_wide_bayes_r3 NA NA NA NA
tso_long_bayes_r3 NA NA NA 70286.781
msst_wide_ml_r4 85687.671 85729.354 85678.822 NA
msst_long_ml_r4 85669.982 85777.175 85726.331 NA
msst_wide_bayes_r4 NA NA NA NA
msst_long_bayes_r4 NA NA NA 84587.665
cuts_wide_ml_r4 79069.667 79121.77 79058.605 NA
cuts_long_ml_r4 79069.667 79203.657 79140.102 NA
cuts_wide_bayes_r4 NA NA NA NA
cuts_long_bayes_r4 NA NA NA 77908.107
tso_wide_ml_r4 79074.507 79134.425 79061.786 NA
tso_wide_bayes_r4 NA NA NA NA
tso_long_bayes_r4 NA NA NA 70647.62
msst_wide_ml_r5 85828.062 85869.745 85819.213 NA
msst_long_ml_r5 85809.07 85916.262 85865.418 NA
msst_wide_bayes_r5 NA NA NA NA
msst_long_bayes_r5 NA NA NA 84671.472
cuts_wide_ml_r5 78705.738 78757.842 78694.677 NA
cuts_long_ml_r5 78705.738 78839.729 78776.174 NA
cuts_wide_bayes_r5 NA NA NA NA
cuts_long_bayes_r5 NA NA NA 77521.437
tso_wide_ml_r5 78704.359 78764.278 78691.638 NA
tso_wide_bayes_r5 NA NA NA NA
tso_long_bayes_r5 NA NA NA 70166.227
msst_wide_ml_r6 85509.596 85551.279 85500.747 NA
msst_long_ml_r6 85491.657 85598.85 85548.006 NA
msst_wide_bayes_r6 NA NA NA NA
msst_long_bayes_r6 NA NA NA 84416.325
cuts_wide_ml_r6 79033.214 79085.317 79022.152 NA
cuts_long_ml_r6 79033.214 79167.204 79103.65 NA
cuts_wide_bayes_r6 NA NA NA NA
cuts_long_bayes_r6 NA NA NA 77881.033
tso_wide_ml_r6 79031.68 79091.599 79018.959 NA
tso_wide_bayes_r6 NA NA NA NA
tso_long_bayes_r6 NA NA NA 70513.77
msst_wide_ml_r7 86341.861 86383.543 86333.011 NA
msst_long_ml_r7 86324.671 86431.863 86381.019 NA
msst_wide_bayes_r7 NA NA NA NA
msst_long_bayes_r7 NA NA NA 85287.914
cuts_wide_ml_r7 79142.759 79194.863 79131.698 NA
cuts_long_ml_r7 79142.759 79276.75 79213.195 NA
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 77984.176
tso_wide_ml_r7 79147.696 79207.615 79134.975 NA
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 71091.92
msst_wide_ml_r8 86598.734 86640.416 86589.884 NA
msst_long_ml_r8 86579.396 86686.588 86635.745 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 85449.334
cuts_wide_ml_r8 78903.713 78955.816 78892.651 NA
cuts_long_ml_r8 78903.713 79037.703 78974.149 NA
cuts_wide_bayes_r8 NA NA NA NA
cuts_long_bayes_r8 NA NA NA 77722.203
tso_wide_ml_r8 78907.8 78967.719 78895.08 NA
tso_wide_bayes_r8 NA NA NA NA
tso_long_bayes_r8 NA NA NA 70524.481
msst_wide_ml_r9 87227.306 87268.989 87218.457 NA
msst_long_ml_r9 87207.112 87314.304 87263.461 NA
msst_wide_bayes_r9 NA NA NA NA
msst_long_bayes_r9 NA NA NA 86020.159
cuts_wide_ml_r9 79177.25 79229.353 79166.188 NA
cuts_long_ml_r9 79177.25 79311.24 79247.685 NA
cuts_wide_bayes_r9 NA NA NA NA
cuts_long_bayes_r9 NA NA NA 77944.791
tso_wide_ml_r9 79177.322 79237.241 79164.601 NA
tso_wide_bayes_r9 NA NA NA NA
tso_long_bayes_r9 NA NA NA 70666.517
msst_wide_ml_r10 85866.986 85908.668 85858.136 NA
msst_long_ml_r10 85849.187 85956.379 85905.536 NA
msst_wide_bayes_r10 NA NA NA NA
msst_long_bayes_r10 NA NA NA 84755.168
cuts_wide_ml_r10 78901.247 78953.35 78890.185 NA
cuts_long_ml_r10 78901.247 79035.237 78971.683 NA
cuts_wide_bayes_r10 NA NA NA NA
cuts_long_bayes_r10 NA NA NA 77730.027
tso_wide_ml_r10 78906.318 78966.237 78893.597 NA
tso_wide_bayes_r10 NA NA NA NA
tso_long_bayes_r10 NA NA NA 70478.478
msst_wide_ml_r11 85353.655 85395.338 85344.806 NA
msst_long_ml_r11 85337.39 85444.582 85393.739 NA
msst_wide_bayes_r11 NA NA NA NA
msst_long_bayes_r11 NA NA NA 84344.042
cuts_wide_ml_r11 79210.8 79262.904 79199.739 NA
cuts_long_ml_r11 79210.8 79344.791 79281.236 NA
cuts_wide_bayes_r11 NA NA NA NA
cuts_long_bayes_r11 NA NA NA 78105.072
tso_wide_ml_r11 79215.405 79275.324 79202.684 NA
tso_wide_bayes_r11 NA NA NA NA
tso_long_bayes_r11 NA NA NA 70853.508
msst_wide_ml_r12 85752.229 85793.912 85743.38 NA
msst_long_ml_r12 85732.588 85839.78 85788.937 NA
msst_wide_bayes_r12 NA NA NA NA
msst_long_bayes_r12 NA NA NA 84584.102
cuts_wide_ml_r12 78683.488 78735.591 78672.426 NA
cuts_long_ml_r12 78683.488 78817.478 78753.923 NA
cuts_wide_bayes_r12 NA NA NA NA
cuts_long_bayes_r12 NA NA NA 77500.33
tso_wide_ml_r12 78676.727 78736.646 78664.006 NA
tso_wide_bayes_r12 NA NA NA NA
tso_long_bayes_r12 NA NA NA 70528.778
msst_wide_ml_r13 85911.273 85952.955 85902.423 NA
msst_long_ml_r13 85892.047 85999.24 85948.396 NA
msst_wide_bayes_r13 NA NA NA NA
msst_long_bayes_r13 NA NA NA 84737.867
cuts_wide_ml_r13 78759.733 78811.837 78748.672 NA
cuts_long_ml_r13 78759.733 78893.724 78830.169 NA
cuts_wide_bayes_r13 NA NA NA NA
cuts_long_bayes_r13 NA NA NA 77564.276
tso_wide_ml_r13 78762.631 78822.55 78749.91 NA
tso_wide_bayes_r13 NA NA NA NA
tso_long_bayes_r13 NA NA NA 70306.403
msst_wide_ml_r14 85249.037 85290.719 85240.187 NA
msst_long_ml_r14 85231.522 85338.715 85287.871 NA
msst_wide_bayes_r14 NA NA NA NA
msst_long_bayes_r14 NA NA NA 84171.587
cuts_wide_ml_r14 79088.733 79140.837 79077.672 NA
cuts_long_ml_r14 79088.733 79222.724 79159.169 NA
cuts_wide_bayes_r14 NA NA NA NA
cuts_long_bayes_r14 NA NA NA 77969.558
tso_wide_ml_r14 79092.388 79152.307 79079.667 NA
tso_wide_bayes_r14 NA NA NA NA
tso_long_bayes_r14 NA NA NA 70785.925
msst_wide_ml_r15 86079.274 86120.957 86070.425 NA
msst_long_ml_r15 86061.297 86168.489 86117.646 NA
msst_wide_bayes_r15 NA NA NA NA
msst_long_bayes_r15 NA NA NA 84977.617
cuts_wide_ml_r15 79031.27 79083.374 79020.209 NA
cuts_long_ml_r15 79031.27 79165.261 79101.706 NA
cuts_wide_bayes_r15 NA NA NA NA
cuts_long_bayes_r15 NA NA NA 77879.491
tso_wide_ml_r15 79032.245 79092.164 79019.524 NA
tso_wide_bayes_r15 NA NA NA NA
tso_long_bayes_r15 NA NA NA 70665.766
msst_wide_ml_r16 86267.922 86309.604 86259.072 NA
