ccon_pred_y1 ccon_pred_y2 ccon_pred_y3 ccon_pred_y4 ucon_upred_y1 ucon_upred_y2 ucon_upred_y3 ucon_upred_y4 tcon_con_y1 tcon_con_y2 tcon_con_y3 tcon_con_y4 spe_y1 spe_y2 spe_y3 spe_y4 rel_y1 rel_y2 rel_y3 rel_y4
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA 0.0422903481296213 0.0394786804973485 0.0401513448078078 0.0401665072935337 0.0355494453372255 0.0148139827560771 0.0228707388209471 0.0347863143499282 0.019216243442193 0.032149967933717 0.0248019417855145 0.0245660846411705
msst_long_bayes_r1 NA NA NA NA NA NA NA NA 0.0414570987210863 0.0396227469987174 0.0387517776794702 0.0409488850564526 0.0344439951573514 0.0153931286369351 0.0221498244535568 0.0347031711023442 0.0193840004083387 0.0315371974597637 0.0242855402737709 0.0250873320814277
cuts_wide_bayes_r1 0.0399920752495609 0.0522025963630875 0.0477176653132765 0.0471793447480555 0.00525752070453837 0.0302781419022266 0.0202771759070843 0.0192818139683174 0.0392454906584309 0.03806765512016 0.0388394542583517 0.0395127724830591 0.0256599876566529 0.0196104677163108 0.0266479995628027 0.0230632426933512 0.0198898109703799 0.0241700614856634 0.0182811494624609 0.0227668500053777
cuts_long_bayes_r1 0.0396653336633744 0.0520900004133285 0.0473631217528379 0.0473648679397949 0.00504720791438228 0.0306109450643967 0.0200803081633565 0.0193633828560022 0.0390168749934398 0.0378090804777606 0.0387032065758666 0.0395726651484738 0.025429673264991 0.0198439237250032 0.0266328144198059 0.0228992963741434 0.0199900038222662 0.0239254268318754 0.018301492393091 0.0229235291779516
tso_wide_bayes_r1 0.0444648443414046 0.0428585199528712 0.0448134711248731 0.0433946190063051 0.0171554847550042 0.012876142055442 0.0178726869543816 0.0146861668865778 0.0358918675013755 0.0363882110088023 0.0356055148972362 0.0363713559934837 0.0219434790454522 0.0176259413475946 0.0232046575262401 0.0193942129621398 0.0194594833252221 0.0237106223260889 0.0177389778705838 0.022602185466122
tso_long_bayes_r1 0.0451710727628228 0.0424057915572658 0.0445835282715668 0.0442526148775575 0.0159212624609769 0.0116681247824587 0.0163726838187103 0.0135865703977781 0.0369258774872501 0.0365073901831988 0.0359031725321486 0.0374224513515871 0.0223265392965429 0.0173218461363075 0.0231136456310857 0.0196809465670297 0.0200032555048419 0.0239666242775403 0.0179894563451915 0.0231597776887423
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA 0.0393736202877637 0.0419058182169907 0.0418180033585583 0.0377182065340404 0.0240104060262821 0.0272062515553422 0.0424826630379577 0.0130372070160685 0.0232377334202122 0.0287109589744875 0.024077882997841 0.0309788902009584
msst_long_bayes_r2 NA NA NA NA NA NA NA NA 0.0394000508843636 0.0427557042169462 0.042169915882045 0.0378355993229846 0.0238974162210181 0.0270512210564216 0.0432896544251762 0.013284708784123 0.0234021798646619 0.0288147703550243 0.0237870675818421 0.0308265228436984
cuts_wide_bayes_r2 0.0392055660907835 0.055828539076018 0.048695815380553 0.0483512613750334 0.00753410224841525 0.0365144973322828 0.0228550080332167 0.023241293696621 0.0378018054857869 0.0373504924721417 0.0383770260116382 0.0365479904745624 0.0222564258346812 0.0177627099040155 0.0286787290043366 0.0202338741251134 0.0209313923809013 0.0246332724395811 0.0163022524592188 0.0211141592484763
cuts_long_bayes_r2 0.0391574009885746 0.0552327502874017 0.0488496747439328 0.0489370437170592 0.0076808281563858 0.0362806624923248 0.0228655969500165 0.0233561954450323 0.0377940197388149 0.0369475925439217 0.0384041172925025 0.0369726804029965 0.0220411674348425 0.0177652814341709 0.0288949125621278 0.0203022324521743 0.0210131186641199 0.0245033760289225 0.0162027595982221 0.021257370181843
tso_wide_bayes_r2 0.0410244044363002 0.0401874433799665 0.0431626933192358 0.039585747713515 0.0108871164216828 0.00846863875324294 0.0149743063279168 0.00981543243496102 0.0356036133341174 0.0360210410554741 0.0356081840810613 0.0345524998681794 0.0192390628872968 0.0158386547987708 0.0252488042116273 0.0177609196584454 0.0207269473356285 0.0244775049936218 0.01566898156145 0.0209140910395454
tso_long_bayes_r2 0.0408051746440436 0.0396273706329108 0.0431864306711958 0.0393776389222381 0.0104810460390747 0.00804032421929239 0.0143929443368137 0.0093856450932765 0.0354760395615339 0.0356672610176851 0.0356579024806096 0.0345230845698744 0.0193112405957708 0.015395496442115 0.025319783198849 0.0176031848522597 0.0208315346404777 0.0246076895876847 0.0158671995381554 0.0209134775275211
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA 0.0389504810609659 0.0386752744800036 0.0399166173038115 0.0413260332305783 0.0322360054083421 0.0137261293179086 0.0249581072999583 0.0266319557830756 0.0164237749512333 0.0306553914890034 0.0220036020422274 0.0280123230575191
msst_long_bayes_r3 NA NA NA NA NA NA NA NA 0.0387274723047019 0.0381019180244362 0.0389736560015184 0.0417941457293533 0.0312576862798531 0.0144298728665528 0.0247392586756032 0.027056690888508 0.0162515691348615 0.0295661266882467 0.0211147100556842 0.0279656859672045
cuts_wide_bayes_r3 0.0379145555250291 0.0499546327561916 0.0438609912801116 0.0493844826597097 0.0055095520113582 0.0265769871710249 0.0156228996878281 0.0245663565667102 0.0370344100672329 0.0356644214152291 0.0364457492142542 0.0384658016724874 0.0253426862988949 0.0180650744578135 0.0265230288362184 0.0213068175955863 0.0161454839852632 0.0216384732831199 0.0143212415529349 0.0225819278119077
cuts_long_bayes_r3 0.038179135256436 0.0503805459918871 0.0441879087359404 0.050341719485539 0.00554112511366461 0.0269387725825041 0.0155252268053284 0.0245079589549132 0.0372835010806167 0.0355956329444347 0.0367303129014346 0.0391287175515336 0.025368789284428 0.0183967141122215 0.0266588274957994 0.0215152505306303 0.0164465282504947 0.0213738834616767 0.0144585953628745 0.0228308434674319
tso_wide_bayes_r3 0.0414410031599617 0.0387903044558346 0.0410051438139436 0.0418639650568492 0.0136816115412994 0.00930280379449262 0.0141510973783849 0.0115398178960008 0.0341326819083521 0.0338685976111243 0.0332591826011985 0.0362564296580733 0.021948256967899 0.0162682099173274 0.0231219108891621 0.0186415920092962 0.0158347018735709 0.021189716309613 0.0139277396341385 0.022389654575584
tso_long_bayes_r3 0.0408864333386439 0.0381420732259547 0.0407839458800421 0.041577720982049 0.0126738702057833 0.00840445122851279 0.0129854750276288 0.0105691694712738 0.0340461471920782 0.0336897060503504 0.0335036331561086 0.0364046417078056 0.0221372438010732 0.015919409319388 0.0231315087477448 0.0186553318816369 0.0158045143175575 0.0214001743552909 0.0141443738164028 0.0224382220102056
msst_wide_bayes_r4 NA NA NA NA NA NA NA NA 0.0390022715930631 0.0432273173648997 0.0410960140266754 0.043640612582667 0.0315965098389384 0.0163507977877379 0.0261766605785313 0.0273420511067259 0.0189870582091966 0.0351304340393737 0.0261446856714131 0.0274076376063353
msst_long_bayes_r4 NA NA NA NA NA NA NA NA 0.038197974191714 0.0425417949152367 0.0402707039823088 0.0423860644493912 0.0296923030286026 0.017901443583846 0.0267479924169793 0.0259319052412591 0.0188649446213548 0.0338795391115765 0.0252857704747731 0.0272028772194839
cuts_wide_bayes_r4 0.03753122893073 0.0560771653824341 0.0469863518300622 0.0452623912631761 0.00293734299590821 0.0356919986007434 0.0191743310888517 0.0163690013975248 0.0371749595184468 0.0371421567937027 0.0379986721766164 0.0380441616708922 0.0227468580558623 0.0185523218406375 0.0260600935954499 0.021945387674615 0.0192473312005725 0.0233050022546948 0.0174184273656732 0.021382257412326
cuts_long_bayes_r4 0.0373905661639181 0.0548406494638219 0.0464005012820584 0.0453072715786177 0.00296007760229632 0.0355694176887594 0.0190800560461443 0.01643314463027 0.0370325585769135 0.0360761303705883 0.0375898307433522 0.0378778224080352 0.0226287977405427 0.0183962788900759 0.0259215953617186 0.0217625005377984 0.0192787343914825 0.0226761099311375 0.017248214212322 0.0212066621396187
tso_wide_bayes_r4 0.0403753746019125 0.0402888038064083 0.0423719872382774 0.0408894711409226 0.0120671986443737 0.00971027363532644 0.0145626125088135 0.011689613514725 0.0341850208460801 0.0352882944716973 0.0348794088748141 0.0351242897355384 0.0193490332038221 0.0163618178045919 0.0229777020060934 0.0187298965392099 0.0189121449355087 0.023009100386574 0.0165530967671327 0.0210747145423857
tso_long_bayes_r4 0.0404733960403527 0.039366990957247 0.0419989157969887 0.0409522638391952 0.0112414545298652 0.00879318304416173 0.013513776329704 0.0108067142451829 0.0345430724129882 0.034833695472319 0.0348644068557349 0.0354821960032532 0.0196443325110386 0.0159854863574013 0.0228842465084984 0.0188979650658503 0.0191627020703032 0.0230383444457768 0.0166795746729299 0.0210439717955642
msst_wide_bayes_r5 NA NA NA NA NA NA NA NA 0.0394212367748788 0.0411718832874041 0.0399237837169989 0.0361038249570646 0.0262189133811291 0.0205177555417156 0.0397949262522124 0.0135769582953708 0.0201098315053019 0.0291132012267758 0.02349471964901 0.0275774822801347
msst_long_bayes_r5 NA NA NA NA NA NA NA NA 0.0386224152678764 0.0408906654416296 0.0390837695189282 0.0356169947385744 0.0255751757409173 0.0208351179765328 0.0380640907642589 0.0136564193512348 0.0199786094229371 0.0281887178746991 0.0227667581331741 0.0271135894772807
cuts_wide_bayes_r5 0.0377884236173892 0.0497402162388135 0.0463207928755845 0.045097622327646 0.00443652446187494 0.0253148476902977 0.0195051584998956 0.019375796094692 0.0371032242423983 0.0373625556249058 0.0385705108632014 0.0350761879368728 0.0221234548567518 0.0194572942332825 0.0286458766672323 0.0181230191559604 0.019853642227459 0.0229528132118471 0.016947902004803 0.0212186183525849
cuts_long_bayes_r5 0.0377760322112472 0.0496330195838452 0.0471448932252375 0.045616464244062 0.00439598962066659 0.0256519241272457 0.0196211962883556 0.0192685400035228 0.037180041166538 0.0369184534308288 0.0390877942702623 0.0355597571570519 0.0221540092838827 0.019529496774709 0.0290440237180894 0.0183041575822127 0.020057804163987 0.0226987630295863 0.0171228926916176 0.0213532575752774
tso_wide_bayes_r5 0.0409430559559675 0.0407022437183492 0.0456159378306888 0.037800329314473 0.0137646889529552 0.011930884838094 0.0199004337693358 0.0103683671055358 0.0337239259000183 0.0345972446609078 0.0353907296479919 0.0322612344042206 0.0183356964749489 0.0164938589595851 0.0249286805166534 0.0148346148072676 0.0192687375419381 0.0223282170348311 0.0161841385432265 0.0210319484592869
