w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 1 0.47 1.275 0.78 1.952 0.665 0.251 0.572 0.488 NA 1 0.492 1.31 0.779 0 0.234 0.304 0.662 0.724 3.979 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 1 0.47 1.274 0.779 1.952 0.662 0.249 0.572 0.487 NA 1 0.489 1.304 0.775 0 0.248 0.328 0.677 0.73 3.978 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 1 0.47 1.277 0.779 1.952 0.659 0.248 0.562 0.477 NA 1 0.49 1.308 0.778 3.976 2.192 5.514 3.761 0.722 NA 0.007 0.003 0.012 0.014 NA NA NA NA NA NA
cuts_long_bayes_r1 1 0.47 1.276 0.78 1.951 0.659 0.248 0.564 0.476 NA 1 0.491 1.308 0.777 3.962 2.184 5.496 3.749 0.722 NA 0.008 0.003 0.013 0.014 NA NA NA NA NA NA
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 1 0.469 1.275 0.779 1.95 0.658 0.248 0.565 0.475 -0.004 NA NA NA NA 3.976 2.192 5.513 3.76 NA NA 0.819 0.199 1.392 0.506 0.395 1.051 0.513 0.625 0.304 0.818
tso_long_bayes_r1 1 0.47 1.275 0.78 1.95 0.657 0.247 0.565 0.474 -0.003 NA NA NA NA 3.979 2.194 5.52 3.764 NA NA 0.82 0.199 1.396 0.508 0.396 1.054 0.516 0.627 0.305 0.822
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 1 0.5 1.267 0.833 1.748 0.606 0.267 0.772 0.502 NA 1 0.478 1.29 0.75 0 0.295 0.394 0.728 0.627 4.086 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 1 0.5 1.267 0.833 1.751 0.604 0.266 0.771 0.499 NA 1 0.479 1.293 0.753 0 0.29 0.377 0.715 0.623 4.088 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 1 0.499 1.266 0.832 1.752 0.597 0.267 0.772 0.493 NA 1 0.479 1.292 0.756 4.091 2.249 5.673 3.798 0.618 NA 0.01 0.002 0.007 0.009 NA NA NA NA NA NA
cuts_long_bayes_r2 1 0.5 1.265 0.832 1.755 0.597 0.267 0.77 0.494 NA 1 0.478 1.291 0.751 4.089 2.246 5.67 3.794 0.616 NA 0.01 0.002 0.007 0.009 NA NA NA NA NA NA
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 1 0.499 1.265 0.832 1.763 0.595 0.267 0.775 0.49 0.035 NA NA NA NA 4.09 2.248 5.671 3.794 NA NA 0.688 0.158 1.132 0.394 0.321 0.865 0.416 0.5 0.242 0.653
tso_long_bayes_r2 1 0.499 1.265 0.832 1.763 0.593 0.267 0.772 0.491 0.036 NA NA NA NA 4.091 2.248 5.677 3.797 NA NA 0.685 0.157 1.121 0.394 0.319 0.863 0.412 0.499 0.241 0.648
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 1 0.495 1.327 0.78 1.853 0.67 0.246 0.591 0.523 NA 1 0.563 1.294 0.845 0 -0.074 0.379 0.384 0.553 4.044 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 1 0.496 1.329 0.78 1.852 0.668 0.244 0.588 0.522 NA 1 0.562 1.299 0.844 0 -0.068 0.362 0.377 0.553 4.046 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
