w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r1 0 0.007 0.017 0.011 0.094 0.035 0.015 0.059 0.03 NA 0 0.033 0.027 0.02 0 0.076 0.063 0.046 0.153 0.103 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 0 0.007 0.017 0.012 0.094 0.035 0.015 0.059 0.03 NA 0 0.034 0.028 0.02 0 0.077 0.064 0.047 0.164 0.105 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 0 0.008 0.017 0.012 0.092 0.034 0.015 0.059 0.029 NA 0 0.032 0.027 0.02 0 0.073 0.062 0.047 0.184 0.111 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r1 0 0.008 0.018 0.012 0.068 0.03 0.012 0.049 0.022 NA 0 0.055 0.05 0.041 0.158 0.134 0.174 0.137 0.312 NA 0.012 0.088 0.068 0.047 NA NA NA NA NA NA
cuts_long_bayes_r1 0 0.009 0.018 0.012 0.068 0.03 0.012 0.048 0.022 NA 0 0.056 0.049 0.041 0.14 0.12 0.157 0.121 0.309 NA 0.013 0.089 0.068 0.047 NA NA NA NA NA NA
tso_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r1 0 0.008 0.018 0.012 0.056 0.029 0.012 0.046 0.021 0.013 NA NA NA NA 0.152 0.128 0.169 0.13 NA NA 0.342 0.247 0.423 0.249 0.26 0.364 0.291 0.278 0.214 0.286
tso_long_bayes_r1 0 0.008 0.018 0.012 0.057 0.029 0.012 0.046 0.021 0.014 NA NA NA NA 0.135 0.117 0.154 0.116 NA NA 0.341 0.248 0.421 0.252 0.259 0.363 0.289 0.279 0.216 0.286
msst_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r2 0 0.007 0.016 0.011 0.101 0.036 0.014 0.062 0.031 NA 0 0.044 0.03 0.024 0 0.082 0.056 0.046 0.129 0.094 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 0 0.007 0.016 0.011 0.102 0.036 0.015 0.062 0.031 NA 0 0.044 0.03 0.025 0 0.082 0.057 0.047 0.138 0.095 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 0 0.007 0.016 0.011 0.099 0.036 0.015 0.062 0.03 NA 0 0.043 0.031 0.025 0 0.081 0.058 0.047 0.155 0.1 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r2 0 0.008 0.018 0.012 0.071 0.03 0.012 0.049 0.021 NA 0 0.063 0.049 0.048 0.134 0.118 0.15 0.124 0.319 NA 0.016 0.107 0.065 0.065 NA NA NA NA NA NA
cuts_long_bayes_r2 0 0.008 0.018 0.012 0.071 0.03 0.012 0.049 0.022 NA 0 0.062 0.049 0.048 0.152 0.128 0.168 0.139 0.321 NA 0.016 0.106 0.067 0.065 NA NA NA NA NA NA
tso_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r2 0 0.008 0.018 0.012 0.058 0.029 0.012 0.047 0.021 0.014 NA NA NA NA 0.15 0.13 0.166 0.139 NA NA 0.348 0.256 0.426 0.293 0.26 0.369 0.286 0.3 0.235 0.307
tso_long_bayes_r2 0 0.008 0.018 0.011 0.058 0.029 0.012 0.047 0.021 0.013 NA NA NA NA 0.123 0.108 0.146 0.11 NA NA 0.347 0.253 0.426 0.288 0.259 0.369 0.285 0.297 0.232 0.305
msst_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r3 0 0.007 0.017 0.012 0.099 0.037 0.016 0.065 0.034 NA 0 0.028 0.024 0.02 0 0.062 0.055 0.045 0.197 0.117 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 0 0.007 0.017 0.012 0.099 0.037 0.016 0.065 0.034 NA 0 0.028 0.024 0.02 0 0.063 0.056 0.046 0.217 0.119 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 0 0.008 0.018 0.012 0.096 0.037 0.016 0.065 0.033 NA 0 0.026 0.024 0.02 0 0.06 0.058 0.047 0.231 0.124 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r3 0 0.008 0.018 0.012 0.072 0.03 0.012 0.046 0.022 NA 0 0.056 0.053 0.047 0.148 0.129 0.162 0.142 0.355 NA 0.013 0.095 0.086 0.067 NA NA NA NA NA NA
cuts_long_bayes_r3 0 0.008 0.017 0.012 0.071 0.03 0.012 0.047 0.022 NA 0 0.055 0.052 0.047 0.148 0.129 0.161 0.142 0.353 NA 0.014 0.094 0.086 0.067 NA NA NA NA NA NA
tso_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r3 0 0.008 0.017 0.011 0.057 0.029 0.012 0.045 0.022 0.013 NA NA NA NA 0.153 0.13 0.168 0.143 NA NA 0.385 0.281 0.457 0.344 0.296 0.397 0.318 0.344 0.267 0.339
tso_long_bayes_r3 0 0.008 0.017 0.011 0.057 0.029 0.012 0.045 0.022 0.013 NA NA NA NA 0.139 0.122 0.158 0.133 NA NA 0.386 0.282 0.446 0.352 0.298 0.394 0.316 0.35 0.272 0.342
msst_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r4 0 0.008 0.017 0.012 0.091 0.035 0.014 0.062 0.034 NA 0 0.036 0.033 0.022 0 0.078 0.07 0.048 0.138 0.098 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 0 0.008 0.017 0.012 0.092 0.036 0.014 0.061 0.034 NA 0 0.037 0.033 0.022 0 0.079 0.07 0.048 0.152 0.1 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 0 0.008 0.018 0.012 0.089 0.035 0.014 0.062 0.033 NA 0 0.035 0.031 0.023 0 0.076 0.068 0.049 0.16 0.102 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r4 0 0.008 0.018 0.012 0.069 0.029 0.012 0.046 0.021 NA 0 0.065 0.07 0.048 0.141 0.133 0.171 0.138 0.271 NA 0.012 0.092 0.114 0.059 NA NA NA NA NA NA
cuts_long_bayes_r4 0 0.008 0.018 0.012 0.07 0.03 0.012 0.045 0.021 NA 0 0.063 0.07 0.05 0.142 0.137 0.167 0.137 0.271 NA 0.012 0.092 0.113 0.058 NA NA NA NA NA NA
tso_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r4 0 0.008 0.018 0.012 0.057 0.029 0.012 0.044 0.021 0.013 NA NA NA NA 0.124 0.127 0.151 0.124 NA NA 0.3 0.288 0.426 0.284 0.267 0.331 0.318 0.278 0.246 0.291
tso_long_bayes_r4 0 0.008 0.018 0.012 0.057 0.028 0.012 0.044 0.021 0.013 NA NA NA NA 0.154 0.142 0.177 0.154 NA NA 0.298 0.286 0.419 0.286 0.265 0.327 0.314 0.277 0.244 0.286
msst_wide_ml_r5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r5 0 0.008 0.021 0.013 0.092 0.037 0.018 0.071 0.031 NA 0 0.019 0.022 0.018 0 0.044 0.051 0.041 0.254 0.133 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r5 0 0.008 0.021 0.013 0.092 0.038 0.018 0.072 0.031 NA 0 0.019 0.022 0.018 0 0.044 0.051 0.041 0.277 0.138 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r5 0 0.009 0.021 0.013 0.087 0.036 0.017 0.07 0.03 NA 0 0.018 0.022 0.018 0 0.043 0.051 0.041 0.29 0.141 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r5 0 0.009 0.019 0.012 0.068 0.031 0.012 0.049 0.021 NA 0 0.046 0.052 0.043 0.146 0.111 0.17 0.133 0.363 NA 0.01 0.067 0.091 0.06 NA NA NA NA NA NA
cuts_long_bayes_r5 0 0.009 0.019 0.012 0.068 0.03 0.012 0.049 0.022 NA 0 0.045 0.052 0.043 0.155 0.117 0.179 0.143 0.367 NA 0.011 0.068 0.089 0.06 NA NA NA NA NA NA
tso_wide_ml_r5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r5 0 0.009 0.019 0.012 0.057 0.029 0.012 0.047 0.021 0.013 NA NA NA NA 0.147 0.11 0.17 0.138 NA NA 0.395 0.221 0.524 0.334 0.27 0.434 0.303 0.345 0.238 0.36
tso_long_bayes_r5 0 0.009 0.019 0.012 0.056 0.029 0.012 0.047 0.021 0.013 NA NA NA NA 0.138 0.105 0.161 0.131 NA NA 0.398 0.224 0.531 0.333 0.272 0.439 0.307 0.347 0.24 0.363
msst_wide_ml_r6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r6 0 0.008 0.018 0.012 0.088 0.036 0.015 0.059 0.03 NA 0 0.019 0.02 0.015 0 0.044 0.048 0.036 0.262 0.136 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r6 0 0.008 0.018 0.012 0.089 0.036 0.015 0.06 0.03 NA 0 0.019 0.02 0.015 0 0.045 0.049 0.036 0.285 0.138 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r6 0 0.008 0.019 0.013 0.086 0.035 0.014 0.059 0.029 NA 0 0.018 0.02 0.016 0 0.044 0.05 0.037 0.302 0.141 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r6 0 0.009 0.019 0.012 0.067 0.03 0.012 0.047 0.022 NA 0 0.048 0.046 0.04 0.158 0.127 0.179 0.132 0.394 NA 0.024 0.074 0.073 0.055 NA NA NA NA NA NA
cuts_long_bayes_r6 0 0.009 0.019 0.012 0.067 0.03 0.012 0.048 0.022 NA 0 0.046 0.046 0.04 0.165 0.138 0.187 0.136 0.391 NA 0.024 0.073 0.073 0.056 NA NA NA NA NA NA
tso_wide_ml_r6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r6 0 0.008 0.018 0.012 0.054 0.029 0.012 0.045 0.021 0.014 NA NA NA NA 0.148 0.125 0.17 0.121 NA NA 0.431 0.299 0.549 0.292 0.334 0.469 0.377 0.337 0.266 0.359
tso_long_bayes_r6 0 0.009 0.018 0.012 0.054 0.028 0.012 0.045 0.021 0.014 NA NA NA NA 0.152 0.121 0.168 0.131 NA NA 0.424 0.297 0.542 0.289 0.33 0.462 0.373 0.332 0.265 0.356
msst_wide_ml_r7 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r7 0 0.007 0.015 0.011 0.106 0.036 0.015 0.06 0.032 NA 0 0.029 0.024 0.018 0 0.06 0.052 0.038 0.203 0.118 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r7 0 0.007 0.015 0.011 0.106 0.036 0.015 0.059 0.032 NA 0 0.029 0.024 0.018 0 0.06 0.052 0.038 0.218 0.12 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r7 0 0.007 0.016 0.011 0.104 0.035 0.015 0.059 0.031 NA 0 0.027 0.024 0.018 0 0.056 0.053 0.038 0.244 0.126 NA NA NA NA NA NA NA NA NA NA
