w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 0 0.009 0.017 0.013 0.09 0.04 0.011 0.055 0.036 NA 0 0.788 0.211 0.114 0 1.83 0.49 0.265 0.016 0.036 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 0 0.009 0.017 0.013 0.09 0.04 0.011 0.055 0.036 NA 0 0.784 0.21 0.114 0 1.821 0.488 0.264 0.016 0.036 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 0 0.009 0.017 0.013 0.089 0.04 0.012 0.055 0.036 NA 0 0.966 0.25 0.128 0 2.239 0.579 0.297 0.016 0.036 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 0 0.009 0.017 0.013 0.091 0.038 0.011 0.054 0.035 NA 0 0.674 0.186 0.112 0 1.596 0.438 0.262 0.016 0.04 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 0 0.009 0.019 0.012 0.057 0.026 0.011 0.043 0.019 NA 0 0.109 0.115 0.105 0.137 0.129 0.15 0.137 0.264 NA 0.11 0.158 0.119 0.131 NA NA NA NA NA NA
cuts_long_ml_r1 0 0.009 0.019 0.012 0.057 0.026 0.011 0.043 0.019 NA 0 0.109 0.115 0.105 0.137 0.129 0.15 0.137 0.264 NA 0.11 0.158 0.119 0.131 NA NA NA NA NA NA
cuts_wide_bayes_r1 0 0.009 0.019 0.012 0.057 0.027 0.011 0.043 0.019 NA 0 0.12 0.125 0.116 0.133 0.129 0.145 0.135 0.281 NA 0.119 0.177 0.122 0.144 NA NA NA NA NA NA
cuts_long_bayes_r1 0 0.009 0.019 0.012 0.057 0.027 0.011 0.042 0.019 NA 0 0.116 0.121 0.113 0.141 0.134 0.155 0.141 0.283 NA 0.121 0.179 0.125 0.144 NA NA NA NA NA NA
tso_wide_ml_r1 0 0.009 0.019 0.012 0.057 0.026 0.011 0.043 0.019 0.015 NA NA NA NA 0.137 0.129 0.15 0.137 NA NA 0.264 0.235 0.317 0.265 0.194 0.261 0.223 0.225 0.192 0.252
tso_wide_bayes_r1 0 0.009 0.019 0.012 0.057 0.027 0.011 0.042 0.019 0.015 NA NA NA NA 0.146 0.135 0.163 0.148 NA NA 0.315 0.282 0.383 0.326 0.231 0.312 0.266 0.272 0.229 0.308
tso_long_bayes_r1 0 0.009 0.019 0.012 0.057 0.026 0.011 0.043 0.019 0.015 NA NA NA NA 0.151 0.122 0.162 0.153 NA NA 0.317 0.282 0.379 0.318 0.233 0.312 0.266 0.268 0.23 0.303
msst_wide_ml_r2 0 0.009 0.019 0.014 0.086 0.041 0.012 0.055 0.036 NA 0 0.144 0.057 0.052 0 0.251 0.1 0.09 0.052 0.06 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 0 0.009 0.019 0.014 0.086 0.04 0.012 0.055 0.036 NA 0 0.144 0.057 0.052 0 0.251 0.1 0.091 0.052 0.06 NA NA NA NA NA NA NA NA NA NA
