w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 0 0.015 0.03 0.019 0.046 0.023 0.008 0.033 0.016 NA 0 0.018 0.036 0.023 0 0.035 0.072 0.047 0.127 0.093 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 0 0.013 0.027 0.017 0.042 0.023 0.008 0.032 0.015 NA 0 0.017 0.033 0.022 0 0.034 0.068 0.045 0.13 0.093 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 0 0.009 0.021 0.014 0.034 0.017 0.006 0.026 0.013 NA 0 0.053 0.115 0.076 0.099 0.055 0.131 0.084 0.155 NA 0.051 0.019 0.06 0.029 NA NA NA NA NA NA
cuts_long_bayes_r1 0 0.009 0.021 0.014 0.034 0.017 0.006 0.026 0.013 NA 0 0.054 0.116 0.077 0.103 0.057 0.137 0.088 0.157 NA 0.05 0.018 0.06 0.029 NA NA NA NA NA NA
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 0 0.009 0.021 0.014 0.035 0.017 0.006 0.026 0.013 0.015 NA NA NA NA 0.108 0.058 0.139 0.091 NA NA 0.176 0.052 0.306 0.127 0.082 0.211 0.112 0.134 0.071 0.184
tso_long_bayes_r1 0 0.009 0.021 0.014 0.035 0.017 0.006 0.026 0.013 0.015 NA NA NA NA 0.144 0.076 0.208 0.126 NA NA 0.182 0.053 0.319 0.129 0.085 0.221 0.116 0.139 0.073 0.19
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 0 0.012 0.027 0.019 0.047 0.024 0.009 0.035 0.017 NA 0 0.015 0.037 0.023 0 0.032 0.078 0.048 0.132 0.093 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 0 0.011 0.025 0.018 0.043 0.022 0.008 0.034 0.017 NA 0 0.015 0.038 0.023 0 0.032 0.079 0.049 0.131 0.095 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 0 0.009 0.02 0.014 0.035 0.017 0.006 0.026 0.013 NA 0 0.048 0.11 0.072 0.11 0.063 0.153 0.096 0.164 NA 0.045 0.02 0.092 0.041 NA NA NA NA NA NA
cuts_long_bayes_r2 0 0.009 0.02 0.014 0.035 0.017 0.006 0.026 0.013 NA 0 0.048 0.112 0.07 0.104 0.06 0.146 0.091 0.163 NA 0.047 0.02 0.094 0.04 NA NA NA NA NA NA
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 0 0.009 0.02 0.014 0.035 0.017 0.006 0.026 0.013 0.015 NA NA NA NA 0.109 0.063 0.153 0.095 NA NA 0.181 0.058 0.354 0.14 0.091 0.229 0.127 0.144 0.077 0.201
tso_long_bayes_r2 0 0.009 0.02 0.014 0.034 0.017 0.006 0.026 0.013 0.015 NA NA NA NA 0.098 0.058 0.14 0.088 NA NA 0.178 0.058 0.347 0.138 0.091 0.226 0.126 0.142 0.077 0.198
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 0 0.014 0.028 0.021 0.044 0.024 0.008 0.034 0.017 NA 0 0.016 0.034 0.022 0 0.038 0.08 0.052 0.134 0.096 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 0 0.012 0.026 0.019 0.041 0.023 0.008 0.032 0.017 NA 0 0.016 0.035 0.023 0 0.038 0.082 0.053 0.133 0.095 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
