w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_bayes_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 0 0.014 0.031 0.021 0.087 0.034 0.012 0.049 0.024 NA 0 0.067 0.129 0.08 0.102 0.056 0.124 0.075 0.147 NA 0.05 0.022 0.056 0.035 NA NA NA NA NA NA
cuts_long_bayes_r1 0 0.014 0.032 0.021 0.089 0.034 0.012 0.049 0.024 NA 0 0.067 0.126 0.081 0.103 0.056 0.124 0.073 0.148 NA 0.05 0.022 0.058 0.035 NA NA NA NA NA NA
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 0 0.014 0.032 0.021 0.089 0.034 0.012 0.051 0.024 0.032 NA NA NA NA 0.105 0.056 0.126 0.076 NA NA 0.166 0.049 0.238 0.085 0.074 0.182 0.094 0.103 0.052 0.124
tso_long_bayes_r1 0 0.014 0.032 0.021 0.09 0.034 0.012 0.05 0.025 0.032 NA NA NA NA 0.097 0.053 0.113 0.071 NA NA 0.164 0.049 0.243 0.085 0.075 0.185 0.095 0.103 0.053 0.126
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_bayes_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 0 0.014 0.032 0.022 0.087 0.032 0.011 0.047 0.024 NA 0 0.073 0.154 0.101 0.094 0.05 0.118 0.077 0.128 NA 0.049 0.022 0.085 0.033 NA NA NA NA NA NA
cuts_long_bayes_r2 0 0.014 0.032 0.021 0.086 0.032 0.011 0.047 0.024 NA 0 0.072 0.15 0.101 0.094 0.05 0.118 0.076 0.128 NA 0.049 0.022 0.085 0.033 NA NA NA NA NA NA
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 0 0.014 0.032 0.021 0.087 0.032 0.011 0.047 0.024 0.032 NA NA NA NA 0.096 0.051 0.122 0.078 NA NA 0.14 0.041 0.224 0.091 0.061 0.155 0.077 0.101 0.049 0.124
tso_long_bayes_r2 0 0.014 0.032 0.021 0.088 0.032 0.011 0.047 0.024 0.032 NA NA NA NA 0.088 0.05 0.112 0.075 NA NA 0.138 0.04 0.222 0.091 0.061 0.154 0.077 0.1 0.049 0.123
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 0 0.017 0.038 0.023 0.115 0.048 0.019 0.075 0.035 NA 0 0.092 0.127 0.108 0 0.189 0.264 0.222 0.103 0.079 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 0 0.017 0.035 0.023 0.109 0.044 0.016 0.067 0.031 NA 0 0.076 0.13 0.096 0 0.158 0.269 0.199 0.107 0.08 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
