w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 0 0.024 0.052 0.037 0.145 0.062 0.018 0.087 0.053 NA 0 0.358 0.313 0.276 0 0.699 0.61 0.538 0.065 0.064 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 0 0.024 0.052 0.037 0.145 0.062 0.018 0.087 0.053 NA 0 0.356 0.312 0.276 0 0.695 0.609 0.538 0.065 0.064 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 0 0.02 0.044 0.029 0.117 0.047 0.016 0.072 0.035 NA 0 0.136 0.272 0.187 0.095 0.058 0.112 0.081 0.114 NA 0.07 0.025 0.071 0.045 NA NA NA NA NA NA
cuts_long_ml_r1 0 0.02 0.044 0.029 0.117 0.047 0.016 0.072 0.035 NA 0 0.136 0.273 0.187 0.095 0.058 0.112 0.081 0.114 NA 0.07 0.025 0.071 0.045 NA NA NA NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r1 0 0.02 0.044 0.029 0.118 0.047 0.016 0.072 0.035 0.041 NA NA NA NA 0.094 0.059 0.111 0.081 NA NA 0.127 0.049 0.179 0.094 0.065 0.126 0.081 0.09 0.056 0.113
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r2 0 0.022 0.055 0.029 0.164 0.063 0.021 0.102 0.04 NA 0 0.156 0.224 0.35 0 0.305 0.44 0.682 0.094 0.069 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 0 0.022 0.055 0.029 0.164 0.063 0.021 0.101 0.04 NA 0 0.156 0.224 0.349 0 0.305 0.439 0.681 0.094 0.069 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 0 0.019 0.043 0.028 0.119 0.047 0.018 0.074 0.033 NA 0 0.083 0.163 0.133 0.097 0.052 0.115 0.085 0.132 NA 0.056 0.018 0.072 0.043 NA NA NA NA NA NA
cuts_long_ml_r2 0 0.019 0.043 0.028 0.119 0.047 0.018 0.074 0.033 NA 0 0.083 0.163 0.133 0.097 0.052 0.115 0.085 0.132 NA 0.056 0.018 0.072 0.043 NA NA NA NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r2 0 0.019 0.043 0.028 0.12 0.047 0.018 0.074 0.033 0.043 NA NA NA NA 0.097 0.052 0.116 0.084 NA NA 0.135 0.038 0.193 0.102 0.059 0.142 0.073 0.101 0.054 0.122
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r3 0 0.019 0.046 0.033 0.15 0.058 0.017 0.084 0.044 NA 0 0.218 0.218 0.178 0 0.423 0.422 0.344 0.067 0.068 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 0 0.019 0.046 0.033 0.15 0.058 0.017 0.084 0.044 NA 0 0.218 0.218 0.178 0 0.423 0.423 0.345 0.067 0.068 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 0 0.018 0.038 0.025 0.129 0.045 0.016 0.069 0.032 NA 0 0.13 0.208 0.151 0.09 0.058 0.106 0.074 0.107 NA 0.052 0.025 0.064 0.039 NA NA NA NA NA NA
cuts_long_ml_r3 0 0.018 0.038 0.025 0.129 0.045 0.016 0.069 0.032 NA 0 0.13 0.208 0.151 0.09 0.058 0.106 0.074 0.107 NA 0.052 0.025 0.064 0.039 NA NA NA NA NA NA
cuts_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r3 0 0.018 0.038 0.025 0.129 0.045 0.016 0.07 0.032 0.041 NA NA NA NA 0.089 0.058 0.107 0.074 NA NA 0.115 0.048 0.164 0.079 0.063 0.118 0.076 0.078 0.051 0.097
tso_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r4 0 0.017 0.039 0.026 0.124 0.043 0.014 0.064 0.031 NA 0 0.11 0.24 0.2 0.088 0.052 0.118 0.081 0.103 NA 0.051 0.021 0.077 0.041 NA NA NA NA NA NA
cuts_long_ml_r4 0 0.017 0.039 0.026 0.124 0.043 0.014 0.064 0.031 NA 0 0.11 0.24 0.2 0.088 0.052 0.118 0.081 0.103 NA 0.051 0.021 0.077 0.041 NA NA NA NA NA NA
cuts_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
