w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 0 0.011 0.028 0.019 0.13 0.053 0.024 0.091 0.048 NA 0 0.033 0.032 0.026 0 0.076 0.076 0.061 0.234 0.127 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 0 0.011 0.028 0.019 0.13 0.053 0.024 0.091 0.048 NA 0 0.033 0.032 0.026 0 0.075 0.075 0.061 0.235 0.127 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 0 0.011 0.027 0.019 0.131 0.053 0.025 0.091 0.048 NA 0 0.033 0.033 0.026 0 0.076 0.076 0.061 0.256 0.13 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 0 0.012 0.029 0.019 0.128 0.052 0.024 0.091 0.047 NA 0 0.032 0.032 0.026 0 0.073 0.074 0.063 0.26 0.133 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r1 0 0.013 0.028 0.018 0.091 0.042 0.017 0.067 0.033 NA 0 0.052 0.057 0.047 0.152 0.123 0.169 0.148 0.359 NA 0.018 0.086 0.1 0.066 NA NA NA NA NA NA
cuts_long_bayes_r1 0 0.013 0.028 0.018 0.091 0.042 0.017 0.068 0.033 NA 0 0.053 0.057 0.047 0.163 0.128 0.177 0.156 0.361 NA 0.017 0.085 0.1 0.067 NA NA NA NA NA NA
tso_wide_ml_r1 0 0.012 0.027 0.018 0.076 0.04 0.017 0.065 0.032 0.021 NA NA NA NA 0.152 0.121 0.167 0.147 NA NA 0.328 0.208 0.397 0.304 0.235 0.341 0.256 0.301 0.218 0.303
tso_wide_bayes_r1 0 0.012 0.027 0.018 0.076 0.041 0.017 0.065 0.032 0.021 NA NA NA NA 0.159 0.126 0.172 0.156 NA NA 0.395 0.246 0.475 0.364 0.281 0.408 0.307 0.361 0.259 0.362
tso_long_bayes_r1 0 0.012 0.027 0.018 0.077 0.04 0.017 0.065 0.032 0.021 NA NA NA NA 0.176 0.133 0.186 0.169 NA NA 0.402 0.253 0.487 0.37 0.286 0.418 0.312 0.368 0.265 0.37
msst_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r2 0 0.01 0.024 0.016 0.131 0.05 0.021 0.083 0.041 NA 0 0.036 0.031 0.024 0 0.081 0.072 0.054 0.215 0.122 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 0 0.01 0.024 0.016 0.132 0.05 0.02 0.084 0.04 NA 0 0.036 0.032 0.024 0 0.082 0.073 0.055 0.231 0.124 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 0 0.011 0.025 0.016 0.13 0.05 0.021 0.083 0.041 NA 0 0.037 0.031 0.024 0 0.083 0.071 0.055 0.242 0.125 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r2 0 0.012 0.026 0.017 0.098 0.042 0.017 0.068 0.032 NA 0 0.057 0.049 0.04 0.148 0.133 0.161 0.129 0.35 NA 0.018 0.093 0.07 0.047 NA NA NA NA NA NA
cuts_long_bayes_r2 0 0.012 0.026 0.017 0.098 0.042 0.017 0.068 0.032 NA 0 0.056 0.049 0.04 0.155 0.139 0.167 0.134 0.346 NA 0.017 0.094 0.07 0.047 NA NA NA NA NA NA
tso_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r2 0 0.012 0.025 0.017 0.082 0.041 0.017 0.065 0.031 0.02 NA NA NA NA 0.16 0.142 0.171 0.136 NA NA 0.391 0.31 0.453 0.284 0.317 0.403 0.339 0.318 0.264 0.321
tso_long_bayes_r2 0 0.012 0.025 0.017 0.082 0.04 0.017 0.066 0.031 0.02 NA NA NA NA 0.12 0.122 0.132 0.107 NA NA 0.384 0.307 0.445 0.278 0.312 0.396 0.335 0.312 0.259 0.315
msst_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r3 0 0.011 0.026 0.017 0.144 0.053 0.024 0.093 0.046 NA 0 0.041 0.034 0.027 0 0.085 0.073 0.059 0.218 0.121 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 0 0.011 0.026 0.017 0.145 0.053 0.024 0.094 0.046 NA 0 0.042 0.034 0.028 0 0.085 0.073 0.06 0.234 0.124 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 0 0.011 0.027 0.017 0.142 0.053 0.025 0.094 0.045 NA 0 0.039 0.034 0.028 0 0.083 0.074 0.06 0.247 0.128 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r3 0 0.012 0.027 0.017 0.098 0.043 0.017 0.072 0.031 NA 0 0.056 0.053 0.045 0.159 0.127 0.175 0.155 0.37 NA 0.018 0.098 0.087 0.065 NA NA NA NA NA NA
cuts_long_bayes_r3 0 0.012 0.028 0.017 0.098 0.044 0.017 0.07 0.03 NA 0 0.056 0.053 0.046 0.155 0.127 0.172 0.151 0.372 NA 0.018 0.099 0.088 0.065 NA NA NA NA NA NA
tso_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r3 0 0.012 0.027 0.017 0.081 0.042 0.016 0.069 0.03 0.02 NA NA NA NA 0.16 0.129 0.177 0.154 NA NA 0.422 0.268 0.501 0.392 0.299 0.439 0.326 0.39 0.28 0.399
tso_long_bayes_r3 0 0.012 0.027 0.017 0.08 0.042 0.017 0.069 0.029 0.02 NA NA NA NA 0.113 0.108 0.12 0.124 NA NA 0.408 0.263 0.492 0.381 0.29 0.427 0.318 0.377 0.271 0.386
msst_wide_ml_r4 0 0.011 0.027 0.019 0.126 0.052 0.02 0.092 0.047 NA 0 0.028 0.033 0.023 0 0.073 0.086 0.06 0.256 0.134 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 0 0.011 0.027 0.019 0.126 0.052 0.02 0.092 0.047 NA 0 0.028 0.033 0.023 0 0.073 0.086 0.06 0.256 0.134 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 0 0.011 0.027 0.019 0.127 0.052 0.02 0.093 0.048 NA 0 0.029 0.033 0.023 0 0.075 0.086 0.06 0.277 0.139 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 0 0.011 0.027 0.019 0.123 0.052 0.02 0.092 0.046 NA 0 0.027 0.033 0.023 0 0.07 0.089 0.059 0.283 0.137 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r4 0 0.012 0.027 0.018 0.099 0.044 0.016 0.07 0.031 NA 0 0.05 0.062 0.048 0.157 0.135 0.196 0.139 0.376 NA 0.027 0.073 0.116 0.073 NA NA NA NA NA NA
cuts_long_bayes_r4 0 0.012 0.027 0.018 0.098 0.044 0.017 0.069 0.032 NA 0 0.049 0.061 0.048 0.161 0.136 0.202 0.142 0.373 NA 0.026 0.072 0.117 0.075 NA NA NA NA NA NA
