ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 57918.01 161.355 0
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 55097.634 390.656 0.316
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 50979.282 4854.378 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 58272.343 162.295 0
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 55254.675 388.422 0.311
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 50994.802 4885.314 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 58210.089 163.725 0
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 54910.913 390.75 0.473
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 51002.859 4796.044 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 58355.81 162.873 0
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 55518.859 392.548 0.523
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 51492.621 4813.449 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r5 16 NA NA NA NA NA NA NA NA NA NA NA NA
