ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 16 7278.286 1874 0 0.339 0.376 0.17 14433.757 14475.44 14424.908 NA NA NA
msst_long_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 20 6971.02 1870 0 0.376 0.409 0.165 14134.492 14186.595 14123.43 NA NA NA
cuts_long_ml_r1 20 4.197 4 0.38 1 1 0.006 14134.492 14240.716 14177.182 NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r1 23 6967.361 1867 0 0.376 0.409 0.165 14136.832 14196.751 14124.112 NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r2 16 519.141 8 0 0.801 0.702 0.207 14684.508 14769.498 14718.67 NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 20 7093.899 1870 0 0.384 0.417 0.167 14174.565 14226.668 14163.503 NA NA NA
cuts_long_ml_r2 20 1.198 4 0.8784 1 1.003 0 14174.565 14280.802 14217.268 NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r2 23 7093.268 1867 0 0.384 0.416 0.167 14179.933 14239.852 14167.213 NA NA NA
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r3 16 7300.649 1874 0 0.33 0.367 0.17 14827.556 14869.239 14818.707 NA NA NA
msst_long_ml_r3 16 464.735 8 0 0.825 0.737 0.195 14833.893 14918.905 14868.077 NA NA NA
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 20 6848.259 1870 0 0.385 0.418 0.163 14383.166 14435.269 14372.104 NA NA NA
cuts_long_ml_r3 20 6.008 4 0.1986 0.999 0.998 0.018 14383.166 14489.43 14425.896 NA NA NA
cuts_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r3 23 6847.04 1867 0 0.385 0.417 0.163 14387.947 14447.866 14375.226 NA NA NA
tso_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r4 16 7703.047 1874 0 0.342 0.379 0.176 14332.529 14374.212 14323.68 NA NA NA
msst_long_ml_r4 16 400.043 8 0 0.869 0.804 0.181 14331.292 14416.293 14365.466 NA NA NA
msst_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r4 20 7311.655 1870 0 0.386 0.419 0.171 13949.137 14001.24 13938.075 NA NA NA
cuts_long_ml_r4 20 9.888 4 0.0424 0.998 0.994 0.031 13949.137 14055.388 13991.854 NA NA NA
cuts_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r4 23 7311.648 1867 0 0.386 0.417 0.171 13955.13 14015.049 13942.409 NA NA NA
tso_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r5 16 7880.173 1874 0 0.332 0.369 0.179 14610.402 14652.085 14601.552 NA NA NA
msst_long_ml_r5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r5 20 7407.409 1870 0 0.384 0.417 0.172 14145.638 14197.741 14134.576 NA NA NA
cuts_long_ml_r5 20 5.243 4 0.2633 1 0.999 0.014 14145.638 14251.889 14188.355 NA NA NA
cuts_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r5 23 7404.309 1867 0 0.384 0.416 0.172 14148.538 14208.457 14135.817 NA NA NA
tso_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r6 16 436.404 8 0 0.841 0.762 0.189 14327.221 14412.179 14361.352 NA NA NA
msst_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r6 20 6794.844 1870 0 0.398 0.43 0.162 13898.974 13951.078 13887.913 NA NA NA
cuts_long_ml_r6 20 0.157 4 0.9971 1 1.004 0 13898.974 14005.172 13941.638 NA NA NA
cuts_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r6 23 6791.949 1867 0 0.397 0.429 0.162 13902.08 13961.999 13889.359 NA NA NA
tso_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r7 16 7240.255 1874 0 0.354 0.39 0.169 14733.061 14774.744 14724.212 NA NA NA
msst_long_ml_r7 16 414.587 8 0 0.854 0.78 0.184 14732.279 14817.28 14766.452 NA NA NA
msst_wide_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r7 20 6835.769 1870 0 0.403 0.434 0.163 14336.575 14388.678 14325.513 NA NA NA
cuts_long_ml_r7 20 10.883 4 0.0279 0.998 0.993 0.034 14336.575 14442.826 14379.291 NA NA NA
cuts_wide_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r7 23 6824.838 1867 0 0.403 0.434 0.163 14331.644 14391.563 14318.923 NA NA NA
tso_wide_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r8 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r8 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_wide_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r8 20 6965.292 1870 0 0.389 0.422 0.165 14486.045 14538.148 14474.983 NA NA NA
cuts_long_ml_r8 20 0.867 4 0.9292 1 1.003 0 14486.045 14592.256 14528.722 NA NA NA
cuts_wide_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r8 23 6963.709 1867 0 0.389 0.421 0.165 14490.462 14550.381 14477.742 NA NA NA
tso_wide_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r9 16 7516.638 1874 0 0.348 0.384 0.174 14599.3 14640.983 14590.451 NA NA NA
msst_long_ml_r9 16 418.068 8 0 0.853 0.78 0.185 14598.611 14683.612 14632.785 NA NA NA
msst_wide_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r9 20 7103.984 1870 0 0.395 0.427 0.167 14194.646 14246.75 14183.585 NA NA NA
cuts_long_ml_r9 20 6.103 4 0.1916 0.999 0.998 0.019 14194.646 14300.897 14237.363 NA NA NA
cuts_wide_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r9 23 7101.282 1867 0 0.395 0.426 0.167 14197.945 14257.863 14185.224 NA NA NA
tso_wide_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r10 16 7464.582 1874 0 0.33 0.367 0.173 14571.647 14613.329 14562.797 NA NA NA
msst_long_ml_r10 16 393.324 8 0 0.859 0.789 0.179 14570.484 14655.485 14604.657 NA NA NA
msst_wide_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r10 20 7074.226 1870 0 0.376 0.41 0.167 14189.291 14241.394 14178.229 NA NA NA
cuts_long_ml_r10 20 4.131 4 0.3885 1 1 0.005 14189.291 14295.542 14232.008 NA NA NA
cuts_wide_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r10 23 7071.951 1867 0 0.376 0.409 0.167 14193.016 14252.935 14180.295 NA NA NA
tso_wide_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r11 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r11 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_wide_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r11 20 7081.708 1870 0 0.379 0.412 0.167 14353.259 14405.362 14342.197 NA NA NA
cuts_long_ml_r11 20 3.643 4 0.4564 1 1 0 14353.259 14459.524 14395.989 NA NA NA
cuts_wide_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r11 23 7078.01 1867 0 0.379 0.411 0.167 14355.561 14415.48 14342.84 NA NA NA
tso_wide_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r12 16 6822.63 1874 0 0.38 0.415 0.163 14844.965 14886.648 14836.116 NA NA NA
msst_long_ml_r12 16 347.762 8 0 0.879 0.819 0.169 14843.761 14928.719 14877.892 NA NA NA
msst_wide_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r12 20 6474.032 1870 0 0.424 0.454 0.157 14504.367 14556.47 14493.305 NA NA NA
cuts_long_ml_r12 20 0.368 4 0.985 1 1.004 0 14504.367 14610.564 14547.03 NA NA NA
cuts_wide_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r12 23 6473.389 1867 0 0.423 0.453 0.157 14509.724 14569.643 14497.004 NA NA NA
tso_wide_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r13 16 7043.068 1874 0 0.367 0.402 0.166 14611.934 14653.617 14603.085 NA NA NA
msst_long_ml_r13 16 396.796 8 0 0.86 0.79 0.18 14610.656 14695.657 14644.83 NA NA NA
msst_wide_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r13 20 6647.381 1870 0 0.415 0.446 0.16 14224.247 14276.351 14213.186 NA NA NA
cuts_long_ml_r13 20 2.387 4 0.665 1 1.002 0 14224.248 14330.499 14266.964 NA NA NA
cuts_wide_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r13 23 6645.203 1867 0 0.415 0.445 0.16 14228.069 14287.988 14215.348 NA NA NA
tso_wide_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r14 16 7356.904 1874 0 0.362 0.397 0.171 14582.522 14624.205 14573.673 NA NA NA
msst_long_ml_r14 16 410.231 8 0 0.859 0.788 0.183 14581.532 14666.522 14615.694 NA NA NA
msst_wide_bayes_r14 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r14 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r14 20 6951.678 1870 0 0.408 0.44 0.165 14185.296 14237.399 14174.234 NA NA NA
cuts_long_ml_r14 20 5.995 4 0.1995 0.999 0.998 0.018 14185.296 14291.534 14227.999 NA NA NA
cuts_wide_bayes_r14 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r14 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r14 23 6946.468 1867 0 0.409 0.439 0.165 14186.087 14246.006 14173.366 NA NA NA
tso_wide_bayes_r14 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r14 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r15 16 6696.793 1874 0 0.386 0.42 0.16 14675.639 14717.321 14666.789 NA NA NA
msst_long_ml_r15 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_wide_bayes_r15 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r15 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r15 20 6246.577 1870 0 0.443 0.473 0.153 14233.423 14285.526 14222.361 NA NA NA
cuts_long_ml_r15 20 5.501 4 0.2397 0.999 0.998 0.016 14233.423 14339.687 14276.153 NA NA NA
cuts_wide_bayes_r15 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r15 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r15 23 6244.278 1867 0 0.443 0.472 0.153 14237.124 14297.042 14224.403 NA NA NA
tso_wide_bayes_r15 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r15 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r16 16 6711.089 1874 0 0.355 0.391 0.161 14435.629 14477.312 14426.78 NA NA NA
msst_long_ml_r16 16 373.135 8 0 0.864 0.796 0.175 14434.399 14519.389 14468.562 NA NA NA
msst_wide_bayes_r16 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r16 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r16 20 6336.983 1870 0 0.404 0.436 0.155 14069.524 14121.627 14058.462 NA NA NA
