ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 16 3300.945 1874 0 0.755 0.769 0.087 17698.279 17739.962 17689.43 NA NA NA
msst_long_ml_r1 16 773.314 8 0 0.764 0.645 0.253 17695.651 17780.662 17729.835 NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 20 2525.722 1870 0 0.887 0.893 0.059 16931.056 16983.159 16919.994 NA NA NA
cuts_long_ml_r1 20 0.719 4 0.949 1 1.003 0 16931.056 17037.32 16973.786 NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r1 23 2525.101 1867 0 0.887 0.893 0.059 16936.435 16996.354 16923.715 NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r2 16 3141.378 1874 0 0.779 0.791 0.082 17555.836 17597.519 17546.987 NA NA NA
msst_long_ml_r2 16 755.79 8 0 0.761 0.641 0.25 17553.197 17638.209 17587.381 NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 20 2386.111 1870 0 0.91 0.915 0.053 16808.569 16860.672 16797.507 NA NA NA
cuts_long_ml_r2 20 3.161 4 0.5312 1 1.001 0 16808.569 16914.833 16851.299 NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r2 23 2383.271 1867 0 0.91 0.915 0.053 16811.729 16871.648 16799.008 NA NA NA
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r3 16 3057.779 1874 0 0.774 0.786 0.079 17716.043 17757.725 17707.193 NA NA NA
msst_long_ml_r3 16 773.379 8 0 0.72 0.58 0.253 17713.418 17798.43 17747.602 NA NA NA
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 20 2292.202 1870 0 0.919 0.924 0.048 16958.466 17010.569 16947.404 NA NA NA
cuts_long_ml_r3 20 10.426 4 0.0338 0.998 0.993 0.033 16958.466 17064.73 17001.196 NA NA NA
cuts_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r3 23 2286.799 1867 0 0.92 0.924 0.047 16959.063 17018.982 16946.342 NA NA NA
tso_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r4 16 2949.196 1874 0 0.809 0.819 0.076 17483.206 17524.888 17474.356 NA NA NA
msst_long_ml_r4 16 683.595 8 0 0.792 0.687 0.237 17480.814 17565.826 17514.998 NA NA NA
msst_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r4 20 2269.161 1870 0 0.929 0.933 0.046 16811.171 16863.274 16800.109 NA NA NA
cuts_long_ml_r4 20 5.952 4 0.2028 0.999 0.998 0.018 16811.171 16917.435 16853.901 NA NA NA
cuts_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r4 23 2263.47 1867 0 0.929 0.933 0.046 16811.48 16871.399 16798.759 NA NA NA
tso_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r5 16 3206.787 1874 0 0.769 0.781 0.084 17455.814 17497.497 17446.965 NA NA NA
msst_long_ml_r5 16 741.699 8 0 0.753 0.629 0.247 17453.094 17538.106 17487.278 NA NA NA
msst_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r5 20 2462.892 1870 0 0.897 0.903 0.056 16719.919 16772.023 16708.858 NA NA NA
cuts_long_ml_r5 20 0.524 4 0.9712 1 1.004 0 16719.919 16826.184 16762.649 NA NA NA
cuts_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r5 23 2462.627 1867 0 0.897 0.902 0.056 16725.654 16785.573 16712.933 NA NA NA
tso_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r6 16 3214.85 1874 0 0.773 0.785 0.085 17770.305 17811.988 17761.456 NA NA NA
msst_long_ml_r6 16 738.825 8 0 0.764 0.647 0.247 17767.667 17852.678 17801.851 NA NA NA
msst_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r6 20 2474.855 1870 0 0.897 0.903 0.057 17038.311 17090.414 17027.249 NA NA NA
cuts_long_ml_r6 20 1.469 4 0.8322 1 1.002 0 17038.311 17144.575 17081.041 NA NA NA
cuts_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
