\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 16 33103.338 7364 0 0.248 0.271 0.187 35495.563 35537.245 35486.713 NA NA NA
msst_long_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 20 31534.908 7360 0 0.294 0.315 0.181 33935.133 33987.236 33924.071 NA NA NA
cuts_long_ml_r1 20 5.551 4 0.2353 1 0.999 0.011 33935.133 34055.26 33991.712 NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r1 23 31533.173 7357 0 0.294 0.315 0.181 33939.398 33999.317 33926.677 NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r2 16 32772.353 7364 0 0.255 0.278 0.186 35368.357 35410.04 35359.508 NA NA NA
msst_long_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 20 31229.628 7360 0 0.3 0.321 0.18 33833.632 33885.736 33822.571 NA NA NA
cuts_long_ml_r2 20 10.078 4 0.0391 0.999 0.998 0.023 33833.632 33953.76 33890.212 NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r2 23 31217.23 7357 0 0.301 0.321 0.18 33827.234 33887.153 33814.513 NA NA NA
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r3 16 32921.035 7364 0 0.242 0.265 0.186 35059.557 35101.24 35050.708 NA NA NA
msst_long_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 20 31632.113 7360 0 0.281 0.302 0.182 33778.635 33830.738 33767.573 NA NA NA
cuts_long_ml_r3 20 5.99 4 0.1999 1 0.999 0.013 33778.635 33898.762 33835.214 NA NA NA
