\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 18422.304 16.015 0
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 18040.972 125.86 0.011
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 17281.759 19.448 0.102
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 16673.629 358.539 0.053
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 17045.018 21.762 0.416
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 15119.889 1659.772 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 18452.799 16.275 0
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 18069.415 127.237 0.076
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 17377.495 18.911 0.11
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 16771.391 361.007 0.066
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 17073.664 21.773 0.625
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 14969.272 1714.137 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 18473.878 16.243 0
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 18098.257 127.544 0.001
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 17260.087 18.763 0.124
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 16640.546 364.846 0.009
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 17028.986 22.344 0.563
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 14903.21 1741.491 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 18431.685 16.111 0
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 18065.238 126.761 0.036
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 17324.315 18.514 0.17
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 16721.941 360.651 0.012
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 17028.234 21.927 0.714
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 15037.719 1670.246 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
