\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 16 7062.157 1874 0 0.412 0.445 0.166 13507.852 13549.535 13499.003 NA NA NA
msst_long_ml_r1 16 493.393 8 0 0.65 0.476 0.201 13506.277 13591.267 13540.44 NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 20 6571.443 1870 0 0.467 0.496 0.159 13025.139 13077.242 13014.077 NA NA NA
cuts_long_ml_r1 20 4.255 4 0.3726 1 0.999 0.007 13025.139 13131.377 13067.842 NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r1 23 6568.739 1867 0 0.467 0.495 0.159 13028.435 13088.354 13015.714 NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r2 16 7343.116 1874 0 0.468 0.497 0.171 13530.162 13571.845 13521.313 NA NA NA
msst_long_ml_r2 16 467.375 8 0 0.687 0.531 0.196 13528.531 13613.521 13562.694 NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 20 6876.446 1870 0 0.513 0.539 0.164 13071.492 13123.596 13060.431 NA NA NA
cuts_long_ml_r2 20 2.336 4 0.6742 1 1.003 0 13071.492 13177.73 13114.196 NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r2 23 6875.39 1867 0 0.513 0.538 0.164 13076.437 13136.356 13063.716 NA NA NA
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r3 16 7178.49 1874 0 0.429 0.461 0.168 13374.798 13416.481 13365.949 NA NA NA
msst_long_ml_r3 16 464.68 8 0 0.665 0.498 0.195 13373.251 13458.23 13407.403 NA NA NA
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 20 6714.572 1870 0 0.479 0.506 0.161 12918.88 12970.984 12907.819 NA NA NA
cuts_long_ml_r3 20 2.31 4 0.679 1 1.004 0 12918.88 13025.105 12961.57 NA NA NA
cuts_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r3 23 6713.115 1867 0 0.478 0.506 0.161 12923.423 12983.342 12910.702 NA NA NA
tso_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r4 16 7562.614 1874 0 0.413 0.445 0.174 13631.464 13673.147 13622.615 NA NA NA
msst_long_ml_r4 16 561.425 8 0 0.581 0.372 0.215 13629.755 13714.766 13663.939 NA NA NA
msst_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r4 20 7002.321 1870 0 0.47 0.499 0.166 13079.172 13131.275 13068.11 NA NA NA
cuts_long_ml_r4 20 2.842 4 0.5847 1 1.003 0 13079.172 13185.436 13121.902 NA NA NA
cuts_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r4 23 6999.636 1867 0 0.47 0.498 0.166 13082.486 13142.405 13069.765 NA NA NA
tso_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r5 16 6976.697 1874 0 0.463 0.493 0.165 13603.755 13645.437 13594.905 NA NA NA
msst_long_ml_r5 16 502.865 8 0 0.638 0.457 0.203 13602.154 13687.123 13636.296 NA NA NA
msst_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r5 20 6477.94 1870 0 0.515 0.541 0.157 13112.998 13165.101 13101.936 NA NA NA
cuts_long_ml_r5 20 5.708 4 0.222 0.999 0.996 0.017 13112.998 13219.209 13155.675 NA NA NA
cuts_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r5 23 6472.546 1867 0 0.515 0.541 0.157 13113.604 13173.523 13100.883 NA NA NA
tso_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r6 16 7233.464 1874 0 0.415 0.447 0.169 13487.111 13528.793 13478.261 NA NA NA
msst_long_ml_r6 16 581.401 8 0 0.555 0.333 0.219 13485.414 13570.404 13519.576 NA NA NA
msst_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r6 20 6654.076 1870 0 0.477 0.505 0.16 12915.723 12967.826 12904.661 NA NA NA
cuts_long_ml_r6 20 3.71 4 0.4467 1 1.001 0 12915.723 13021.96 12958.426 NA NA NA
cuts_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r6 23 6650.288 1867 0 0.478 0.505 0.16 12917.935 12977.854 12905.214 NA NA NA
tso_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r7 16 7382.381 1874 0 0.44 0.471 0.171 13689.735 13731.417 13680.885 NA NA NA
msst_long_ml_r7 16 569.836 8 0 0.581 0.372 0.216 13688.199 13773.2 13722.372 NA NA NA
msst_wide_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r7 20 6815.501 1870 0 0.498 0.524 0.163 13130.855 13182.959 13119.794 NA NA NA
cuts_long_ml_r7 20 4.492 4 0.3435 1 0.999 0.009 13130.855 13237.106 13173.572 NA NA NA
cuts_wide_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r7 23 6811.046 1867 0 0.498 0.524 0.163 13132.4 13192.319 13119.679 NA NA NA
tso_wide_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r7 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r8 16 6742.44 1874 0 0.46 0.49 0.161 13316.122 13357.804 13307.272 NA NA NA
msst_long_ml_r8 16 472.854 8 0 0.648 0.472 0.197 13314.628 13399.586 13348.758 NA NA NA
msst_wide_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r8 20 6271.283 1870 0 0.512 0.538 0.153 12852.964 12905.068 12841.903 NA NA NA
cuts_long_ml_r8 20 3.191 4 0.5264 1 1.002 0 12852.964 12959.162 12895.627 NA NA NA
cuts_wide_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r8 23 6269.22 1867 0 0.512 0.537 0.154 12856.901 12916.82 12844.181 NA NA NA
tso_wide_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r8 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r9 16 7095.463 1874 0 0.392 0.426 0.167 13180.522 13222.205 13171.673 NA NA NA
msst_long_ml_r9 16 407.482 8 0 0.686 0.529 0.183 13179.071 13264.039 13213.212 NA NA NA
msst_wide_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r9 20 6689.806 1870 0 0.439 0.469 0.161 12782.865 12834.969 12771.804 NA NA NA
cuts_long_ml_r9 20 3.276 4 0.5127 1 1.002 0 12782.865 12889.076 12825.542 NA NA NA
cuts_wide_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r9 23 6686.905 1867 0 0.439 0.468 0.161 12785.965 12845.884 12773.244 NA NA NA
tso_wide_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r9 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r10 16 7099.156 1874 0 0.453 0.483 0.167 13583.569 13625.252 13574.72 NA NA NA
msst_long_ml_r10 16 462.857 8 0 0.656 0.483 0.195 13582.13 13667.12 13616.293 NA NA NA
msst_wide_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r10 20 6640.094 1870 0 0.5 0.527 0.16 13132.507 13184.61 13121.445 NA NA NA
cuts_long_ml_r10 20 5.234 4 0.2641 0.999 0.997 0.014 13132.507 13238.745 13175.21 NA NA NA
cuts_wide_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r10 23 6636.354 1867 0 0.5 0.526 0.16 13134.767 13194.685 13122.046 NA NA NA
tso_wide_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r10 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r11 16 7476.881 1874 0 0.419 0.451 0.173 13376.213 13417.896 13367.364 NA NA NA
msst_long_ml_r11 16 426.436 8 0 0.692 0.538 0.187 13374.778 13459.757 13408.93 NA NA NA
msst_wide_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r11 20 7054.9 1870 0 0.462 0.491 0.167 12962.233 13014.336 12951.171 NA NA NA
cuts_long_ml_r11 20 5.891 4 0.2074 0.999 0.996 0.018 12962.233 13068.457 13004.923 NA NA NA
cuts_wide_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r11 23 7049.407 1867 0 0.462 0.49 0.167 12962.739 13022.658 12950.018 NA NA NA
tso_wide_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r11 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r12 16 7304.063 1874 0 0.401 0.435 0.17 13820.396 13862.078 13811.546 NA NA NA
msst_long_ml_r12 16 517.205 8 0 0.618 0.427 0.206 13818.812 13903.823 13852.996 NA NA NA
msst_wide_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r12 20 6792.62 1870 0 0.457 0.486 0.162 13316.952 13369.056 13305.891 NA NA NA
cuts_long_ml_r12 20 7.346 4 0.1187 0.997 0.992 0.024 13316.952 13423.217 13359.682 NA NA NA
cuts_wide_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r12 23 6791.644 1867 0 0.457 0.485 0.162 13321.976 13381.895 13309.256 NA NA NA
tso_wide_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r12 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r13 16 7156.222 1874 0 0.463 0.493 0.168 13435.018 13476.701 13426.169 NA NA NA
msst_long_ml_r13 16 384.084 8 0 0.726 0.59 0.177 13433.641 13518.642 13467.814 NA NA NA
msst_wide_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r13 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r13 20 6771.885 1870 0 0.501 0.528 0.162 13058.681 13110.785 13047.62 NA NA NA
cuts_long_ml_r13 20 1.125 4 0.8903 1 1.006 0 13058.681 13164.932 13101.398 NA NA NA
