ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 17042.628 15.78 0
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 16912.074 118.067 0.499
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 16934.161 19.23 0
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 16755.854 256.92 0.541
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 16653.869 21.552 0.552
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 14127.199 1506.386 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 17168.5 15.714 0
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 17056.117 114.83 0.462
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 17066.306 19.011 0
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 16907.657 251.912 0.461
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 16805.361 21.463 0.239
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 14221.562 1520.978 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 17198.002 15.658 0.045
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 17085.663 116.935 0.416
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 17030.199 19.275 0.632
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 16845.716 274.228 0.452
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 16789.582 21.792 1
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 14164.104 1544.456 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 17212.411 119.847 0.384
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 17129.821 19.196 0.028
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 16936.976 278.23 0.254
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 16874.591 21.555 0.879
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 14211.521 1548.509 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
