ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 13507.67 15.772 0.009
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 13212.461 121.984 0.406
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 13026.083 19.934 0.639
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 12551.074 343.517 0.489
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 13028.197 21.542 0.669
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 11549.404 1356.235 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 13530.428 16.003 0.003
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 13190.633 122.894 0.434
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 13071.861 19.671 0.437
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 12574.076 338.175 0.525
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 13076.777 21.812 0.454
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 11597.808 1343.53 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 13374.499 15.725 0.003
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 13063.889 122.842 0.487
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 12919.749 19.896 0.513
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 12440.204 338.539 0.511
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 12924.141 22.005 0.51
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 11467.024 1340.754 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 13631.863 16.053 0
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 13313.79 122.954 0.389
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 13078.942 19.336 0.371
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 12572.93 347.745 0.49
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 13083.276 22.029 0.417
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 11591.247 1351.409 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
