ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 15861.932 16.247 0
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 15633.553 121.841 0.203
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 15305.661 19.834 0.785
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 14894.088 341.433 0.343
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 15307.635 22.215 0.782
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 13014.32 1559.666 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 16023.455 15.807 0
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 15779.284 122.364 0.386
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 15395.095 19.444 0.218
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 14950.054 347.642 0.465
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 15400.831 22.143 0.216
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 13231.871 1547.526 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 16046.057 15.989 0
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 15788.844 122.409 0.394
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 15291.562 19.472 0.838
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 14809.882 354.035 0.386
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 15291.274 21.486 0.827
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 12967.439 1566.18 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 15954.986 15.993 0
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 15677.604 122.911 0.429
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 15367.978 18.867 0.777
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 14925.334 341.626 0.511
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 15372.689 21.822 0.756
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 13002.373 1564.102 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
