\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 18670.614 16.038 0.016
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 18558.118 114.49 0.462
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 18565.711 19.332 0.033
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 18405.897 253.768 0.398
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 18268.949 21.652 0.448
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 15256.413 1918.296 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 18793.736 16.069 0.005
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 18642.353 117.797 0.248
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 18621.109 18.703 0.037
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 18403.38 278.089 0.286
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 18266.87 21.601 0.592
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 15318.277 1912.61 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 18797.334 16.225 0.009
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 18708.664 113.322 0.444
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 18702.017 18.533 0.016
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 18573.401 241.826 0.394
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 18326.888 20.003 0.448
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 15341.909 1905.588 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 18774.922 16.344 0.003
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 18645.866 115.235 0.466
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 18636.261 19.139 0.005
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 18456.122 262.313 0.477
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 18212.572 20.525 0.409
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 15143.469 1921.091 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
