\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 18400.721 15.664 0
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 18021.532 126.632 0.118
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 17587.226 19.924 0.27
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 17007.255 359.268 0.369
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 17588.373 22.323 0.293
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 15678.987 1752.298 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 18100.939 16.208 0.009
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 17742.042 126.72 0.38
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 17359.431 19.856 0.594
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 16805.465 353.609 0.537
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 17364.337 22.211 0.571
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 15456.481 1754.16 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 18021.613 16.14 0.003
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 17638.702 126.168 0.287
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 17189.102 19.665 0.454
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 16597.108 360.771 0.426
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 17190.351 22.172 0.469
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 15249.007 1754.89 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 18386.306 15.801 0.003
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 17987.834 127.072 0.287
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 17571.935 19.396 0.713
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 16976.977 359.071 0.436
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 17572.905 21.705 0.693
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 15668.172 1751.381 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
