ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 10445.628 16.186 0
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 10346.152 107.358 0.519
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 10371.421 19.956 0.001
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 10223.082 244.865 0.465
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 10230.659 21.173 0.278
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 8474.564 1066.318 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 10451.143 16.201 0
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 10343.988 108.304 0.495
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 10406.611 18.945 0
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 10272.925 218.379 0.494
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 10223.865 19.895 0.178
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 8705.578 1011.477 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 10356.435 15.54 0.001
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 10271.549 103.656 0.486
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 10312.932 18.963 0.004
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 10194.622 218.324 0.462
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 10194.116 21.104 0.236
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 8588.993 1029.508 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 10399.357 15.968 0
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 10327.384 101.057 0.546
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 10359.565 18.795 0.001
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 10259.375 213.73 0.491
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 10184.292 20.1 0.187
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 8548.154 1028.741 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
