ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 16 5266.615 1874 0 0.591 0.614 0.135 14030.633 14072.316 14021.784 NA NA NA
msst_long_ml_r1 16 3.547 8 0.8955 1 1.003 0 14030.676 14115.687 14064.86 NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r1 20 3.819 4 0.4311 1 1 0 14038.947 14145.212 14081.677 NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r2 16 4152.983 1874 0 0.724 0.739 0.11 13984.938 14026.621 13976.089 NA NA NA
msst_long_ml_r2 16 1.276 8 0.9958 1 1.005 0 13984.892 14069.904 14019.076 NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 20 4152.22 1870 0 0.723 0.738 0.11 13992.175 14044.278 13981.113 NA NA NA
cuts_long_ml_r2 20 0.559 4 0.9675 1 1.005 0 13992.175 14098.439 14034.905 NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r3 16 5193.426 1874 0 0.625 0.646 0.133 13920.126 13961.809 13911.276 NA NA NA
msst_long_ml_r3 16 4.949 8 0.763 1 1.002 0 13920.176 14005.177 13954.35 NA NA NA
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
