\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 11232.892 16.048 0.001
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 11139.586 108.25 0.469
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 11200.174 18.904 0.001
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 11087.418 212.309 0.456
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 11041.411 20.661 0.576
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 9296.597 1031.913 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 11401.279 16.189 0
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 11319.085 103.68 0.349
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 11345.927 19.095 0.001
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 11228.995 229.381 0.3
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 11214.794 21.471 0.084
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 9516.303 1053.643 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 11433.654 16.299 0
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 11351.304 104.909 0.367
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 11369.058 18.983 0.001
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 11249.326 228.575 0.382
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 11233.334 20.83 0.301
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 9451.781 1058.716 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 11211.924 16.125 0.001
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 11118.031 108.151 0.51
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 11185.242 18.95 0.001
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 11075.481 209.35 0.511
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 11100.506 21.704 0.028
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 9398.648 1032.493 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
