ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 16583.182 15.458 0
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 16228.168 126.631 0.348
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 15864.861 19.335 0.965
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 15321.626 356.629 0.519
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 15871.408 21.94 0.96
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 14130.422 1448.58 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 16793.777 15.868 0
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 16445.899 126.218 0.405
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 16008.699 19.296 0.037
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 15455.147 358.746 0.525
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 16015.415 22.044 0.032
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 14182.307 1468.956 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 16869.951 15.617 0
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 16515.721 125.419 0.319
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 16065.218 19.503 0.892
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 15503.001 360.502 0.547
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 16069.939 21.892 0.898
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 14242.44 1467.361 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 16095.317 127.76 0.301
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 15227.81 354.768 0.45
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 14034.425 1446.022 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
