ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 9029.259 15.905 0.429
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 8884.988 112.654 0.51
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 9034.116 17.053 0.389
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 8891.377 152.091 0.509
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 9038.548 17.811 0.401
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 7749.058 921.814 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 8873.578 16.091 0.371
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 8747.362 112.434 0.456
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 8880.718 16.985 0.372
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 8754.253 141.379 0.426
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 8881.408 17.43 0.345
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 7580.735 923.245 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 8853.356 15.966 0.47
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 8697.135 115.517 0.372
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 8860.659 17.093 0.409
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 8704.489 146.48 0.376
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 8861.455 17.56 0.429
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 7523.514 917.705 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 9024.314 15.712 0.606
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 8897.064 112.53 0.494
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 9029.788 17.803 0.568
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 8899.507 155.793 0.461
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 9032.639 18.59 0.529
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 7738.36 938.261 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
