\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 15269.258 15.65 0.421
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 15017.269 131.02 0.518
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 15271.177 17.384 0.432
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 15014.661 170.255 0.531
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 15273.774 18.467 0.42
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 13692.502 1303.796 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 15266.034 15.643 0.98
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 14986.107 131.608 0.291
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 15265.774 17.611 0.983
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 14980.102 179.151 0.341
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 15270.407 19.086 0.979
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 13816.589 1271.463 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 15483.034 15.734 0.622
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 15227.651 130.379 0.458
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 15482.533 17.598 0.631
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 15223.273 173.431 0.445
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 15485.487 18.604 0.615
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 13865.094 1314.155 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 15434.718 15.767 0.421
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 15189.127 130.401 0.505
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 15442.523 16.724 0.394
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 15194.19 148.062 0.566
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 15446.84 17.604 0.375
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 13894.641 1281.001 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
