ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 16641.567 15.694 0.781
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 16555.03 116.975 0.428
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 16650.006 16.595 0.757
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 16560.198 130.344 0.454
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 16654.35 16.785 0.744
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 14078.709 1439.613 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 16593.934 15.543 0.976
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 16506.017 116.351 0.433
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 16601.566 17.341 0.972
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 16515.789 143.25 0.453
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 16604.942 17.978 0.971
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 14104.903 1443.105 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 16609.325 15.736 0.789
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 16537.307 113.358 0.505
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 16618.056 16.697 0.764
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 16544.065 126.389 0.534
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 16619.589 16.73 0.761
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 14030.62 1442.036 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 16592.518 15.767 0
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 16491.541 118.901 0.347
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 16600.417 16.921 0.001
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 16497.801 136.287 0.377
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 16601.238 17.002 0
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 14055.374 1439.79 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
