\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 9862.794 15.593 0.64
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 9725.351 114.648 0.526
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 9871.039 17.514 0.584
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 9734.003 147.665 0.514
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 9870.223 18.016 0.6
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 8461.795 949.007 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 9798.842 15.84 0.234
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 9628.012 117.802 0.527
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 9807.603 17.391 0.216
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 9638.544 145.623 0.531
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 9810.14 17.423 0.21
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 8418.967 938.904 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 9836.588 15.882 0.133
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 9708.595 112.681 0.406
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 9842.922 17.308 0.101
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 9715.02 149.365 0.404
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 9848.415 18.676 0.084
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 8449.03 951.869 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 9894.8 15.772 0.807
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 9756.316 115.101 0.422
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 9901.736 16.697 0.772
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 9765.817 144.611 0.353
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 9905.098 17.343 0.748
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 8470.276 951.317 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
