\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 98497.567 195.602 0.279
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 98472.211 151.199 0.351
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 83759.042 8387.631 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 98294.217 194.574 0.456
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 98276.182 159.506 0.517
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 83994.543 8353.316 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 98608.048 195.154 0.442
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 98586.476 149.439 0.499
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 84153.007 8359.321 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 98242.48 195.602 0.436
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 98213.487 155.928 0.506
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 83626.957 8381.97 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r5 16 NA NA NA NA NA NA NA NA NA NA NA NA
