\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 10876.924 15.649 0
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 10687.216 116.231 0.493
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 10475.528 19.496 0.296
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 10106.272 329.181 0.531
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 10478.257 22.137 0.29
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 8857.559 1112.31 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 10553.695 15.727 0.001
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 10404.215 112.708 0.491
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 10243.4 19.517 0.914
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 9940.219 316.16 0.494
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 10250.285 22.433 0.908
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 8733.081 1094.559 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 10791.652 15.98 0
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 10617.74 113.629 0.441
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 10475.086 19.982 0.121
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 10145.774 321.662 0.534
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 10480.091 21.918 0.109
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 8851.572 1106.697 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 10420.335 16.067 0.001
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 10290.401 112.879 0.542
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 10147.689 19.626 0.688
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 9876.055 307.889 0.514
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 10150.794 21.889 0.656
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 8607.575 1092.472 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
