\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 21268.424 15.998 0
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 20931.204 127.703 0.25
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 20281.837 19.405 0.471
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 19743.858 361.043 0.459
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 20287.275 21.677 0.466
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 17419.534 1990.993 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 21304.948 16.031 0
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 20979.569 126.245 0.27
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 20495.393 19.724 0.242
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 19998.706 355.242 0.331
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 20499.357 21.897 0.248
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 17554.924 2002.702 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 21362.234 15.641 0
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 21044.301 128.235 0.295
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 20488.607 19.914 0.537
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 19985.878 359.938 0.501
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 20492.837 21.364 0.525
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 17516.029 2009.988 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 21064.997 16.036 0
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 20720.448 128.208 0.153
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 20179.159 19.936 0.537
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 19655.694 357.564 0.416
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 20181.306 22.103 0.533
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 17187.343 2005.926 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
