\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 21905.189 16.28 0
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 21429.093 131.786 0.129
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 21035.872 19.668 0.979
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 20412.975 362.492 0.224
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 21038.23 21.717 0.977
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 18855.328 1844.737 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 22185.488 16.191 0
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 21713.86 130.806 0.161
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 20980.949 19.578 0.841
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 20333.356 370.6 0.58
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 20984.812 21.93 0.837
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 18750.436 1862.261 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 22450.618 15.943 0
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 21961.907 132.478 0.145
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 21250.741 19.712 0.742
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 20573.748 370.963 0.404
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 21254.312 21.677 0.732
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 18963.497 1870.059 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 21994.858 16.212 0
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 21546.013 130.997 0.243
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 20945.192 19.838 0.3
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 20325.911 366.679 0.495
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 20949.812 22.035 0.297
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 18691.434 1872.751 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
