ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 30602.791 142.844 0.003
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 29444.076 353.475 0.028
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 25175.202 2770.323 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 30796.42 139.051 0.052
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 29721.8 353.708 0.046
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 25360.867 2771.084 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 30773.62 145.007 0.035
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 29915.992 338.715 0.117
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 25703.981 2760.129 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 30850.468 140.951 0.028
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 29865.702 347.468 0.036
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 25465.04 2789.308 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r5 16 NA NA NA NA NA NA NA NA NA NA NA NA
