\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 16 1711.477 844 0 0.694 0.717 0.101 9952.293 9993.976 9943.444 NA NA NA
msst_long_ml_r1 16 256.412 8 0 0.867 0.8 0.176 9951.745 10030.269 9979.452 NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 20 1458.193 840 0 0.782 0.798 0.086 9707.009 9759.113 9695.948 NA NA NA
cuts_long_ml_r1 20 3.676 4 0.4516 1 1.001 0 9707.009 9805.164 9741.643 NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r1 23 1454.164 837 0 0.782 0.797 0.086 9708.981 9768.9 9696.26 NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r2 16 249.699 8 0 0.854 0.781 0.174 9837.169 9915.677 9864.86 NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 20 1687.115 840 0 0.689 0.711 0.1 9598.118 9650.222 9587.057 NA NA NA
cuts_long_ml_r2 20 2.649 4 0.6181 1 1.002 0 9598.118 9696.254 9632.732 NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r2 23 1685.887 837 0 0.688 0.71 0.101 9602.89 9662.809 9590.169 NA NA NA
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r3 16 1873.95 844 0 0.657 0.683 0.11 9910.461 9952.144 9901.612 NA NA NA
msst_long_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 20 1615.71 840 0 0.741 0.76 0.096 9660.221 9712.324 9649.159 NA NA NA
cuts_long_ml_r3 20 9.206 4 0.0561 0.997 0.992 0.036 9660.221 9758.356 9694.835 NA NA NA
cuts_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r3 23 1609.826 837 0 0.742 0.76 0.096 9660.337 9720.256 9647.616 NA NA NA
tso_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r4 16 2444.72 844 0 0.553 0.587 0.138 9827.997 9869.68 9819.148 NA NA NA
msst_long_ml_r4 16 300.575 8 0 0.847 0.77 0.191 9827.427 9905.951 9855.134 NA NA NA
msst_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r4 20 2148.26 840 0 0.635 0.661 0.125 9539.537 9591.641 9528.476 NA NA NA
cuts_long_ml_r4 20 4.685 4 0.3211 1 0.999 0.013 9539.537 9637.693 9574.171 NA NA NA
cuts_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r4 23 2146.626 837 0 0.634 0.659 0.125 9543.904 9603.823 9531.183 NA NA NA
tso_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r5 16 1912.323 844 0 0.649 0.676 0.113 9778.972 9820.655 9770.123 NA NA NA
msst_long_ml_r5 16 275.914 8 0 0.86 0.79 0.183 9778.579 9857.071 9806.254 NA NA NA
msst_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r5 20 1641.458 840 0 0.737 0.756 0.098 9516.107 9568.211 9505.046 NA NA NA
cuts_long_ml_r5 20 5.442 4 0.2449 0.999 0.998 0.019 9516.107 9614.222 9550.701 NA NA NA
cuts_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
