\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 19465.943 16.082 0.906
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 19287.907 130.517 0.563
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 19472.191 17.318 0.888
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 19288.411 151.584 0.477
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 19474.614 17.792 0.89
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 16712.393 1829.773 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 19722.163 15.732 0.45
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 19540.77 128.58 0.491
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 19730.155 16.819 0.438
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 19550.92 146.715 0.507
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 19733.811 17.733 0.449
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 17178.535 1802.243 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 19734.045 15.885 0.629
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 19552.338 130.558 0.521
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 19740.331 17.317 0.58
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 19556.011 155.464 0.494
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 19745.155 18.232 0.584
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 17094.253 1827.903 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 19593.143 16 0.251
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 19393.197 131.355 0.489
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 19600.302 17.091 0.274
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 19404.394 150.452 0.485
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 19603.775 18.107 0.255
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 16928.199 1814.417 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
