\# Parameters Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 16 3030.943 1874 0 0.811 0.822 0.079 16584.024 16625.707 16575.175 NA NA NA
msst_long_ml_r1 16 725.632 8 0 0.609 0.413 0.245 16581.279 16666.291 16615.463 NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 20 2304.081 1870 0 0.929 0.933 0.048 15865.162 15917.265 15854.1 NA NA NA
cuts_long_ml_r1 20 1.515 4 0.8241 1 1.004 0 15865.162 15971.426 15907.892 NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r1 23 2303.788 1867 0 0.929 0.932 0.048 15870.869 15930.787 15858.148 NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r2 16 3397.283 1874 0 0.759 0.772 0.09 16793.82 16835.502 16784.97 NA NA NA
msst_long_ml_r2 16 791.999 8 0 0.588 0.382 0.256 16791.101 16876.112 16825.285 NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 20 2604.531 1870 0 0.884 0.89 0.063 16009.068 16061.172 15998.007 NA NA NA
cuts_long_ml_r2 20 1.967 4 0.7419 1 1.003 0 16009.068 16115.333 16051.798 NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r2 23 2604.103 1867 0 0.883 0.889 0.063 16014.64 16074.559 16001.919 NA NA NA
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r3 16 3162.17 1874 0 0.793 0.804 0.083 16870.509 16912.192 16861.66 NA NA NA
msst_long_ml_r3 16 812.445 8 0 0.581 0.372 0.259 16867.707 16952.718 16901.891 NA NA NA
msst_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 20 2348.854 1870 0 0.923 0.927 0.051 16065.194 16117.297 16054.132 NA NA NA
cuts_long_ml_r3 20 1.932 4 0.7482 1 1.003 0 16065.194 16171.458 16107.924 NA NA NA
cuts_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r3 23 2347.146 1867 0 0.923 0.927 0.051 16069.485 16129.404 16056.764 NA NA NA
tso_wide_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r4 16 700.716 8 0 0.627 0.441 0.24 16447.464 16532.475 16481.648 NA NA NA
msst_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r4 20 5.229 4 0.2645 0.999 0.998 0.014 15759.977 15866.241 15802.707 NA NA NA
cuts_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r5 16 2972.31 1874 0 0.825 0.835 0.077 16682.355 16724.038 16673.506 NA NA NA
msst_long_ml_r5 16 650.946 8 0 0.633 0.45 0.231 16679.859 16764.871 16714.043 NA NA NA
msst_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r5 20 2319.631 1870 0 0.928 0.932 0.049 16037.676 16089.779 16026.614 NA NA NA
cuts_long_ml_r5 20 0.763 4 0.9433 1 1.006 0 16037.676 16143.94 16080.406 NA NA NA
cuts_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r5 23 2318.289 1867 0 0.928 0.932 0.049 16042.333 16102.252 16029.612 NA NA NA
tso_wide_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r6 16 2987.436 1874 0 0.831 0.841 0.077 16473.52 16515.203 16464.671 NA NA NA
msst_long_ml_r6 16 555.212 8 0 0.715 0.572 0.214 16471.075 16556.086 16505.259 NA NA NA
msst_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r6 20 2431.231 1870 0 0.915 0.919 0.055 15925.316 15977.419 15914.254 NA NA NA
cuts_long_ml_r6 20 1.453 4 0.835 1 1.004 0 15925.316 16031.58 15968.046 NA NA NA
cuts_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_ml_r6 23 2427.675 1867 0 0.915 0.919 0.055 15927.76 15987.679 15915.039 NA NA NA
tso_wide_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r6 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_ml_r7 16 3354.13 1874 0 0.783 0.795 0.089 16964.015 17005.697 16955.165 NA NA NA
msst_long_ml_r7 16 817.353 8 0 0.57 0.355 0.26 16961.232 17046.243 16995.416 NA NA NA
