ParametersN Chitest df Chipval CFI TLI RMSEA AIC BIC aBIC DIC pD ppp
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 16 NA NA NA NA NA NA NA NA NA 16938.325 15.623 0
msst_long_bayes_r1 16 NA NA NA NA NA NA NA NA NA 16618.575 126.596 0
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r1 20 NA NA NA NA NA NA NA NA NA 16056.085 18.414 0
cuts_long_bayes_r1 20 NA NA NA NA NA NA NA NA NA 15504.415 354.216 0.001
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 23 NA NA NA NA NA NA NA NA NA 15796.422 21.831 0.291
tso_long_bayes_r1 23 NA NA NA NA NA NA NA NA NA 14025.141 1385.099 NA
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 16 NA NA NA NA NA NA NA NA NA 17304.04 15.356 0
msst_long_bayes_r2 16 NA NA NA NA NA NA NA NA NA 16936.737 126.186 0.009
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r2 20 NA NA NA NA NA NA NA NA NA 16038.423 18.677 0.401
cuts_long_bayes_r2 20 NA NA NA NA NA NA NA NA NA 15398.881 366.641 0.037
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 23 NA NA NA NA NA NA NA NA NA 15829.342 22.001 0.991
tso_long_bayes_r2 23 NA NA NA NA NA NA NA NA NA 13928.91 1425.183 NA
msst_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 16 NA NA NA NA NA NA NA NA NA 17037.269 15.8 0
msst_long_bayes_r3 16 NA NA NA NA NA NA NA NA NA 16670.451 127.162 0.009
cuts_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r3 20 NA NA NA NA NA NA NA NA NA 15949.326 18.6 0.096
cuts_long_bayes_r3 20 NA NA NA NA NA NA NA NA NA 15338.161 363.027 0.124
tso_wide_ml_r3 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r3 23 NA NA NA NA NA NA NA NA NA 15741.746 21.785 0.874
tso_long_bayes_r3 23 NA NA NA NA NA NA NA NA NA 13714.794 1456.838 NA
msst_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 16 NA NA NA NA NA NA NA NA NA 17109.881 15.7 0
msst_long_bayes_r4 16 NA NA NA NA NA NA NA NA NA 16743.108 126.873 0.004
cuts_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_wide_bayes_r4 20 NA NA NA NA NA NA NA NA NA 15940.807 18.688 0.008
cuts_long_bayes_r4 20 NA NA NA NA NA NA NA NA NA 15335.176 358.523 0.045
tso_wide_ml_r4 NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r4 23 NA NA NA NA NA NA NA NA NA 15718.286 21.679 0.667
tso_long_bayes_r4 23 NA NA NA NA NA NA NA NA NA 13880.883 1391.257 NA
msst_wide_ml_r5 NA NA NA NA NA NA NA NA NA NA NA NA NA
