w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 0 0.012 0.03 0.022 0.128 0.054 0.024 0.085 0.05 NA 0 0.034 0.033 0.03 0 0.079 0.079 0.07 0.224 0.124 NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 0 0.012 0.03 0.022 0.128 0.054 0.024 0.085 0.05 NA 0 0.034 0.033 0.03 0 0.079 0.079 0.07 0.224 0.124 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 0 0.012 0.029 0.022 0.129 0.055 0.024 0.085 0.049 NA 0 0.034 0.033 0.03 0 0.079 0.079 0.07 0.244 0.127 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 0 0.012 0.03 0.022 0.125 0.054 0.024 0.085 0.049 NA 0 0.033 0.033 0.031 0 0.075 0.077 0.073 0.247 0.129 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 0 0.013 0.027 0.019 0.091 0.042 0.017 0.068 0.033 NA 0 0.057 0.063 0.065 0.151 0.116 0.174 0.146 0.326 NA 0.062 0.07 0.079 0.089 NA NA NA NA NA NA
cuts_long_ml_r1 0 0.013 0.027 0.019 0.091 0.042 0.017 0.068 0.033 NA 0 0.057 0.063 0.065 0.151 0.116 0.174 0.146 0.326 NA 0.062 0.07 0.079 0.089 NA NA NA NA NA NA
cuts_wide_bayes_r1 0 0.013 0.028 0.018 0.091 0.042 0.017 0.067 0.033 NA 0 0.058 0.067 0.069 0.151 0.118 0.174 0.148 0.352 NA 0.069 0.078 0.088 0.098 NA NA NA NA NA NA
cuts_long_bayes_r1 0 0.013 0.028 0.018 0.091 0.042 0.017 0.068 0.033 NA 0 0.059 0.067 0.069 0.157 0.121 0.18 0.151 0.355 NA 0.069 0.077 0.086 0.099 NA NA NA NA NA NA
tso_wide_ml_r1 0 0.012 0.027 0.018 0.076 0.04 0.017 0.065 0.032 0.021 NA NA NA NA 0.15 0.116 0.173 0.145 NA NA 0.319 0.19 0.425 0.299 0.22 0.349 0.255 0.282 0.205 0.326
tso_wide_bayes_r1 0 0.012 0.027 0.018 0.076 0.041 0.017 0.065 0.032 0.021 NA NA NA NA 0.155 0.12 0.178 0.153 NA NA 0.386 0.225 0.508 0.357 0.263 0.419 0.304 0.338 0.244 0.388
tso_long_bayes_r1 0 0.012 0.027 0.018 0.077 0.04 0.017 0.065 0.032 0.021 NA NA NA NA 0.172 0.127 0.195 0.166 NA NA 0.391 0.232 0.52 0.364 0.269 0.427 0.311 0.344 0.25 0.398
msst_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r2 0 0.012 0.031 0.02 0.114 0.052 0.02 0.087 0.043 NA 0 0.019 0.026 0.023 0 0.045 0.063 0.054 0.315 0.149 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 0 0.012 0.031 0.02 0.115 0.052 0.02 0.087 0.042 NA 0 0.019 0.026 0.023 0 0.045 0.064 0.054 0.339 0.15 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 0 0.013 0.031 0.02 0.113 0.051 0.02 0.086 0.042 NA 0 0.019 0.026 0.023 0 0.046 0.063 0.055 0.348 0.151 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r2 0 0.012 0.026 0.017 0.099 0.042 0.017 0.068 0.032 NA 0 0.038 0.051 0.052 0.159 0.115 0.165 0.141 0.36 NA 0.049 0.034 0.066 0.071 NA NA NA NA NA NA
cuts_wide_bayes_r2 0 0.012 0.026 0.017 0.098 0.042 0.017 0.068 0.031 NA 0 0.04 0.054 0.055 0.157 0.114 0.163 0.141 0.39 NA 0.055 0.038 0.073 0.078 NA NA NA NA NA NA
cuts_long_bayes_r2 0 0.012 0.026 0.017 0.098 0.042 0.017 0.068 0.032 NA 0 0.039 0.054 0.054 0.161 0.117 0.167 0.145 0.383 NA 0.054 0.039 0.074 0.079 NA NA NA NA NA NA
tso_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r2 0 0.012 0.025 0.017 0.082 0.041 0.017 0.065 0.031 0.02 NA NA NA NA 0.168 0.122 0.173 0.149 NA NA 0.431 0.226 0.462 0.34 0.295 0.423 0.301 0.354 0.254 0.362
tso_long_bayes_r2 0 0.012 0.025 0.017 0.082 0.04 0.017 0.066 0.031 0.02 NA NA NA NA 0.127 0.099 0.131 0.12 NA NA 0.424 0.223 0.457 0.332 0.291 0.418 0.298 0.347 0.249 0.355
msst_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r3 0 0.013 0.032 0.022 0.113 0.053 0.019 0.087 0.046 NA 0 0.022 0.029 0.023 0 0.051 0.066 0.052 0.308 0.147 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 0 0.013 0.032 0.022 0.114 0.053 0.019 0.088 0.047 NA 0 0.022 0.029 0.023 0 0.051 0.065 0.052 0.331 0.151 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 0 0.013 0.032 0.022 0.112 0.053 0.019 0.088 0.046 NA 0 0.022 0.029 0.024 0 0.052 0.068 0.054 0.337 0.151 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r3 0 0.012 0.027 0.017 0.098 0.043 0.017 0.071 0.03 NA 0 0.047 0.067 0.064 0.162 0.138 0.171 0.13 0.376 NA 0.07 0.058 0.119 0.111 NA NA NA NA NA NA
cuts_wide_bayes_r3 0 0.012 0.027 0.017 0.098 0.044 0.017 0.072 0.031 NA 0 0.051 0.073 0.069 0.166 0.14 0.174 0.133 0.408 NA 0.086 0.071 0.138 0.124 NA NA NA NA NA NA
cuts_long_bayes_r3 0 0.012 0.028 0.017 0.098 0.044 0.017 0.07 0.03 NA 0 0.051 0.072 0.069 0.167 0.142 0.175 0.134 0.408 NA 0.088 0.074 0.139 0.124 NA NA NA NA NA NA
tso_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r3 0 0.012 0.027 0.017 0.081 0.042 0.016 0.069 0.03 0.02 NA NA NA NA 0.169 0.142 0.177 0.135 NA NA 0.454 0.324 0.51 0.299 0.364 0.446 0.362 0.317 0.269 0.363
tso_long_bayes_r3 0 0.012 0.027 0.017 0.08 0.042 0.017 0.069 0.03 0.02 NA NA NA NA 0.119 0.112 0.125 0.118 NA NA 0.446 0.318 0.498 0.292 0.358 0.433 0.352 0.306 0.261 0.353
msst_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r4 0 0.013 0.035 0.02 0.119 0.057 0.018 0.106 0.04 NA 0 0.024 0.034 0.025 0 0.064 0.088 0.065 0.273 0.139 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 0 0.013 0.035 0.02 0.119 0.057 0.018 0.107 0.041 NA 0 0.025 0.034 0.025 0 0.065 0.088 0.066 0.296 0.144 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 0 0.013 0.035 0.02 0.117 0.057 0.018 0.105 0.039 NA 0 0.024 0.033 0.025 0 0.062 0.088 0.064 0.299 0.141 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r4 0 0.012 0.027 0.018 0.098 0.044 0.016 0.069 0.031 NA 0 0.051 0.092 0.057 0.154 0.131 0.194 0.136 0.334 NA 0.071 0.033 0.162 0.048 NA NA NA NA NA NA
cuts_wide_bayes_r4 0 0.012 0.027 0.018 0.099 0.044 0.016 0.07 0.031 NA 0 0.053 0.096 0.059 0.156 0.134 0.196 0.138 0.366 NA 0.077 0.035 0.179 0.053 NA NA NA NA NA NA
cuts_long_bayes_r4 0 0.012 0.027 0.018 0.098 0.044 0.017 0.069 0.032 NA 0 0.053 0.097 0.06 0.16 0.137 0.202 0.141 0.364 NA 0.076 0.035 0.181 0.054 NA NA NA NA NA NA
tso_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r4 0 0.012 0.026 0.017 0.079 0.042 0.016 0.066 0.03 0.02 NA NA NA NA 0.164 0.141 0.209 0.144 NA NA 0.398 0.289 0.646 0.312 0.32 0.462 0.394 0.324 0.286 0.395
tso_long_bayes_r4 0 0.012 0.026 0.017 0.08 0.042 0.016 0.066 0.03 0.02 NA NA NA NA 0.137 0.121 0.168 0.131 NA NA 0.402 0.294 0.648 0.312 0.325 0.468 0.4 0.326 0.289 0.398
msst_wide_ml_r5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r5 0 0.014 0.038 0.025 0.133 0.07 0.021 0.09 0.045 NA 0 0.049 0.048 0.034 0 0.107 0.106 0.074 0.185 0.112 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r5 0 0.014 0.038 0.025 0.135 0.071 0.021 0.091 0.045 NA 0 0.05 0.048 0.034 0 0.109 0.105 0.075 0.201 0.114 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r5 0 0.015 0.039 0.026 0.134 0.07 0.021 0.089 0.044 NA 0 0.051 0.049 0.034 0 0.112 0.109 0.074 0.212 0.116 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_wide_bayes_r5 0 0.013 0.029 0.019 0.091 0.043 0.017 0.07 0.032 NA 0 0.11 0.154 0.112 0.17 0.132 0.187 0.136 0.365 NA 0.181 0.094 0.055 0.054 NA NA NA NA NA NA
cuts_long_bayes_r5 0 0.013 0.029 0.019 0.09 0.043 0.017 0.07 0.031 NA 0 0.114 0.158 0.115 0.166 0.131 0.189 0.138 0.359 NA 0.185 0.094 0.057 0.054 NA NA NA NA NA NA
tso_wide_ml_r5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r5 0 0.013 0.029 0.018 0.077 0.042 0.016 0.068 0.03 0.021 NA NA NA NA 0.169 0.133 0.187 0.136 NA NA 0.446 0.271 0.567 0.301 0.299 0.441 0.352 0.316 0.241 0.394
tso_long_bayes_r5 0 0.013 0.029 0.018 0.077 0.041 0.016 0.068 0.03 0.02 NA NA NA NA 0.161 0.121 0.166 0.125 NA NA 0.444 0.269 0.556 0.295 0.296 0.435 0.35 0.311 0.24 0.385
msst_wide_ml_r6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r6 0 0.013 0.032 0.022 0.112 0.053 0.019 0.083 0.042 NA 0 0.024 0.031 0.025 0 0.057 0.072 0.059 0.27 0.138 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r6 0 0.013 0.032 0.022 0.112 0.053 0.02 0.083 0.043 NA 0 0.024 0.031 0.026 0 0.057 0.073 0.06 0.296 0.14 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r6 0 0.013 0.032 0.022 0.112 0.053 0.02 0.082 0.042 NA 0 0.025 0.03 0.026 0 0.058 0.072 0.058 0.294 0.14 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r6 0 0.012 0.026 0.017 0.1 0.043 0.017 0.067 0.032 NA 0 0.059 0.09 0.075 0.153 0.126 0.176 0.135 0.338 NA 0.11 0.086 0.124 0.081 NA NA NA NA NA NA
cuts_wide_bayes_r6 0 0.012 0.026 0.017 0.101 0.044 0.017 0.067 0.032 NA 0 0.063 0.094 0.076 0.163 0.135 0.19 0.144 0.364 NA 0.107 0.084 0.125 0.086 NA NA NA NA NA NA
cuts_long_bayes_r6 0 0.012 0.026 0.017 0.099 0.044 0.017 0.067 0.032 NA 0 0.061 0.091 0.075 0.156 0.128 0.181 0.139 0.363 NA 0.108 0.085 0.128 0.088 NA NA NA NA NA NA
tso_wide_ml_r6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r6 0 0.012 0.025 0.017 0.083 0.041 0.017 0.064 0.031 0.02 NA NA NA NA 0.152 0.126 0.176 0.137 NA NA 0.383 0.266 0.513 0.307 0.302 0.41 0.332 0.303 0.258 0.378
tso_long_bayes_r6 0 0.012 0.025 0.017 0.082 0.041 0.017 0.064 0.031 0.02 NA NA NA NA 0.134 0.11 0.146 0.117 NA NA 0.391 0.267 0.523 0.311 0.307 0.419 0.338 0.31 0.262 0.384
