w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 0 0.009 0.021 0.016 0.095 0.045 0.014 0.061 0.037 NA 0 0.042 0.045 0.032 0 0.092 0.099 0.07 0.123 0.092 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 0 0.009 0.021 0.016 0.093 0.044 0.014 0.061 0.036 NA 0 0.041 0.044 0.032 0 0.091 0.098 0.073 0.143 0.098 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 0 0.008 0.018 0.012 0.068 0.03 0.012 0.048 0.022 NA 0 0.091 0.119 0.108 0.132 0.119 0.159 0.13 0.237 NA 0.094 0.045 0.073 0.113 NA NA NA NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 0 0.009 0.018 0.012 0.068 0.03 0.012 0.048 0.022 NA 0 0.103 0.135 0.116 0.134 0.121 0.163 0.133 0.257 NA 0.105 0.051 0.085 0.127 NA NA NA NA NA NA
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 0 0.008 0.018 0.012 0.057 0.029 0.012 0.046 0.021 0.014 NA NA NA NA 0.122 0.111 0.151 0.121 NA NA 0.296 0.239 0.425 0.288 0.234 0.317 0.3 0.253 0.225 0.303
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 0 0.007 0.017 0.011 0.103 0.038 0.015 0.059 0.029 NA 0 0.043 0.032 0.025 0 0.079 0.061 0.049 0.135 0.096 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 0 0.007 0.017 0.011 0.101 0.038 0.015 0.058 0.028 NA 0 0.042 0.033 0.026 0 0.079 0.063 0.05 0.163 0.102 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r2 0 0.008 0.018 0.012 0.071 0.03 0.012 0.049 0.022 NA 0 0.062 0.058 0.05 0.146 0.122 0.158 0.132 0.303 NA 0.051 0.084 0.07 0.053 NA NA NA NA NA NA
cuts_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r2 0 0.008 0.018 0.012 0.071 0.03 0.012 0.049 0.022 NA 0 0.065 0.062 0.053 0.148 0.124 0.161 0.134 0.331 NA 0.058 0.093 0.079 0.059 NA NA NA NA NA NA
tso_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
