w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r1 0 0.006 0.016 0.01 0.079 0.035 0.01 0.05 0.022 NA 0 0.08 0.047 0.046 0 0.152 0.09 0.087 0.059 0.063 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 0 0.006 0.016 0.01 0.078 0.033 0.01 0.049 0.021 NA 0 0.066 0.043 0.041 0 0.125 0.082 0.078 0.078 0.072 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_ml_r1 0 0.006 0.013 0.009 0.053 0.021 0.009 0.034 0.016 NA 0 0.101 0.115 0.101 0.131 0.116 0.135 0.123 0.234 NA 0.101 0.083 0.112 0.069 NA NA NA NA NA NA
cuts_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
cuts_long_bayes_r1 0 0.006 0.013 0.009 0.053 0.022 0.009 0.034 0.016 NA 0 0.11 0.125 0.114 0.133 0.119 0.138 0.126 0.257 NA 0.114 0.093 0.125 0.079 NA NA NA NA NA NA
tso_wide_ml_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_wide_bayes_r1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
tso_long_bayes_r1 0 0.006 0.013 0.009 0.043 0.021 0.009 0.033 0.015 0.011 NA NA NA NA 0.128 0.106 0.124 0.114 NA NA 0.293 0.226 0.311 0.255 0.213 0.253 0.227 0.242 0.211 0.247
msst_wide_ml_r2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
msst_long_ml_r2 0 0.005 0.013 0.008 0.087 0.03 0.01 0.044 0.021 NA 0 0.031 0.032 0.019 0 0.063 0.064 0.04 0.137 0.097 NA NA NA NA NA NA NA NA NA NA
