1	1	3	3	6	4	10	3	4	5	1	2	2	1	4	4	4	3	5	5	5	7	.	4	3	3	4	2	4	4	6	1	3	0	3	1	2	2	.	4	4	4	4	2	3	8	.	1	1	.	3	2	0	2	0	2	2	4	5	4	3	.	2	3	1	4	4	3	.	8	.	4	4	2	3	4	.	2	1	4	3	.	2	.	2	1	3	3	3	3	1
2	3	2	4	4	3	8	3	2	4	.	3	2	0	1	.	-1	1	-2	2	3	0	1	.	2	0	2	0	.	3	2	3	3	3	0	1	.	0	2	0	0	.	1	2	2	1	0	1	2	1	1	0	0	1	-1	1	0	1	1	3	2	0	2	3	0	1	1	1	2	3	.	3	3	1	1	.	-1	1	1	4	2	.	1	1	3	1	2	1	1	3	3
3	1	0	0	-3	0	.	0	1	0	-1	0	-3	0	0	0	-1	0	-1	0	1	0	.	0	1	.	1	3	1	1	2	1	1	4	0	1	1	0	1	0	1	1	3	2	2	3	0	2	4	0	1	1	0	1	0	1	0	0	-2	0	-1	.	0	0	0	.	1	2	1	3	-2	0	1	-1	0	0	.	1	0	0	1	3	-2	1	.	-1	0	-2	0	0	-3
4	1	1	.	4	3	1	1	3	2	.	1	0	1	2	.	3	2	2	3	3	2	5	.	5	5	.	3	.	1	1	1	1	-2	2	1	-2	0	2	.	4	2	3	0	3	0	3	4	4	3	.	4	2	1	3	0	2	1	0	1	0	2	1	2	0	0	0	4	2	1	4	3	3	4	5	5	2	1	3	5	3	4	3	2	4	3	3	.	.	3	.
5	0	2	2	2	0	0	.	3	5	3	1	3	1	1	0	1	3	3	4	4	6	0	2	2	3	2	5	3	4	5	3	3	4	1	1	0	1	2	1	0	2	2	6	4	7	5	3	6	4	3	4	0	0	-2	2	2	3	0	.	0	4	3	5	2	2	7	4	4	7	4	3	5	6	3	4	2	5	5	1	2	0	5	3	5	3	3	4	.	1	-1
6	-1	0	-1	-1	0	-2	1	1	-2	0	0	0	.	0	-2	.	0	-5	-4	.	-7	-2	0	-3	-2	-1	-6	-2	0	-3	.	0	-3	0	0	.	1	0	.	1	1	2	0	0	-1	0	.	-1	-2	0	-6	0	2	0	0	0	2	2	0	0	0	0	-1	2	.	2	0	0	0	.	2	1	5	.	2	3	1	2	.	1	2	4	3	4	0	0	-1	1	0	0
7	.	3	5	0	1	2	2	3	5	.	1	.	1	1	1	0	1	2	.	3	5	.	2	2	0	1	3	0	1	3	0	2	5	2	2	3	1	3	5	3	2	3	0	2	1	0	1	3	1	1	4	1	2	6	1	1	0	0	1	-1	0	1	2	-1	0	0	-3	0	0	.	0	-1	-1	.	.	2	1	3	1	2	5	2	3	4	2	.	3	4	.	4
8	3	4	5	4	5	3	4	5	5	3	5	6	4	4	3	4	.	5	4	5	3	0	2	0	.	2	3	0	1	0	1	4	5	1	3	.	2	2	4	7	5	8	4	4	6	2	4	4	4	5	.	8	6	9	4	4	6	3	4	5	4	5	.	5	6	5	6	5	8	5	5	6	2	.	2	6	4	4	5	4	7	3	4	6	4	3	2	4	5	6
9	5	3	.	6	4	6	3	3	5	5	4	5	0	.	2	0	1	0	1	3	3	4	2	.	2	2	2	2	4	2	.	3	5	2	3	3	0	3	0	1	3	3	.	3	2	3	4	4	1	2	1	1	.	3	.	4	5	1	.	0	0	2	2	0	2	2	2	1	2	0	1	3	0	1	0	-1	.	0	3	2	4	.	4	4	0	1	4	4	4	5
10	0	2	3	3	2	3	1	1	1	3	4	4	5	.	9	6	4	5	5	.	6	2	4	3	2	2	3	1	1	.	.	.	2	4	3	6	3	1	4	0	2	2	4	4	7	4	3	6	3	4	.	4	3	5	4	3	3	3	2	6	2	2	1	2	3	3	0	3	1	3	2	3	4	2	3	1	4	3	.	1	3	4	2	4	3	3	4	5	4	6
11	2	2	1	0	1	1	0	.	0	2	.	2	2	0	3	3	2	0	0	2	2	0	1	1	.	.	.	0	0	.	0	0	3	2	2	1	2	0	3	-2	0	0	.	1	0	1	2	4	3	.	4	7	5	.	4	4	10	0	1	2	2	2	3	0	.	2	1	1	2	2	1	5	4	2	.	.	2	2	0	1	1	1	1	.	0	0	.	1	1	3
12	0	1	0	3	1	2	-1	1	2	1	1	5	2	2	4	1	2	3	3	2	4	2	1	4	1	2	.	0	2	1	3	1	3	2	2	3	1	3	4	0	0	.	1	1	2	-1	1	0	3	2	4	7	5	8	4	1	3	3	3	5	1	1	3	0	1	3	2	3	.	0	1	2	1	1	3	2	2	5	3	3	3	0	1	0	0	2	3	.	1	5
13	0	1	0	0	3	3	1	2	3	0	1	0	-1	2	0	2	3	4	.	2	4	3	3	5	.	2	2	2	2	3	.	4	7	2	3	4	2	2	4	2	2	2	1	1	1	0	.	2	0	2	0	0	0	-1	1	3	3	.	4	9	4	2	7	1	3	3	0	2	0	.	1	2	2	2	6	0	.	1	1	1	2	0	3	3	1	.	.	1	2	4
14	4	3	10	3	4	4	3	.	7	.	3	4	2	3	6	1	.	5	2	2	4	.	2	3	3	3	.	2	2	3	1	2	5	3	3	.	.	1	.	0	1	3	0	0	.	0	0	-3	0	2	2	0	.	3	3	.	2	0	1	1	0	2	4	0	1	1	0	0	.	0	1	2	2	2	2	2	4	5	4	2	5	4	3	6	2	2	7	1	2	.
15	1	2	4	0	2	1	7	3	6	.	3	5	3	3	.	2	2	4	-1	1	0	0	.	0	0	1	3	3	2	4	0	.	0	3	2	4	3	2	5	1	4	3	1	3	4	1	3	7	3	3	2	2	3	3	2	3	6	3	4	4	0	2	4	1	3	2	1	3	4	2	2	4	0	2	1	0	3	3	1	2	6	1	3	4	3	2	1	.	.	1
16	0	0	0	1	1	2	.	1	3	2	2	4	1	1	1	-2	-1	-1	0	1	0	0	0	0	-1	0	.	-4	-2	-5	-2	0	-2	0	0	0	2	0	3	.	0	.	4	1	.	.	2	4	1	0	3	0	1	2	0	0	0	1	0	.	-2	0	-3	0	0	-2	1	0	2	.	1	1	0	0	.	0	0	.	-1	0	0	.	0	2	-4	0	0	-3	0	-2
17	3	1	4	1	3	.	.	3	1	0	0	2	0	0	2	1	0	4	3	2	1	0	2	1	2	1	5	1	2	3	1	2	2	3	.	3	4	2	5	3	2	3	2	0	-3	1	1	2	0	0	-1	1	1	1	0	0	-1	2	0	0	1	0	3	0	0	-1	0	1	2	0	0	2	2	2	3	3	2	4	0	2	3	1	.	1	4	.	2	1	3	2
18	4	4	6	2	4	3	2	2	3	2	2	2	0	3	1	.	4	5	5	5	9	5	6	6	6	6	7	4	5	4	3	5	4	2	4	.	3	5	.	6	4	8	6	5	8	3	.	.	2	4	0	0	2	3	.	3	4	.	4	4	6	4	7	3	2	4	6	.	.	2	3	1	4	5	6	4	4	4	6	5	9	7	5	7	.	5	6	4	5	8
19	2	2	1	1	1	0	1	1	1	3	2	5	4	4	3	2	3	2	1	2	4	0	1	2	-1	2	0	-1	1	-3	1	1	3	1	2	1	.	2	0	0	0	0	1	2	1	1	1	3	2	3	0	2	2	2	1	2	0	4	2	3	0	1	-1	0	0	-1	0	2	0	1	1	3	4	3	5	2	3	.	2	3	2	2	2	1	2	1	0	2	3	2
20	5	3	3	2	3	0	2	2	3	4	4	2	4	3	4	3	3	3	4	3	3	4	3	1	3	4	2	5	4	5	5	3	.	6	3	5	.	4	5	2	2	1	5	4	3	6	5	.	4	3	3	7	4	7	7	4	5	1	2	0	3	5	6	1	3	0	5	3	4	.	4	3	3	4	3	5	3	7	2	3	2	.	2	1	3	3	1	3	2	.
21	.	3	3	2	3	3	3	3	5	2	3	5	8	5	11	.	.	10	9	6	10	7	4	8	7	5	9	2	3	.	2	2	4	1	2	2	0	2	0	-1	.	0	0	2	0	0	1	0	0	3	4	3	4	3	3	3	4	3	3	3	3	3	6	.	3	6	.	.	7	3	4	4	4	3	3	3	3	4	.	3	3	3	.	7	4	5	7	2	4	2
22	2	1	6	2	3	5	2	3	5	5	3	8	1	2	1	2	1	3	0	2	1	1	2	3	-1	0	1	0	2	3	-1	2	3	0	.	2	-1	1	1	0	2	5	0	2	4	0	2	3	-2	0	3	1	0	2	.	0	1	-1	1	1	0	2	4	0	2	2	0	3	5	-3	1	0	-2	.	-1	0	3	4	.	1	2	0	1	2	0	3	1	5	4	7
23	3	3	4	4	4	5	7	.	8	2	1	3	2	3	2	1	4	3	1	2	2	3	2	0	0	3	1	4	3	4	3	4	6	4	4	5	6	4	6	.	4	.	2	4	2	2	4	4	2	2	3	3	.	4	2	3	4	6	5	4	2	.	6	.	2	-1	.	2	0	5	.	9	6	5	.	.	5	6	5	3	1	4	3	2	1	1	2	4	3	2
24	4	5	9	3	4	7	2	2	1	2	3	4	3	.	7	5	5	7	5	5	7	2	4	3	2	4	5	3	3	.	0	3	4	-2	1	1	-1	1	.	2	3	2	.	4	5	3	3	5	.	2	5	4	2	5	2	3	4	0	2	4	.	4	5	2	3	2	2	1	2	5	5	7	0	4	3	4	4	7	.	3	4	.	2	4	.	2	4	2	4	6
25	2	1	3	1	2	1	1	2	5	2	1	.	3	2	6	1	2	2	.	1	.	3	2	5	2	4	3	2	2	1	0	3	3	1	3	2	4	3	3	2	2	2	5	4	.	6	4	7	.	3	9	0	1	3	2	3	3	2	1	4	1	2	3	0	2	3	1	.	.	3	1	5	0	2	1	2	2	0	.	0	.	0	.	0	0	1	1	1	.	0
26	4	.	2	1	3	5	5	4	4	5	5	4	5	4	3	4	4	4	5	4	2	4	3	4	5	7	7	8	5	8	2	.	3	4	4	4	6	5	7	3	5	4	8	6	8	7	7	10	5	6	6	4	.	.	.	5	4	9	6	12	9	6	10	.	5	6	7	5	4	9	5	6	7	8	7	7	6	7	4	3	5	4	6	.	6	4	3	5	4	6
27	1	1	2	-1	2	3	1	2	0	0	2	1	1	.	1	3	1	4	4	4	8	4	3	8	4	2	6	1	2	2	0	0	0	2	0	0	0	1	.	1	2	1	2	0	5	1	2	0	0	0	0	3	3	2	1	1	5	2	1	2	0	1	1	-1	0	0	1	2	-2	1	2	4	0	0	0	0	1	1	1	2	3	1	3	5	1	3	3	1	2	3
28	.	2	2	0	1	1	0	1	1	3	2	5	0	.	3	1	.	3	0	1	.	1	1	3	0	1	4	0	0	0	-1	.	0	0	1	4	0	1	0	-2	1	0	4	.	4	.	3	5	1	2	4	2	2	5	3	2	2	0	1	3	0	2	2	2	3	6	3	3	6	1	1	2	0	3	1	2	2	4	0	1	0	.	1	0	.	.	2	3	5	5
29	3	5	3	3	4	7	4	.	6	5	5	5	5	5	6	7	3	8	4	5	7	7	4	7	1	3	.	1	2	1	2	3	1	1	.	1	3	3	4	3	3	4	5	4	.	.	6	8	5	6	4	5	.	4	4	.	5	5	4	.	1	3	-2	2	4	.	3	3	.	3	2	4	0	3	2	0	3	1	1	2	2	1	2	2	2	4	4	2	3	1
30	.	2	0	-1	1	0	0	0	2	0	0	0	-1	0	-2	.	0	-4	0	1	-1	-2	0	-2	-1	1	0	3	1	4	0	1	2	0	1	3	0	1	1	-1	0	0	-2	0	-2	0	0	1	1	0	0	0	1	2	0	1	.	-2	1	-2	-1	0	.	-1	0	2	0	.	0	0	0	-2	-2	0	1	-1	1	-1	1	1	0	1	1	1	.	1	0	0	1	.
31	0	1	0	5	2	.	0	0	0	2	2	4	2	2	0	.	2	2	1	0	1	.	3	3	0	0	3	0	1	0	2	.	2	.	1	6	3	2	5	5	3	5	2	2	4	1	2	6	6	2	6	1	1	3	.	2	.	3	3	3	2	2	4	2	1	2	0	2	2	-2	1	0	0	0	3	.	2	3	2	3	6	4	3	7	3	2	3	.	1	.
32	5	4	5	1	3	3	3	2	4	1	.	1	0	1	2	.	4	3	4	2	4	1	2	.	1	2	.	0	2	-2	2	2	4	3	2	3	4	.	4	3	3	2	0	1	0	2	1	.	0	.	-1	1	2	0	2	2	4	2	2	4	0	1	2	5	3	7	4	2	5	3	1	3	3	2	4	0	.	3	6	3	1	.	1	4	4	.	.	3	.	.
33	0	2	0	1	1	2	1	1	1	-1	.	.	1	1	0	1	0	1	2	1	3	0	1	0	-1	1	-1	0	.	0	0	0	0	-1	0	-1	-3	0	.	0	1	.	-2	1	2	0	1	2	0	2	2	-1	0	0	0	2	0	0	1	0	0	1	2	1	1	1	1	1	2	-1	0	0	1	2	2	0	1	5	4	2	2	0	1	4	0	-1	0	-3	1	-2
34	1	0	0	0	0	-1	-1	0	.	1	3	2	0	0	-2	-1	1	0	-1	1	2	1	0	.	1	.	1	3	2	0	1	0	-1	3	1	1	0	1	3	1	2	2	4	1	4	.	2	1	.	1	1	-1	0	-1	-1	0	-1	-2	1	-1	-2	1	.	.	.	-1	-4	0	-5	-1	0	.	.	2	0	.	2	2	2	.	5	0	1	1	2	1	4	2	2	1
35	0	1	.	-1	1	0	0	1	0	0	3	2	1	2	3	1	2	0	2	2	2	2	5	4	0	2	2	-3	0	.	-1	1	-1	0	1	0	-1	0	-1	-1	2	-1	.	2	1	0	1	2	1	2	4	3	2	5	3	1	1	1	1	0	2	2	4	.	2	.	.	0	0	0	.	0	0	2	2	-3	0	.	-2	0	-1	0	1	1	-1	1	-3	-1	1	0
36	1	1	2	.	0	-1	1	2	0	-1	.	-2	2	2	2	-1	0	0	1	.	-1	2	2	2	0	0	1	-1	0	0	-2	.	0	2	.	0	0	0	0	1	0	2	2	1	0	2	1	1	2	0	0	0	0	-1	-1	.	-1	0	0	-2	0	1	2	0	0	0	2	1	0	.	0	-1	-3	0	-2	.	0	0	0	.	2	3	1	4	3	1	5	0	1	-1
37	2	2	2	2	2	0	2	3	1	-1	1	0	2	2	2	1	1	3	3	2	4	4	3	4	2	2	3	2	3	4	0	2	2	2	3	1	.	3	3	0	1	-4	0	1	-1	0	2	-1	1	.	1	1	2	3	-1	.	0	0	1	.	0	1	-2	1	2	1	1	1	-2	4	3	2	1	.	0	.	0	.	0	0	0	-1	2	0	-1	1	-3	2	3	5
38	0	1	2	2	2	4	6	5	5	4	2	2	0	1	2	4	3	5	3	2	1	3	2	2	1	.	1	2	3	3	4	.	3	3	2	4	.	0	-1	.	0	-1	0	0	0	0	0	0	2	1	4	2	2	3	2	5	5	4	3	6	1	2	3	3	2	5	.	1	0	0	0	0	1	1	2	1	1	.	3	2	1	2	3	2	2	3	3	3	5	4
39	2	4	4	3	3	4	1	2	3	5	3	5	3	2	3	-2	0	2	2	3	5	3	1	4	2	4	2	4	2	4	2	.	1	2	1	4	0	0	1	1	1	3	0	1	0	0	0	0	0	2	.	2	1	4	0	1	3	.	3	.	3	3	7	.	.	7	1	1	.	3	.	0	4	2	.	1	2	4	5	5	.	.	4	5	4	4	9	2	2	5
40	.	.	1	1	2	3	2	3	2	.	3	1	2	3	2	2	4	4	4	3	1	2	3	4	0	2	0	0	2	0	0	1	-1	1	2	2	2	3	2	2	2	2	.	3	2	.	5	7	4	5	4	8	6	8	3	.	.	2	3	.	.	1	-2	2	1	.	2	4	2	2	3	.	0	1	0	0	1	2	3	3	3	3	4	.	4	4	4	3	4	4
41	4	3	2	2	2	-1	5	3	5	5	.	5	2	2	4	2	2	0	1	1	1	2	2	4	0	0	-1	1	1	0	1	2	2	2	3	2	2	2	4	2	3	3	1	2	.	3	3	7	6	2	3	0	4	2	.	4	8	2	3	5	4	3	1	1	2	0	4	3	2	2	3	4	.	.	0	3	3	3	5	3	.	5	4	7	0	1	0	.	0	2
42	0	1	2	1	1	2	2	2	4	3	4	.	1	1	2	1	1	2	5	3	5	.	3	3	3	3	3	1	4	3	4	3	6	4	4	.	2	2	3	5	3	7	4	3	7	4	4	3	1	2	0	3	2	4	-1	1	-2	0	1	2	6	3	6	.	4	3	6	5	9	5	4	8	2	2	3	4	3	4	0	3	1	3	2	2	2	1	.	2	.	1
