1	1	3	4	1	4	4	1	5	3	5	2	3	2	1	5	2	1	5	1	3	0	2	0	0	3	2	3	3	3	3	4	2	3	0	2	1	1	1	2	2	4	2	4	2	4	5	3	7	4	6	3	2	2	3	3	4	1	3	4	5	1	1	0	2	2	2	2	4	2	4	3	3	4	2	3
2	2	3	5	4	3	3	2	6	3	3	3	1	2	3	5	3	2	4	2	2	2	2	2	2	3	3	2	5	1	5	5	2	3	1	3	3	3	2	1	4	4	1	5	3	5	5	4	9	5	9	2	3	2	3	3	4	3	5	4	4	5	3	8	3	4	2	2	2	1	4	4	2	4	3	4
3	6	5	12	8	11	6	5	7	7	6	4	4	10	5	7	6	4	6	3	6	3	3	3	3	4	7	5	9	4	10	5	3	6	6	5	8	5	13	7	9	8	6	11	9	9	4	3	5	4	7	5	4	7	8	8	5	5	7	5	7	5	4	2	5	4	5	3	4	4	4	5	3	6	5	6
4	2	4	4	2	2	0	2	2	4	2	3	4	6	5	6	8	4	9	6	6	1	2	3	1	4	3	4	4	3	6	5	3	6	3	7	5	3	5	3	3	3	2	4	3	3	3	3	5	5	5	2	2	3	4	3	4	4	7	3	7	3	3	6	3	5	6	3	5	6	6	1	3	4	4	4
5	6	4	6	7	6	2	2	2	3	4	2	2	3	0	3	7	5	12	8	12	2	3	5	4	4	4	3	5	3	6	6	3	7	4	6	4	2	5	3	7	5	4	5	4	6	6	3	6	5	6	3	3	3	3	4	5	2	7	3	3	4	3	5	3	3	6	5	10	6	8	4	2	4	4	4
6	6	3	5	5	5	7	5	9	7	8	6	5	7	4	9	6	6	7	6	10	7	6	6	4	4	5	5	6	5	7	9	6	9	7	10	5	6	6	5	8	6	4	7	5	7	5	5	7	7	7	6	5	8	5	7	7	5	9	6	10	4	4	7	7	7	6	7	8	8	10	5	4	6	5	6
7	5	3	4	6	5	2	2	5	4	4	3	4	7	3	7	5	3	4	3	4	2	2	5	3	4	7	5	7	7	11	4	5	6	5	5	2	3	4	4	5	3	3	5	4	5	2	3	4	3	4	7	4	12	8	8	6	4	10	6	11	1	3	3	3	3	7	5	6	5	5	5	1	3	3	6
8	0	1	0	2	0	0	1	1	2	2	2	2	2	0	0	5	2	5	3	6	3	2	3	1	5	1	2	2	2	3	5	2	3	4	4	2	3	5	3	5	2	3	1	1	1	0	1	0	1	0	4	3	5	3	5	1	2	2	2	2	0	1	1	1	0	2	1	0	2	1	0	1	0	1	2
9	2	2	2	3	2	4	3	5	2	5	4	3	5	3	6	2	3	4	4	3	2	2	2	2	3	1	2	5	3	2	0	3	5	2	2	0	1	2	3	3	3	2	6	3	6	1	2	4	1	1	7	3	7	6	5	1	3	3	3	5	3	2	5	3	2	2	2	1	1	1	1	2	2	3	2
10	1	1	1	3	2	3	2	2	4	3	3	2	5	3	3	3	3	4	5	4	2	2	5	2	1	2	2	0	4	2	2	1	4	3	4	5	4	6	5	7	3	0	2	4	3	3	0	2	4	5	5	5	8	6	7	1	3	5	2	2	1	2	2	2	0	3	0	2	3	4	4	3	7	3	2
11	4	4	6	5	7	5	4	6	4	6	5	5	6	3	8	4	5	7	6	7	8	5	10	6	7	7	6	5	5	7	7	6	10	5	9	6	6	9	7	7	4	4	7	6	6	4	3	5	5	5	3	3	4	4	6	3	4	7	6	6	5	5	7	5	7	7	5	10	7	11	11	5	10	7	11
12	5	4	7	6	10	4	5	4	3	5	2	1	3	1	2	5	3	6	4	4	4	2	7	2	6	4	3	7	5	9	5	4	6	5	7	7	4	8	6	6	3	2	1	3	3	3	3	7	4	6	5	3	5	5	4	5	4	4	5	4	4	3	4	6	6	5	3	7	4	5	4	3	7	6	4
13	2	1	1	3	3	5	3	6	6	7	5	3	5	4	6	3	2	7	4	5	4	3	5	5	5	5	5	5	3	7	5	5	5	4	6	7	6	8	7	8	3	4	4	4	4	4	3	6	5	6	6	3	8	7	6	4	3	8	5	8	7	4	7	6	8	2	4	5	5	6	7	5	5	5	10
14	4	4	6	2	5	6	4	9	7	7	2	1	2	2	3	4	3	6	6	4	4	4	6	6	7	1	2	3	3	5	2	4	4	1	4	2	3	1	2	4	3	2	3	1	3	5	1	4	6	6	4	3	5	3	6	1	2	0	2	1	4	3	7	5	6	5	4	5	5	8	5	5	7	6	8
15	5	3	5	3	6	3	3	7	4	5	1	1	1	1	3	2	2	3	2	3	2	2	3	3	6	3	3	5	3	3	2	1	4	1	4	2	0	2	2	3	5	4	9	5	6	4	3	4	3	8	2	2	4	3	4	6	3	7	5	5	1	0	2	1	1	3	3	5	4	5	2	1	4	2	3
16	8	6	8	5	9	5	6	7	6	9	9	5	10	4	8	8	6	8	7	9	7	5	8	6	7	8	6	11	7	8	4	3	5	5	6	3	5	7	5	7	7	7	10	9	9	7	6	9	8	7	4	3	4	5	4	2	4	5	3	5	7	4	6	5	8	9	6	9	6	8	5	5	7	5	7
17	6	4	6	5	7	5	5	9	6	6	6	5	8	6	9	5	4	6	4	6	5	4	6	4	8	1	2	2	2	2	4	4	7	4	3	2	3	4	3	6	3	3	4	3	4	2	4	4	3	7	3	5	7	7	6	3	3	1	4	5	6	4	5	3	6	4	3	7	6	5	4	2	3	3	5
18	1	1	0	2	2	3	0	1	2	4	1	0	0	2	1	-2	0	-1	-1	-1	3	2	6	3	5	2	0	3	1	1	1	1	3	3	2	0	1	0	1	4	2	2	4	1	3	2	1	2	1	2	1	1	1	2	3	0	0	2	2	0	0	0	0	0	1	3	2	3	2	2	1	0	3	0	1
