1	0	3	3	-1	2	.	0	4	0	2	3	3	2	4	2
2	-1	3	-3	2	.	2	2	5	2	1	2	0	2	3	.
3	7	4	8	2	4	3	4	3	.	1	4	4	3	3	4
4	.	1	0	3	3	2	0	3	2	3	4	2	2	3	2
5	3	3	3	1	3	4	1	2	1	3	3	.	1	1	1
6	4	4	6	.	5	10	4	4	5	8	4	9	2	2	2
7	1	2	1	1	1	4	2	2	3	0	1	0	2	0	3
8	-2	0	-2	0	0	1	0	1	4	-4	-1	-5	2	1	1
9	0	2	1	1	4	2	0	3	5	0	3	2	0	3	2
10	2	1	4	2	1	3	5	1	.	.	0	0	-1	0	.
11	4	6	8	3	4	8	3	4	5	4	5	6	4	4	8
12	-2	1	-1	4	4	6	2	3	3	1	3	3	3	.	.
13	3	4	2	3	4	4	.	4	3	0	4	3	0	3	-1
14	3	2	6	1	2	5	2	3	4	2	2	2	3	2	5
15	.	2	7	0	0	0	-1	0	0	0	0	3	2	0	0
16	3	4	7	6	7	9	4	5	4	4	4	5	4	5	6
17	5	.	4	2	3	5	4	.	5	2	3	1	5	2	6
18	0	.	.	0	0	.	0	0	0	0	2	2	.	0	.
19	.	2	3	3	2	.	4	2	7	0	2	2	1	0	1
20	-1	0	0	2	1	.	0	1	.	0	1	4	1	1	3
21	-1	0	0	.	0	0	.	0	.	.	.	4	-3	0	-1
22	1	4	2	0	2	.	.	0	-1	1	3	6	0	3	2
23	3	2	.	3	1	1	0	3	2	1	3	2	0	1	0
24	0	2	2	0	2	0	0	3	2	0	1	0	2	.	2
25	3	2	3	2	1	2	2	0	3	3	1	1	2	2	3
26	0	1	0	2	2	.	1	0	1	0	1	4	0	0	-1
27	2	4	3	2	2	2	0	.	2	2	2	5	6	4	6
28	2	3	.	4	.	5	3	.	5	1	1	3	3	2	2
29	-1	.	.	0	2	1	0	2	1	-2	2	0	1	2	.
30	3	4	5	0	1	2	3	3	5	8	3	.	2	2	2
31	5	5	5	2	3	2	5	4	7	2	.	6	7	6	7
32	0	0	0	1	2	.	1	0	1	.	1	.	1	2	1
33	.	.	3	3	4	3	2	2	.	6	5	7	1	2	.
34	1	1	4	2	3	5	4	3	.	2	2	2	4	.	4
35	.	4	6	0	1	.	.	.	1	1	2	4	1	1	3
