1	0	1	2	1	0	0	0	0	0	2	1	4	1	2	3	1	0	0	-1	0	-1	0	1	0	3	3	4	0	1	0	0	0	1	0	1	1	1	0	3	2	1	4	0	0	0
2	4	2	5	1	1	0	1	1	0	0	0	2	3	1	4	1	1	1	4	1	4	4	1	6	1	0	1	1	1	2	0	1	0	1	0	3	2	0	3	2	2	4	-1	0	0
3	2	2	1	3	3	5	5	4	6	5	5	6	4	4	1	6	4	6	3	4	4	6	3	8	6	4	6	3	2	4	4	3	3	4	3	4	1	3	0	2	3	5	7	4	4
4	1	2	2	2	1	4	4	2	1	3	2	0	0	1	0	1	2	1	2	2	4	2	2	4	4	3	7	2	2	1	2	2	2	4	1	3	3	2	5	3	4	1	4	1	2
5	4	1	7	0	0	1	3	0	6	0	0	4	0	0	1	-1	-1	2	1	0	1	1	0	3	-1	-1	0	0	0	2	0	0	5	0	0	3	0	-2	1	0	1	4	0	0	3
6	0	3	2	4	7	7	1	3	4	2	5	7	2	4	5	2	4	4	2	3	5	5	5	5	3	6	8	3	5	8	0	2	2	1	3	2	3	5	6	1	4	5	4	4	6
7	3	3	6	0	3	5	0	2	2	1	3	4	0	1	2	1	1	2	0	2	2	1	2	4	2	5	5	0	3	5	0	2	5	2	2	3	1	2	1	1	3	2	2	3	8
8	-2	3	-2	0	2	0	-1	3	0	0	4	2	0	4	0	-1	3	1	-2	3	-1	0	3	0	0	3	0	1	5	2	-3	3	-3	-1	1	0	0	1	0	-2	3	2	0	4	-1
9	0	2	0	0	2	-1	3	3	5	2	2	3	3	3	3	2	4	5	0	1	1	1	3	1	1	2	4	1	2	6	0	2	2	0	3	1	0	2	2	4	3	5	-1	0	-2
10	3	1	2	1	1	2	0	0	3	1	1	5	-2	0	0	0	1	6	-2	0	0	-1	0	-1	1	1	3	0	1	4	1	3	1	0	1	1	2	0	3	1	1	-1	0	2	3
11	2	7	5	5	8	7	4	7	5	6	8	6	4	7	7	3	5	4	3	4	1	2	5	6	2	6	3	4	6	4	3	5	2	4	6	3	1	5	1	3	7	4	4	6	5
12	1	5	3	2	5	0	2	5	1	2	5	1	3	5	0	1	5	2	0	3	-1	2	6	3	0	6	1	-1	3	0	2	5	1	2	5	3	1	6	2	4	5	3	1	6	2
13	3	1	6	4	1	1	3	0	4	4	2	5	0	3	4	0	0	0	0	0	3	4	4	3	2	1	3	4	1	3	2	0	4	2	0	2	2	1	2	3	1	2	2	3	2
14	4	3	7	1	2	4	0	2	2	2	2	6	2	3	5	5	3	6	0	2	4	2	1	5	4	3	4	3	5	5	2	2	3	4	2	4	2	1	2	0	1	3	2	4	5
15	1	3	2	0	1	4	0	1	0	3	2	5	2	3	3	0	0	0	1	2	2	-1	0	0	2	2	0	2	3	3	1	2	0	1	1	5	0	1	2	-2	-1	-3	0	0	1
16	4	3	8	5	5	9	3	3	6	3	4	6	2	3	3	0	2	6	2	4	3	5	5	10	4	5	8	3	5	6	6	5	6	2	5	1	4	4	8	3	4	5	1	4	4
17	1	2	0	0	2	5	2	2	5	1	3	1	0	2	0	0	1	-1	3	2	7	2	3	1	2	4	4	2	3	1	0	3	0	0	2	5	0	3	1	0	2	-1	2	4	6
18	1	0	3	-2	-2	-1	-1	-1	0	0	-1	-2	-1	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-2	1	0	0	0	0	0	0	0	0	-1	0	-1	-3	-2	-2	0	0	1
19	3	2	5	2	3	5	1	5	5	0	2	0	4	4	3	1	2	3	0	3	0	0	2	5	2	2	5	2	3	1	0	2	2	2	3	6	0	1	-1	1	4	3	0	4	5
20	0	4	3	2	5	2	3	4	4	3	4	2	1	3	4	0	3	1	0	4	4	3	4	5	0	2	0	1	4	1	2	4	2	3	3	4	1	3	0	0	2	0	0	4	3
21	3	1	2	0	1	0	0	1	2	1	2	4	2	0	0	3	2	4	4	2	2	4	3	3	0	1	0	-1	0	-1	2	0	1	1	1	2	1	1	3	0	1	2	-1	1	0
22	0	1	3	2	1	5	4	3	4	2	3	3	-1	1	2	0	0	-1	0	0	-1	1	2	4	3	3	2	1	4	1	-1	1	1	3	3	3	1	1	1	3	3	5	2	2	1
23	1	4	2	0	2	0	0	1	0	0	1	0	-1	1	-1	0	3	1	0	3	3	-1	3	0	-1	3	-1	0	3	1	0	2	0	0	2	0	-2	1	-1	0	4	0	2	4	0
24	0	1	1	2	1	1	0	3	2	0	1	-1	-1	0	0	0	1	-1	1	2	3	1	2	3	0	2	0	2	2	3	1	3	2	1	2	1	-1	2	-2	0	3	0	0	2	1
25	2	1	2	1	0	3	4	0	3	1	0	0	0	0	0	3	0	1	6	1	6	0	1	1	5	0	4	1	-1	2	1	0	2	2	0	0	2	-1	0	4	1	6	2	-1	4
26	0	0	1	2	0	3	3	3	6	0	0	3	-2	0	-2	0	0	-2	-2	0	-2	-2	0	-3	2	0	2	-1	0	-1	2	0	-1	1	2	3	1	0	0	0	0	0	0	1	0
27	4	4	5	1	4	4	4	5	5	5	4	6	4	5	5	1	3	3	4	6	5	4	5	9	3	7	7	3	6	5	2	5	4	4	5	3	2	5	6	2	4	3	4	4	5
28	1	3	2	0	0	0	0	2	-2	2	3	0	1	3	1	-1	2	-2	1	3	0	2	3	4	4	5	2	-1	3	-2	1	4	-1	1	3	0	2	5	2	2	3	3	2	4	2
29	0	0	0	1	1	0	0	1	-1	0	0	1	2	2	3	0	1	0	0	1	1	1	1	1	-1	0	0	1	1	2	0	0	-2	4	2	4	1	1	0	1	0	1	0	1	1
30	5	6	6	3	4	6	3	4	3	1	3	2	2	4	1	1	4	3	4	3	8	3	4	5	4	3	4	4	5	5	1	5	6	1	3	3	2	3	4	2	6	6	3	4	5
31	2	3	6	6	2	8	3	0	3	0	0	3	4	2	7	3	1	4	3	2	6	1	0	2	1	1	5	1	0	0	5	2	4	2	1	1	2	0	3	3	2	3	3	1	5
