1	1	1	1	1	4	5	3	4	5	8	3	2	5	0	4	2	2	3	3	5	1	3	1	0	3
2	0	2	1	2	2	3	3	2	1	2	0	1	-1	0	1	0	1	0	0	4	0	1	0	0	3
3	1	0	1	2	2	0	0	2	1	4	0	-1	-1	0	0	0	1	1	1	4	1	1	0	3	2
4	3	3	5	3	4	0	1	0	2	1	0	3	2	2	5	3	3	4	6	5	4	4	5	6	7
5	-3	1	0	2	4	1	0	3	2	4	0	2	1	1	0	1	2	1	3	1	2	2	5	4	6
6	0	2	0	1	1	-1	0	-1	3	2	1	0	0	2	2	0	1	2	1	1	0	-1	0	0	0
7	0	1	-2	2	3	-1	2	0	3	2	0	1	1	4	3	0	1	3	3	4	2	2	0	6	4
8	2	1	0	3	3	0	2	0	0	2	0	2	0	2	5	4	3	8	7	8	4	2	3	6	6
9	3	4	7	2	6	1	4	4	3	5	2	4	3	2	5	2	3	4	3	6	1	3	5	2	4
10	1	3	3	4	3	1	3	3	2	2	3	4	5	3	4	2	2	2	3	4	2	4	5	2	4
11	2	0	0	3	3	-1	1	0	-1	2	1	0	3	2	4	-1	0	-1	0	0	2	3	1	4	6
12	4	1	4	3	2	1	2	0	1	0	0	3	1	0	2	-1	0	0	0	0	0	0	-2	0	0
13	1	2	3	4	4	7	3	4	4	8	3	1	2	3	7	3	1	3	3	5	1	2	2	2	6
14	2	3	3	3	5	0	1	3	3	4	0	2	4	3	5	1	2	1	4	4	0	1	1	2	0
15	1	2	2	4	2	4	3	6	5	6	5	4	7	6	8	3	3	4	7	5	4	4	3	4	5
16	0	1	0	-1	2	-3	-1	-6	-2	-3	0	0	0	0	1	1	1	1	0	3	2	3	1	1	3
17	1	1	0	3	3	0	1	0	4	1	0	2	4	5	6	0	1	3	3	1	3	3	3	5	3
18	3	5	6	6	9	3	4	4	3	4	2	3	3	6	6	3	5	8	7	7	2	2	3	4	4
19	-1	0	0	2	1	0	0	-1	1	0	-1	2	1	3	3	0	0	1	0	1	0	0	2	1	3
20	2	2	4	4	4	1	3	6	5	7	1	3	7	5	8	0	2	1	4	4	3	4	6	6	7
21	4	4	6	7	7	1	2	3	5	2	1	2	1	4	2	0	1	0	2	1	1	0	0	4	4
22	1	2	5	4	4	0	4	3	3	5	-1	1	2	1	3	0	3	1	1	4	2	3	2	1	2
23	4	2	5	2	6	5	4	5	6	7	2	3	5	4	7	6	3	5	4	3	4	2	3	4	6
