1	2	3	5	2	2	3	2	3	5	.	3	8	2	3	4
2	6	3	7	0	2	1	4	3	8	5	3	5	6	2	5
3	8	4	5	6	5	5	4	4	7	4	5	6	4	3	6
4	5	3	6	4	4	5	2	3	6	7	3	5	7	4	.
5	.	3	.	2	0	2	4	3	7	3	3	5	2	2	3
6	8	7	9	5	.	7	5	4	3	8	4	7	.	.	6
7	5	3	7	4	4	5	3	.	6	7	4	9	4	.	5
8	0	2	4	2	3	2	2	1	2	.	2	2	3	1	5
9	5	1	4	4	3	.	5	3	3	2	1	2	4	.	.
10	0	.	3	6	4	.	4	2	8	2	3	5	1	.	2
11	5	5	6	.	4	7	4	4	8	5	.	5	3	4	8
12	4	3	4	3	2	2	2	1	2	1	3	5	8	3	9
13	.	3	5	6	3	7	2	3	1	5	3	4	6	4	6
14	.	1	9	4	3	3	.	2	5	3	2	3	2	3	5
15	5	1	3	0	2	2	2	3	2	3	2	4	6	3	9
16	5	5	9	5	5	9	6	4	10	5	3	7	4	6	7
17	.	4	9	5	2	5	4	4	.	3	3	.	2	1	2
18	4	0	4	0	0	-2	1	2	.	3	2	4	0	0	.
19	5	4	6	2	4	6	3	3	2	.	3	5	2	2	4
20	4	3	.	0	1	2	5	3	5	5	4	8	1	2	.
21	3	1	3	2	2	3	2	2	4	1	0	3	2	2	4
22	1	.	.	4	4	6	3	3	4	4	4	6	3	2	4
23	4	3	.	1	2	0	1	.	1	7	4	7	1	0	3
24	0	2	.	3	3	6	2	2	0	4	3	5	2	3	6
25	4	2	.	3	2	3	3	2	4	7	3	.	.	2	3
26	0	0	.	4	0	2	2	0	3	3	1	6	0	0	2
27	3	3	4	7	5	7	4	3	.	2	3	4	4	.	6
28	2	3	4	.	4	6	5	3	4	3	3	6	.	1	6
29	1	2	4	2	2	2	3	3	1	.	.	0	.	0	.
30	8	7	11	7	.	7	4	3	7	2	4	5	2	2	3
31	.	4	9	.	3	7	4	3	5	6	4	7	4	2	5
32	0	3	1	3	2	3	2	2	.	6	.	5	.	3	5
33	6	5	7	5	4	9	7	5	9	4	3	5	2	4	5
34	8	6	9	5	4	3	5	3	3	3	3	4	4	3	3
35	6	3	5	5	3	5	5	5	6	5	3	6	.	4	7
36	.	.	5	.	4	4	3	3	5	6	4	7	3	.	4
37	7	6	12	4	4	4	6	2	6	3	4	.	4	.	6
38	2	2	1	4	3	4	3	3	6	5	3	4	2	.	.
39	2	2	4	.	3	2	6	5	7	0	2	2	2	3	4
40	4	.	7	3	4	5	1	.	0	2	4	2	4	3	5
41	1	3	2	1	2	1	3	2	3	3	2	4	3	3	3
42	3	3	5	4	4	7	2	3	.	.	1	5	1	1	.
43	1	1	.	1	2	5	3	2	1	4	1	6	4	3	.
44	8	7	11	6	6	8	4	4	.	5	5	8	7	6	11
45	7	4	8	6	5	8	5	5	10	3	2	5	8	5	6
46	2	3	2	3	2	5	2	1	5	3	2	4	1	1	4
47	1	2	0	3	4	6	2	.	4	3	1	3	5	2	5
48	4	2	3	4	.	5	.	2	7	.	1	4	.	2	6
49	6	5	7	6	4	9	.	5	8	.	4	5	8	5	10
50	4	3	3	5	4	6	2	2	1	6	3	7	5	4	7
