1	1	3	2	7
1	2	5	5	8
1	3	4	3	4
1	4	2	3	3
1	5	4	4	4
1	6	2	2	4
1	7	6	5	6
1	8	4	3	3
1	9	5	3	3
1	10	4	3	5
1	11	1	2	-1
1	12	0	3	1
1	13	2	4	4
1	14	4	4	7
1	15	3	4	6
1	16	0	1	1
1	17	2	2	2
1	18	1	1	4
1	19	1	3	4
1	20	4	4	4
1	21	2	3	4
1	22	4	4	6
1	23	5	5	5
1	24	4	3	4
1	25	2	3	3
1	26	1	2	2
1	27	3	3	4
1	28	3	3	4
1	29	2	2	5
1	30	3	3	3
1	31	-2	1	0
1	32	2	1	3
1	33	0	2	0
1	34	0	2	0
1	35	-2	0	-2
1	36	3	3	3
1	37	3	3	4
1	38	1	3	3
1	39	0	2	2
1	40	2	2	3
1	41	2	1	4
1	42	7	4	7
1	43	2	3	3
1	44	2	3	4
1	45	3	2	0
1	46	0	2	0
1	47	1	3	4
1	48	0	2	1
1	49	3	4	3
1	50	3	4	7
1	51	3	3	4
1	52	0	1	0
1	53	1	2	0
1	54	2	2	1
1	55	3	3	4
1	56	0	1	-1
1	57	3	3	1
1	58	1	4	2
1	59	1	1	0
1	60	2	3	5
2	1	2	1	4
2	2	4	3	4
2	3	2	2	5
2	4	3	1	2
2	5	0	2	0
2	6	0	1	-2
2	7	3	3	2
2	8	0	1	1
2	9	1	2	0
2	10	2	2	1
2	11	2	2	2
2	12	0	0	-1
2	13	2	1	0
2	14	1	1	0
2	15	2	2	1
2	16	0	1	2
2	17	0	2	1
2	18	0	1	0
2	19	-1	3	0
2	20	4	2	3
2	21	1	2	2
2	22	0	2	0
2	23	2	2	4
2	24	2	3	1
2	25	0	2	0
2	26	0	2	0
2	27	2	1	0
2	28	1	3	1
2	29	1	1	3
2	30	3	3	3
2	31	1	3	4
2	32	3	4	0
2	33	3	3	2
2	34	1	2	2
2	35	3	5	8
2	36	1	2	1
2	37	0	3	4
2	38	4	4	3
2	39	2	1	4
2	40	3	2	3
2	41	4	3	5
2	42	2	2	5
2	43	1	2	2
2	44	2	2	2
2	45	3	3	4
2	46	3	2	4
2	47	5	3	5
2	48	3	3	6
2	49	4	4	4
2	50	0	3	3
2	51	1	0	0
2	52	1	2	0
2	53	0	0	2
2	54	0	1	-1
2	55	0	2	4
2	56	0	1	0
2	57	4	2	4
2	58	3	2	4
2	59	3	2	4
2	60	0	2	2
3	1	0	0	0
3	2	-1	0	0
3	3	0	0	2
3	4	0	0	0
3	5	0	0	-2
3	6	-2	-1	-1
3	7	0	1	0
3	8	0	2	1
3	9	1	1	1
3	10	1	0	0
3	11	1	1	3
3	12	0	0	0
3	13	1	1	0
3	14	2	1	1
3	15	2	0	3
3	16	2	1	1
3	17	1	1	3
3	18	1	2	2
3	19	0	0	2
3	20	-1	0	0
3	21	0	1	2
3	22	2	1	3
3	23	1	1	2
3	24	0	0	0
3	25	0	-1	1
3	26	0	0	1
3	27	0	2	1
3	28	0	0	0
3	29	-2	0	0
3	30	-2	1	-1
3	31	0	0	2
3	32	-5	-2	-5
3	33	-2	1	-1
3	34	-2	0	0
3	35	3	3	3
3	36	1	0	2
3	37	0	1	2
3	38	-1	0	0
3	39	0	0	2
3	40	2	1	2
3	41	2	0	2
3	42	1	0	1
3	43	-3	0	-1
3	44	0	0	0
