w_loading1 w_loading2 w_loading3 w_loading4 common_state_var unique_state_error_var1 unique_state_error_var2 unique_state_error_var3 unique_state_error_var4 ar_effect b_loading1 b_loading2 b_loading3 b_loading4 intercept1 intercept2 intercept3 intercept4 common_trait_var trait_mean unique_indicator_trait_var1 unique_indicator_trait_var2 unique_indicator_trait_var3 unique_indicator_trait_var4 cov12 cov13 cov23 cov14 cov24 cov34
msst_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r1 1 0.51 1.298 0.811 2.005 0.972 0.472 1.542 0.803 NA 1 0.804 1.205 0.903 0 0.158 0.389 0.576 2.235 3.844 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r1 1 0.51 1.298 0.811 2.005 0.973 0.472 1.543 0.804 NA 1 0.804 1.205 0.904 0 0.157 0.388 0.575 2.323 3.845 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r1 1 0.51 1.298 0.811 2.005 0.972 0.472 1.541 0.802 NA 1 0.803 1.205 0.903 0 0.16 0.39 0.577 2.325 3.847 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r1 1 0.51 1.298 0.811 2.005 0.972 0.472 1.541 0.801 NA 1 0.804 1.205 0.903 3.844 3.248 5.022 4.049 2.235 NA 0 0 0.001 0.002 NA NA NA NA NA NA
cuts_wide_bayes_r1 1 0.51 1.298 0.811 2.005 0.973 0.472 1.54 0.802 NA 1 0.804 1.205 0.904 3.857 3.258 5.037 4.061 2.316 NA 0.001 0.001 0.003 0.002 NA NA NA NA NA NA
cuts_long_bayes_r1 1 0.51 1.298 0.811 2.005 0.973 0.472 1.541 0.801 NA 1 0.804 1.205 0.903 3.842 3.246 5.019 4.047 2.325 NA 0.001 0.001 0.003 0.002 NA NA NA NA NA NA
tso_wide_ml_r1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r1 1 0.51 1.298 0.811 2.004 0.973 0.472 1.54 0.801 -0.005 NA NA NA NA 3.868 3.267 5.05 4.07 NA NA 2.471 1.594 3.584 2.018 1.982 2.972 2.387 2.23 1.79 2.685
tso_long_bayes_r1 1 0.51 1.298 0.811 2.004 0.973 0.472 1.54 0.801 -0.005 NA NA NA NA 3.812 3.222 4.984 4.022 NA NA 2.465 1.591 3.585 2.012 1.978 2.969 2.386 2.224 1.787 2.679
msst_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r2 1 0.495 1.296 0.808 2.001 1.024 0.51 1.547 0.777 NA 1 0.797 1.192 0.904 0 0.18 0.417 0.569 2.124 4.127 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r2 1 0.495 1.297 0.808 2.001 1.025 0.511 1.548 0.778 NA 1 0.797 1.192 0.904 0 0.18 0.417 0.569 2.206 4.128 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r2 1 0.495 1.296 0.808 2.001 1.023 0.511 1.546 0.778 NA 1 0.797 1.193 0.904 0 0.181 0.413 0.57 2.209 4.13 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r2 1 0.495 1.296 0.808 2.001 1.024 0.51 1.544 0.778 NA 1 0.797 1.192 0.904 4.127 3.469 5.336 4.302 2.124 NA 0.001 0 0.003 0 NA NA NA NA NA NA
cuts_wide_bayes_r2 1 0.495 1.297 0.808 2.001 1.024 0.511 1.544 0.778 NA 1 0.797 1.193 0.905 4.14 3.479 5.35 4.312 2.2 NA 0.002 0.001 0.005 0.001 NA NA NA NA NA NA
cuts_long_bayes_r2 1 0.495 1.297 0.808 2.001 1.024 0.511 1.544 0.778 NA 1 0.797 1.192 0.904 4.106 3.452 5.31 4.282 2.204 NA 0.002 0.001 0.005 0.001 NA NA NA NA NA NA
tso_wide_ml_r2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r2 1 0.495 1.296 0.808 2.001 1.023 0.511 1.543 0.778 -0.01 NA NA NA NA 4.149 3.486 5.362 4.321 NA NA 2.349 1.49 3.339 1.919 1.868 2.797 2.228 2.121 1.69 2.529
tso_long_bayes_r2 1 0.495 1.296 0.808 2 1.023 0.511 1.543 0.778 -0.01 NA NA NA NA 4.091 3.44 5.293 4.269 NA NA 2.345 1.487 3.34 1.917 1.866 2.794 2.225 2.118 1.687 2.526
msst_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r3 1 0.499 1.278 0.797 1.978 0.954 0.506 1.571 0.802 NA 1 0.792 1.201 0.903 0 0.215 0.369 0.584 2.015 4.136 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r3 1 0.499 1.278 0.797 1.978 0.954 0.507 1.572 0.803 NA 1 0.793 1.201 0.903 0 0.215 0.369 0.584 2.098 4.136 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r3 1 0.499 1.278 0.797 1.977 0.953 0.506 1.572 0.803 NA 1 0.792 1.201 0.903 0 0.217 0.369 0.585 2.096 4.138 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r3 1 0.499 1.278 0.797 1.978 0.954 0.506 1.571 0.802 NA 1 0.792 1.201 0.903 4.136 3.493 5.335 4.319 2.016 NA 0 0 0 0 NA NA NA NA NA NA
cuts_wide_bayes_r3 1 0.499 1.278 0.797 1.978 0.954 0.506 1.571 0.802 NA 1 0.793 1.201 0.903 4.147 3.502 5.348 4.329 2.089 NA 0.002 0.001 0.002 0.001 NA NA NA NA NA NA
cuts_long_bayes_r3 1 0.499 1.278 0.797 1.977 0.953 0.507 1.571 0.802 NA 1 0.792 1.201 0.903 4.109 3.472 5.303 4.295 2.09 NA 0.001 0.001 0.002 0.001 NA NA NA NA NA NA
tso_wide_ml_r3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r3 1 0.499 1.278 0.797 1.977 0.954 0.507 1.572 0.802 0.013 NA NA NA NA 4.152 3.506 5.356 4.334 NA NA 2.23 1.397 3.214 1.815 1.764 2.674 2.118 2.009 1.592 2.413
tso_long_bayes_r3 1 0.499 1.278 0.798 1.977 0.953 0.506 1.571 0.802 0.014 NA NA NA NA 4.089 3.456 5.28 4.277 NA NA 2.227 1.395 3.207 1.813 1.76 2.671 2.112 2.006 1.589 2.409
msst_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
msst_long_ml_r4 1 0.494 1.318 0.808 2.008 1.002 0.511 1.448 0.807 NA 1 0.801 1.199 0.888 0 0.184 0.39 0.633 1.726 3.725 NA NA NA NA NA NA NA NA NA NA
msst_wide_bayes_r4 1 0.494 1.318 0.809 2.008 1.004 0.511 1.449 0.808 NA 1 0.801 1.199 0.889 0 0.183 0.389 0.633 1.794 3.725 NA NA NA NA NA NA NA NA NA NA
msst_long_bayes_r4 1 0.495 1.318 0.809 2.007 1.002 0.511 1.448 0.805 NA 1 0.8 1.199 0.888 0 0.186 0.389 0.634 1.798 3.727 NA NA NA NA NA NA NA NA NA NA
cuts_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
cuts_long_ml_r4 1 0.494 1.318 0.809 2.007 1.002 0.511 1.448 0.804 NA 1 0.801 1.199 0.888 3.725 3.168 4.854 3.942 1.727 NA 0 0 0.001 0.003 NA NA NA NA NA NA
cuts_wide_bayes_r4 1 0.495 1.318 0.809 2.007 1.002 0.511 1.447 0.804 NA 1 0.801 1.199 0.888 3.737 3.177 4.868 3.953 1.79 NA 0.001 0.001 0.002 0.004 NA NA NA NA NA NA
cuts_long_bayes_r4 1 0.494 1.318 0.809 2.008 1.002 0.511 1.448 0.804 NA 1 0.801 1.199 0.888 3.728 3.169 4.858 3.945 1.793 NA 0.001 0.001 0.002 0.004 NA NA NA NA NA NA
tso_wide_ml_r4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
tso_wide_bayes_r4 1 0.494 1.318 0.809 2.007 1.002 0.511 1.448 0.803 -0.011 NA NA NA NA 3.738 3.178 4.869 3.953 NA NA 1.909 1.223 2.744 1.508 1.526 2.286 1.83 1.691 1.355 2.028
